Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	2353-1	01-30-2013	02-01-2013	METRO #800	66.92	CAD	66.92	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13348	AIR OPS-SHERBOURNE	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM FOOD	
"PARKS, FORESTRY & RECREATION"	2362-1	02-01-2013	02-05-2013	METRO #800	9.03	CAD	9.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13348	AIR OPS-SHERBOURNE	5411	"Grocery Stores, Supermarkets"	PILLSBURY BISQUITS	
"PARKS, FORESTRY & RECREATION"	2365-1	02-06-2013	02-07-2013	DOLLAR TREE CANADA STO	16.95	CAD	16.95	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13348	AIR OPS-SHERBOURNE	5331	Variety Stores	SUPPLIES FOR SCIENCE EXPERIMENT	
"PARKS, FORESTRY & RECREATION"	2367-1	02-06-2013	02-08-2013	METRO #800	125.37	CAD	125.37	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13348	AIR OPS-SHERBOURNE	5411	"Grocery Stores, Supermarkets"	"FORTUNE COOKIES, WONTON SOUP"	
"PARKS, FORESTRY & RECREATION"	2376-1	02-13-2013	02-15-2013	PARTY CITY -TORONTO #2	40.57	CAD	40.57	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13348	AIR OPS-SHERBOURNE	5999	Miscellaneous and Specialty Retail Store	RED VELVET CAKE POPS	
"PARKS, FORESTRY & RECREATION"	2376-2	02-13-2013	02-15-2013	WAL-MART #3159	345.73	CAD	345.73	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13348	AIR OPS-SHERBOURNE	5411	"Grocery Stores, Supermarkets"	CAKE POPS	
"PARKS, FORESTRY & RECREATION"	2378-1	02-15-2013	02-18-2013	PARTY CITY -TORONTO #2	25.16	CAD	25.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13348	AIR OPS-SHERBOURNE	5999	Miscellaneous and Specialty Retail Store	CAKE POPS	
"PARKS, FORESTRY & RECREATION"	2382-1	02-19-2013	02-20-2013	NOFRILLS TOMS 775	43.09	CAD	43.09	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13348	AIR OPS-SHERBOURNE	5411	"Grocery Stores, Supermarkets"	SPAGHETTI & GARLIC BREAD	
"PARKS, FORESTRY & RECREATION"	2384-1	02-20-2013	02-22-2013	WAL-MART #3159	126.99	CAD	126.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13348	AIR OPS-SHERBOURNE	5411	"Grocery Stores, Supermarkets"	"DIET COKE, MENTOS"	
"PARKS, FORESTRY & RECREATION"	2386-1	02-22-2013	02-25-2013	KITCHEN STUFF PLUS #3	90.39	CAD	90.39	CAD	2610	KITCHEN SUPPLIES	P13348	AIR OPS-SHERBOURNE	5712	"Equipment, Furniture, and Home Furnishin"	STOCK POTS	
