Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	2392-1	02-28-2013	03-01-2013	VAN DYKES TREE CARE LT	"1,804.61"	CAD	"1,804.61"	CAD	4409	CONTR SRV - LANDSCPG	AH0091	HS-MH-PRS-FORT YORK	0780	Horticultural and Landscaping Services	TREE REMOVAL ON FORT HERITAGE SITE	
ECONOMIC DEVELOPMENT & CULTURE	2413-1	03-11-2013	03-13-2013	WESTBURY NATIONAL SHOW	"2,740.25"	CAD	"2,740.25"	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	AH0052	HS-MH-BOA-METRO HALL	7394	"Equipment Rental and Leasing Services, F"	PA EQUIPMENT FOR BICENTENNIAL EVENT	
					"4,544.86"	CAD	"4,544.86"	CAD								
"PARKS, FORESTRY & RECREATION"	2397-1	03-01-2013	03-04-2013	STAPLES STORE #32	39.54	CAD	39.54	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P13275	SUMMERCAMP-SC - DIST	5943	"Office, School Supply, and Stationery St"	ADDRESS LABELS	
"PARKS, FORESTRY & RECREATION"	2407-1	03-06-2013	03-08-2013	METRO #800	92.26	CAD	92.26	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13347	GENINT&CLB - WARDEN	5411	"Grocery Stores, Supermarkets"	"JUICE,CAKE MIX,STRAWBERRIES"	
"PARKS, FORESTRY & RECREATION"	2414-1	03-13-2013	03-14-2013	STAPLES STORE #32	55.82	CAD	55.82	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P13347	GENINT&CLB - WARDEN	5943	"Office, School Supply, and Stationery St"	MARKER SHARPIES	
"PARKS, FORESTRY & RECREATION"	2414-2	03-13-2013	03-14-2013	NOFRILLS JOSE'S #3470	65.14	CAD	65.14	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13347	GENINT&CLB - WARDEN	5411	"Grocery Stores, Supermarkets"	"SALAD DRESSING, SALSA, TORTILLAS, LETTUCE"	
"PARKS, FORESTRY & RECREATION"	2414-3	03-13-2013	03-14-2013	DOLLAR TREE CANADA STO	40.96	CAD	40.96	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13347	GENINT&CLB - WARDEN	5331	Variety Stores	MUGS FOR CRAFTS	
"PARKS, FORESTRY & RECREATION"	2414-4	03-13-2013	03-14-2013	SHOPPERS DRUG MART0826	50.50	CAD	50.50	CAD	4225	BUSINESS TRAV - PUBLIC TRANSIT	P13347	GENINT&CLB - WARDEN	5912	"Drug Stores, Pharmacies"	TTC TICKETS	
"PARKS, FORESTRY & RECREATION"	2416-1	03-14-2013	03-15-2013	STAPLES STORE #266	37.13	CAD	37.13	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P13275	SUMMERCAMP-SC - DIST	5943	"Office, School Supply, and Stationery St"	NAMETAGS	
"PARKS, FORESTRY & RECREATION"	2416-2	03-14-2013	03-15-2013	PARKWAY BOWL	272.00	CAD	272.00	CAD	4118	TICKETS AND ADMISSION FEES	P13347	GENINT&CLB - WARDEN	7933	Bowling Alleys	ADMISSION - MARCH BREAK CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2418-1	03-15-2013	03-18-2013	STAPLES STORE #32	104.46	CAD	104.46	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P13347	GENINT&CLB - WARDEN	5943	"Office, School Supply, and Stationery St"	"PENS, CLIPBOARDS FOR CAMP"	
