Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
PUBLIC HEALTH	4322-1	2016-12-04	2016-12-05	SPECIALTY FURNITURE	"1,185.37"	CAD	"1,185.37"	CAD	3310	FURNISHINGS	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	5021	Office and Commercial Furniture	SPECIALTY FURNITURE	
PUBLIC HEALTH	4322-2	2016-12-04	2016-12-05	SPECIALTY FURNITURE	"1,185.37"	CAD	"1,185.37"	CAD	3310	FURNISHINGS	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	5021	Office and Commercial Furniture	SPECIALTY FURNITURE	
					"2,370.74"	CAD	"2,370.74"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4317-1	2016-11-30	2016-12-01	ROTBLOTTS DISCOUNT WAR	23.67	CAD	23.67	CAD	2730	LOCKS	AH0154	CD-AM-FACILITY MGMT-FORT YORK	5251	Hardware Stores	REPLACEMENT LOCKS	
ECONOMIC DEVELOPMENT & CULTURE	4334-1	2016-12-08	2016-12-12	SAFETY MEDIA INC - CAD	97.78	CAD	97.78	CAD	2792	"BANNERS, FLAGS & SIGNS"	AH0154	CD-AM-FACILITY MGMT-FORT YORK	5999	Miscellaneous and Specialty Retail Store	FIRE DEPT. CONNECTION SIGN	
ECONOMIC DEVELOPMENT & CULTURE	4338-1	2016-12-12	2016-12-14	LCBO/RAO #0217	75.00	CAD	75.00	CAD	4830	PERMIT & LICENSE FEES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5921	"Package Stores, Beer, Wine, Liquor"	SPECIAL OCCASION PERMIT	
					196.45	CAD	196.45	CAD								
FIRE SERVICES	4319-1	2016-12-01	2016-12-02	MEGA CITY CAR WASH	550.00	CAD	550.00	CAD	4437	WASHES-LICENSED MOBILE EQUIP.	FR0029	PROFDEV/TRAINING-HEALTH&SAFETY	7542	Car Washes	CAR WASH VOUCHERS FOR TFS VEHICLES	
FIRE SERVICES	4322-3	2016-12-02	2016-12-05	MEGA CITY CAR WASH	250.00	CAD	250.00	CAD	4437	WASHES-LICENSED MOBILE EQUIP.	FR0028	PROFDEV/TRAINING-EMERGENCY PLNG/RES	7542	Car Washes	CAR WASH TICKETS	
FIRE SERVICES	4344-1	2016-12-16	2016-12-19	BEST BUY #57	73.44	CAD	73.44	CAD	2080	PHOTOGRAPHIC AND VIDEO SUPPLIES	FR0028	PROFDEV/TRAINING-EMERGENCY PLNG/RES	5732	Electronic Sales	SD CARD	
