Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order No.	Cost Centre / WBS Element / Order No. Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	4387-1	2017-01-18	2017-01-20	LCBO/RAO #0217	535.06	CAD	535.06	CAD	2760	ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5921	"Package Stores, Beer, Wine, Liquor"	ALCOHOL	
ECONOMIC DEVELOPMENT & CULTURE	4389-1	2017-01-20	2017-01-23	TIMELINE SOLUTIONS	299.05	CAD	299.05	CAD	4415	C. SRV -JANITORIAL	AH0154	CD-AM-FACILITY MGMT-FORT YORK	7349	"Cleaning and Maintenance, Janitorial Ser"	SERVICE CALL AND REPAIRS FOR FLOOR CLEANER	
ECONOMIC DEVELOPMENT & CULTURE	4395-1	2017-01-25	2017-01-26	STAPLES STORE #86	61.83	CAD	61.83	CAD	2710	GENERAL HARDWARE	AH0154	CD-AM-FACILITY MGMT-FORT YORK	5943	"Office, School Supply, and Stationery St"	D-LINK 8 OORT INTERNET SWITCH	
					895.94	CAD	895.94	CAD								
"PARKS, FORESTRY & RECREATION"	4359-1	2016-12-30	2017-01-03	WAL-MART #3635	84.74	CAD	84.74	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13517	SCAR CIVIC CTE - LEISURE SKATE	5310	Discount Stores	PADLOCKS	
"PARKS, FORESTRY & RECREATION"	4359-2	2016-12-31	2017-01-03	WAL-MART #3635	126.92	CAD	126.92	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13517	SCAR CIVIC CTE - LEISURE SKATE	5310	Discount Stores	PADLOCKS	
"PARKS, FORESTRY & RECREATION"	4359-3	2016-12-31	2017-01-03	WAL-MART #3635	-84.68	CAD	-84.68	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13517	SCAR CIVIC CTE - LEISURE SKATE	5310	Discount Stores	REFUND	
"PARKS, FORESTRY & RECREATION"	4386-1	2017-01-18	2017-01-19	JOHN BEAD CORP LTD	45.61	CAD	45.61	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5099	Durable Goods Not Elsewhere Classified	DON MONTGOMERY JEWELLERY PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4386-2	2017-01-18	2017-01-19	BUTTERFLY BEADS   JEWE	109.61	CAD	109.61	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5944	"Clock, Jewelry, Watch, and Silverware St"	DON MONTGOMERY JEWELLERY PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4387-2	2017-01-19	2017-01-20	ARTON CRAFTS INC	169.93	CAD	169.93	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5970	"Artist Supply Stores, Craft Shops"	DON MONTGOMERY JEWELLERY PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4387-3	2017-01-19	2017-01-20	ARTON CRAFTS INC	181.17	CAD	181.17	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5970	"Artist Supply Stores, Craft Shops"	DON MONTGOMERY JEWELLERY PROGRAM SUPPLIES	
					633.30	CAD	633.30	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4375-1	2017-01-11	2017-01-12	ROB'S NO FRILLS STORE	7.76	CAD	7.76	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0114	HS-MH-RETAIL-TODMORDEN	5411	"Grocery Stores, Supermarkets"	"TEA, CRACKERS, TOAST, RYE BREAD"	
					7.76	CAD	7.76	CAD								
"PARKS, FORESTRY & RECREATION"	4375-2	2017-01-10	2017-01-12	JAMES SIGNS	126.56	CAD	126.56	CAD	2090	GRAPHIC DESIGN SUPPLIES	P06724	BOB ABATE CC-OPERATIONS	7333	"Commercial Art, Graphics, Photography"	DOOR SIGNS (ACCESSIBILITY)	
"PARKS, FORESTRY & RECREATION"	4375-3	2017-01-11	2017-01-12	THE SOURCE #71040	16.94	CAD	16.94	CAD	2575	ELECTRICAL SUPPLIES	P10430	BOB ABATE CC-PRGM SUPPORT	5732	Electronic Sales	EXTENSION CORD	
"PARKS, FORESTRY & RECREATION"	4377-1	2017-01-11	2017-01-13	WAL-MART #3106	28.23	CAD	28.23	CAD	2575	ELECTRICAL SUPPLIES	P10430	BOB ABATE CC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	CABLE	
"PARKS, FORESTRY & RECREATION"	4395-2	2017-01-25	2017-01-26	IKEA ETOBICOKE	128.79	CAD	128.79	CAD	3310	FURNISHINGS	P10430	BOB ABATE CC-PRGM SUPPORT	5712	"Equipment, Furniture, and Home Furnishin"	SHELVING FOR OFFICE	
"PARKS, FORESTRY & RECREATION"	4395-3	2017-01-25	2017-01-26	STAPLES STORE #86	25.74	CAD	25.74	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P10430	BOB ABATE CC-PRGM SUPPORT	5943	"Office, School Supply, and Stationery St"	CORK ROLLS	
"PARKS, FORESTRY & RECREATION"	4397-1	2017-01-25	2017-01-27	CDN TIRE STORE #00182	469.02	CAD	469.02	CAD	3080	M & E - HAND TOOLS	P10430	BOB ABATE CC-PRGM SUPPORT	5200	Home Supply Warehouse	"TOOLS, TRAPS"	
"PARKS, FORESTRY & RECREATION"	4397-2	2017-01-26	2017-01-27	HOMESENSE 097	6.78	CAD	6.78	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01887	BOB ABATE CC-ARTS-VISL/PERF	5651	Family Clothing Stores	BOARD GAME	
