Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5009-403	2018-06-14	2018-06-14	ESSO	99.00	CAD	99.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL 76.21L*$1.299/L
					99.00	CAD	99.00	CAD							
TORONTO PARAMEDIC SERVICES	5007-32	2018-06-11	2018-06-12	ESSO	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL 75.82L*$1.319/L
TORONTO PARAMEDIC SERVICES	5009-76	2018-06-11	2018-06-14	MUSKOKA GAS & RESTAURA	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL 73.046L*$1.369/L
					200.00	CAD	200.00	CAD							
TORONTO PARAMEDIC SERVICES	5007-97	2018-06-12	2018-06-12	ESSO	95.00	CAD	95.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL 75.457L*$1.259/L
					95.00	CAD	95.00	CAD							
TORONTO PARAMEDIC SERVICES	5019-291	2018-06-28	2018-06-28	HUSKY BELLEVUE #4215	70.00	CAD	70.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL 57.4L* $1.220/L
					70.00	CAD	70.00	CAD							
TORONTO PARAMEDIC SERVICES	5008-1	2018-06-12	2018-06-13	PETROCAN	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL
					100.00	CAD	100.00	CAD							
SOLID WASTE MANAGEMENT	5003-20	2018-06-05	2018-06-06	PETROCAN	130.48	CAD	130.48	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY -USE
SOLID WASTE MANAGEMENT	5012-19	2018-06-18	2018-06-19	PETROCAN	120.10	CAD	120.10	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
SOLID WASTE MANAGEMENT	5020-23	2018-06-29	2018-07-02	PETROCAN	110.00	CAD	110.00	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
					360.58	CAD	360.58	CAD							
SOLID WASTE MANAGEMENT	5001-16	2018-06-04	2018-06-04	FLYING M TRUCK STOP	98.70	CAD	98.70	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					98.70	CAD	98.70	CAD							
SOLID WASTE MANAGEMENT	5019-40	2018-06-28	2018-06-28	FLYING M TRUCK STOP	113.49	CAD	113.49	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					113.49	CAD	113.49	CAD							
SOLID WASTE MANAGEMENT	5012-20	2018-06-18	2018-06-19	PETROCAN	105.22	CAD	105.22	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY ISE
SOLID WASTE MANAGEMENT	5019-41	2018-06-27	2018-06-28	PETROCAN	92.01	CAD	92.01	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL CITY USE
					197.23	CAD	197.23	CAD							
SOLID WASTE MANAGEMENT	5014-84	2018-06-21	2018-06-21	PETROCAN	75.00	CAD	75.00	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5542	"Fuel Dispenser, Automated"	GASOLINE CITY USE
					75.00	CAD	75.00	CAD							
"PARKS, FORESTRY & RECREATION"	5008-43	2018-06-13	2018-06-13	KOTYCK BROS LIMITED	91.89	CAD	91.89	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	1520	General Contractors - Residential and Co	IRRIGATION SUPPLIES
"PARKS, FORESTRY & RECREATION"	5014-85	2018-06-20	2018-06-21	JJ DOWNS INDUSTRIAL	401.04	CAD	401.04	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5085	Industrial Supplies Not Elsewhere Classi	IRRIGATION SUPPLIES
					492.93	CAD	492.93	CAD							
SOLID WASTE MANAGEMENT	5017-38	2018-06-26	2018-06-26	SOLID WASTE ASSOCIA	66.94	CAD	49.00	USD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	SW0739	MATERIAL RECYCLING FACILITY - ARROW ROAD	8398	"Organizations, Charitable and Social Ser"	CHINA MARKET UPDATE WEBINAR
					66.94	CAD	49.00	USD							
"PARKS, FORESTRY & RECREATION"	5015-28	2018-06-22	2018-06-22	YOUR DOLLAR STORE WITH	149.44	CAD	149.44	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12520	RE-SP-CANADA DAY-E CENTRAL	5310	Discount Stores	COOKING UTENSILS
"PARKS, FORESTRY & RECREATION"	5015-29	2018-06-22	2018-06-22	WAL-MART # 3111	344.82	CAD	344.82	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12520	RE-SP-CANADA DAY-E CENTRAL	5411	"Grocery Stores, Supermarkets"	"STORAGE BOXES, SANITATION SUPPLIES"
"PARKS, FORESTRY & RECREATION"	5015-30	2018-06-22	2018-06-22	WAL-MART # 3111	67.42	CAD	67.42	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12520	RE-SP-CANADA DAY-E CENTRAL	5411	"Grocery Stores, Supermarkets"	"SCOTCH TAPE, TAPE GUNS"
"PARKS, FORESTRY & RECREATION"	5018-37	2018-06-27	2018-06-27	DOLLARAMA # 447	76.90	CAD	76.90	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13236	SPECIAL EVENTS - OAKDALE CC	5310	Discount Stores	WATER BOTTLES FOR COOLING STATIONS
"PARKS, FORESTRY & RECREATION"	5018-38	2018-06-27	2018-06-27	DOLLARAMA # 447	10.51	CAD	10.51	CAD	2610	KITCHEN SUPPLIES	P12520	RE-SP-CANADA DAY-E CENTRAL	5310	Discount Stores	"TONGS, KNIVES"
