Division	Batch-Transaction ID	Transaction Date	Card Posting Date	Merchant Name	Transaction Amount	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type (MCC)	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5028-105	2018-07-09	2018-07-11	SHELL	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL
					100.00	CAD	100.00	CAD							
TORONTO PARAMEDIC SERVICES	5020-109	2018-07-01	2018-07-02	PIONEER STN#199	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL
					100.00	CAD	100.00	CAD							
TORONTO PARAMEDIC SERVICES	5031-108	2018-07-14	2018-07-16	ESSO	75.00	CAD	75.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL
					75.00	CAD	75.00	CAD							
TORONTO PARAMEDIC SERVICES	5035-1	2018-07-20	2018-07-20	01738 MACS CONVENIENCE	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL
					100.00	CAD	100.00	CAD							
TORONTO PARAMEDIC SERVICES	5029-1	2018-07-12	2018-07-12	PETROCAN	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL
					100.00	CAD	100.00	CAD							
SOLID WASTE MANAGEMENT	5020-23	2018-06-29	2018-07-02	PETROCAN	110.00	CAD	110.00	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
SOLID WASTE MANAGEMENT	5028-23	2018-07-10	2018-07-11	PETROCAN	125.00	CAD	125.00	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE
SOLID WASTE MANAGEMENT	5034-30	2018-07-19	2018-07-19	PETROCAN	120.00	CAD	120.00	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE
					355.00	CAD	355.00	CAD							
SOLID WASTE MANAGEMENT	5026-18	2018-07-09	2018-07-09	FLYING M TRUCK STOP	96.22	CAD	96.22	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					96.22	CAD	96.22	CAD							
SOLID WASTE MANAGEMENT	5040-15	2018-07-28	2018-07-28	HUSKY ST CATHE.TC#7113	200.00	CAD	200.00	CAD	2280	DIESEL - CLEAR	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	DIESEL
					200.00	CAD	200.00	CAD							
SOLID WASTE MANAGEMENT	5025-6	2018-07-06	2018-07-06	PETROCAN	101.14	CAD	101.14	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL-CITY USE
SOLID WASTE MANAGEMENT	5032-10	2018-07-16	2018-07-17	PETROCAN	82.05	CAD	82.05	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL-CITY USE
					183.19	CAD	183.19	CAD							
SOLID WASTE MANAGEMENT	5024-79	2018-07-04	2018-07-05	SHELL	-99.98	CAD	-99.98	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL
SOLID WASTE MANAGEMENT	5024-80	2018-07-04	2018-07-05	SHELL	500.00	CAD	500.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL
					400.02	CAD	400.02	CAD							
SOLID WASTE MANAGEMENT	5032-24	2018-07-17	2018-07-17	HUSKY ST CATHE.TC#7113	316.33	CAD	316.33	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL
					316.33	CAD	316.33	CAD							
SOLID WASTE MANAGEMENT	5039-104	2018-07-26	2018-07-26	PETROCAN	70.00	CAD	70.00	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE
					70.00	CAD	70.00	CAD							
"PARKS, FORESTRY & RECREATION"	5029-101	2018-07-13	2018-07-13	WATER AND ICE NORTH AM	993.61	CAD	993.61	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5996	Swimming Pools - Sales and Supplies	IRRIGATION SUPPLIES
"PARKS, FORESTRY & RECREATION"	5029-102	2018-07-11	2018-07-12	JJ DOWNS INDUSTRIAL	237.87	CAD	237.87	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5085	Industrial Supplies Not Elsewhere Classi	IRRIGATION SUPPLIES
