Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
TORONTO WATER	1273-110	01-06-2011	01-10-2011	MOTION IND ON11	34.99	CAD	34.99	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1020	WS SYSTEM CONTROL WO	5085	Industrial Supplies Not Elsewhere Classi	2310 (4L310) TRUFLEX  BELT	
TORONTO WATER	1277-138	01-11-2011	01-12-2011	KOTYCK BROS LIMITED	208.37	CAD	208.37	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1020	WS SYSTEM CONTROL WO	1520	General Contractors - Residential and Co		
TORONTO WATER	1283-126	01-14-2011	01-17-2011	LOWES #02640*	10.07	CAD	10.07	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1020	WS SYSTEM CONTROL WO	5200	Home Supply Warehouse	5/16 LAG SHIELD SHORT W BOLT 243S	
TORONTO WATER	1296-76	01-25-2011	01-26-2011	KOTYCK BROS LIMITED	98.29	CAD	98.29	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1020	WS SYSTEM CONTROL WO	1520	General Contractors - Residential and Co		
					351.72	CAD	351.72	CAD								
SOLID WASTE MANAGEMENT	1263-32	12-31-2010	01-04-2011	LOWES #02632*	51.17	CAD	51.17	CAD	2485	SUPPLIES - GAS/ODOUR CONTROL	CSW307-01-01	THACKERY	5200	Home Supply Warehouse	"2"" S X FPT FEMALE ADPTR"	
SOLID WASTE MANAGEMENT	1269-40	01-04-2011	01-06-2011	FABCO PLASTICS WHOLESA	301.43	CAD	301.43	CAD	2485	SUPPLIES - GAS/ODOUR CONTROL	CSW308-10-01	THACKERY	7399	Business Services - Not Elsewhere Classi	"PVC hose, tees"	
SOLID WASTE MANAGEMENT	1277-82	01-11-2011	01-12-2011	LOWES #02632*	22.46	CAD	22.46	CAD	2130	PARTS - MOBILE EQUIPMENT	CSW308-10-05	KEELE VALLEY	5200	Home Supply Warehouse	"KOBALT 100'X1/2"" OPEN REEL FIBER"	
SOLID WASTE MANAGEMENT	1285-55	01-17-2011	01-18-2011	LOWES #02632*	79.19	CAD	79.19	CAD	2485	SUPPLIES - GAS/ODOUR CONTROL	CSW308-10-01	THACKERY	5200	Home Supply Warehouse	#48 STEEL CLAMP	
SOLID WASTE MANAGEMENT	1290-53	01-20-2011	01-21-2011	LOWES #02632*	94.36	CAD	94.36	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	CSW308-10-05	KEELE VALLEY	5200	Home Supply Warehouse	10X1-1/4 COR IRON ZN	
					548.61	CAD	548.61	CAD								
"PARKS, FORESTRY & RECREATION"	1271-150	01-06-2011	01-07-2011	TUCKERS POTTERY SUPPLI	248.32	CAD	248.32	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P06740	ADAM BECK CC-PGM SUP	5970	"Artist Supply Stores, Craft Shops"		
"PARKS, FORESTRY & RECREATION"	1279-159	01-12-2011	01-13-2011	LOBLAWS #1021	730.74	CAD	730.74	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P06740	ADAM BECK CC-PGM SUP	5411	"Grocery Stores, Supermarkets"		
"PARKS, FORESTRY & RECREATION"	1290-136	01-20-2011	01-21-2011	J   J CRAFTS	932.84	CAD	932.84	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P06740	ADAM BECK CC-PGM SUP	5970	"Artist Supply Stores, Craft Shops"		
					"1,911.90"	CAD	"1,911.90"	CAD								
"PARKS, FORESTRY & RECREATION"	1273-106	01-07-2011	01-10-2011	STAPLES STORE #266	21.15	CAD	21.15	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P10935	LMOREAUX TENNIS CTR-	5943	"Office, School Supply, and Stationery St"		
"PARKS, FORESTRY & RECREATION"	1273-107	01-07-2011	01-10-2011	BUSINESS DEPOT DIRECT	485.89	CAD	485.89	CAD	3310	FURNISHINGS	P10935	LMOREAUX TENNIS CTR-	5943	"Office, School Supply, and Stationery St"		
"PARKS, FORESTRY & RECREATION"	1273-108	01-07-2011	01-10-2011	BUSINESS DEPOT DIRECT	485.89	CAD	485.89	CAD	3310	FURNISHINGS	P07690	LAMOREAUX-PGM SUPP	5943	"Office, School Supply, and Stationery St"		
"PARKS, FORESTRY & RECREATION"	1275-62	01-10-2011	01-11-2011	STAPLES STORE #266	157.38	CAD	157.38	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P10935	LMOREAUX TENNIS CTR-	5943	"Office, School Supply, and Stationery St"		
"PARKS, FORESTRY & RECREATION"	1275-63	01-10-2011	01-11-2011	STAPLES STORE #266	1.14	CAD	1.14	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P10935	LMOREAUX TENNIS CTR-	5943	"Office, School Supply, and Stationery St"		
