Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Decription	Cost Centre /WBS Element	Cost Centre /WBS Element Description	Merchant Type	Merchant type description	Purpose
TORONTO WATER	1304-98	01-27-2011	02-01-2011	WOLSELEY CDA INC-HUDSO	61.63	CAD	61.63	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1020	WS SYSTEM CONTROL WO	1711	"Air Conditioning, Heating, and Plumbing"	
TORONTO WATER	1339-50	02-22-2011	02-23-2011	LOWES #02640*	75.97	CAD	75.97	CAD	2120	PARTS - MACHINERY & EQUIPMENT	PW1020	WS SYSTEM CONTROL WO	5200	Home Supply Warehouse	5/16 LAG SHIELD SHORT W BOLT 243S
					137.60	CAD	137.60	CAD							
SOLID WASTE MANAGEMENT	1323-58	02-10-2011	02-11-2011	LOWES #02632*	11.27	CAD	11.27	CAD	2485	SUPPLIES - GAS/ODOUR CONTROL	CSW308-10-05	KEELE VALLEY	5200	Home Supply Warehouse	60MM X 66M TUCK TAPE
SOLID WASTE MANAGEMENT	1333-59	02-15-2011	02-18-2011	FABCO PLASTICS WHOLESA	"1,188.05"	CAD	"1,188.05"	CAD	2485	SUPPLIES - GAS/ODOUR CONTROL	CSW308-10-05	KEELE VALLEY	7399	Business Services - Not Elsewhere Classi	"PVC Ball valve, male adapters, tees"
SOLID WASTE MANAGEMENT	1333-60	02-15-2011	02-18-2011	FABCO PLASTICS WHOLESA	449.55	CAD	449.55	CAD	2485	SUPPLIES - GAS/ODOUR CONTROL	CSW308-10-05	KEELE VALLEY	7399	Business Services - Not Elsewhere Classi	"PVC hose, male adapters"
					"1,648.87"	CAD	"1,648.87"	CAD							
"PARKS, FORESTRY & RECREATION"	1304-34	01-28-2011	02-01-2011	CTF SUPPLY (08)	116.96	CAD	116.96	CAD	3080	M & E - HAND TOOLS	P00833	TECH SERV. 3-PARKS C	5085	Industrial Supplies Not Elsewhere Classi	
"PARKS, FORESTRY & RECREATION"	1304-35	01-31-2011	02-01-2011	LOWES #02494*	79.08	CAD	79.08	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00833	TECH SERV. 3-PARKS C	5200	Home Supply Warehouse	SAWBLADE COMB 10X50  TK906
"PARKS, FORESTRY & RECREATION"	1308-32	02-01-2011	02-03-2011	RONA # 55340	35.69	CAD	35.69	CAD	2710	GENERAL HARDWARE	P00833	TECH SERV. 3-PARKS C	5251	Hardware Stores	
"PARKS, FORESTRY & RECREATION"	1308-33	01-31-2011	02-03-2011	INTERLINE WHOLESALE HA	247.47	CAD	247.47	CAD	3080	M & E - HAND TOOLS	P00833	TECH SERV. 3-PARKS C	5072	Hardware Equipment and Supplies	
"PARKS, FORESTRY & RECREATION"	1327-38	02-11-2011	02-15-2011	INTERLINE WHOLESALE HA	405.67	CAD	405.67	CAD	3080	M & E - HAND TOOLS	P00833	TECH SERV. 3-PARKS C	5072	Hardware Equipment and Supplies	
"PARKS, FORESTRY & RECREATION"	1341-39	02-22-2011	02-24-2011	THE HOME DEPOT #7136	45.19	CAD	45.19	CAD	2710	GENERAL HARDWARE	P00833	TECH SERV. 3-PARKS C	5200	Home Supply Warehouse	TOOL BOX
					930.06	CAD	930.06	CAD							
"PARKS, FORESTRY & RECREATION"	1310-45	01-31-2011	02-04-2011	PLANTRONICS B V	102.83	CAD	102.83	CAD	3020	M & E - COMMUNICATIONS	P02296	AGINCOURT POOL-INSTR	4812	Telecommunication Equipment Including Te	
					102.83	CAD	102.83	CAD							
"PARKS, FORESTRY & RECREATION"	1316-142	02-04-2011	02-08-2011	CDN TIRE STORE #00273	16.92	CAD	16.92	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06740	ADAM BECK CC-PGM SUP	5200	Home Supply Warehouse	
"PARKS, FORESTRY & RECREATION"	1316-143	02-07-2011	02-08-2011	AVRON FOODS	971.34	CAD	971.34	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06740	ADAM BECK CC-PGM SUP	5199	Nondurable Goods Not Elsewhere Classifie	
					988.26	CAD	988.26	CAD							
"PARKS, FORESTRY & RECREATION"	1329-1	02-15-2011	02-16-2011	STAPLES STORE #1	100.18	CAD	100.18	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	P13236	SPCEVNT-OAKDALE	5943	"Office, School Supply, and Stationery St"	
"PARKS, FORESTRY & RECREATION"	1334-1	02-17-2011	02-21-2011	YOUR DOLLAR STORE WITH	79.09	CAD	79.09	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13236	SPCEVNT-OAKDALE	5999	Miscellaneous and Specialty Retail Store	
"PARKS, FORESTRY & RECREATION"	1344-1	02-25-2011	02-28-2011	NOFRILLS JACKS 728	59.81	CAD	59.81	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13236	SPCEVNT-OAKDALE	5411	"Grocery Stores, Supermarkets"	
					239.08	CAD	239.08	CAD							
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1331-84	02-15-2011	02-17-2011	CRFA	56.50	CAD	56.50	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	F01132	SEATON HSE-HOSTEL	8398	"Organizations, Charitable and Social Ser"	Training Session- (FSS's)
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1331-85	02-16-2011	02-17-2011	MR. BILLIARD 2010	772.02	CAD	772.02	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	F01132	SEATON HSE-HOSTEL	5941	Sporting Goods Stores	New cover and repairs to pool table at Birchmount
SHELTER & SUPPORTIVE HOUSING ADMINISTRATION	1333-82	02-16-2011	02-18-2011	CRFA	423.75	CAD	423.75	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	F01132	SEATON HSE-HOSTEL	8398	"Organizations, Charitable and Social Ser"	Training Session- for 15 FSS's with SSHA
					"1,252.27"	CAD	"1,252.27"	CAD							
