Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre/WBS Element	Cost Centre/WBS Element Discriprion	Merchant Type	Merchant type description	Purpose
ECONOMIC DEVELOPMENT & CULTURE	1356-1	03-07-2011	03-08-2011	DOMINION REGALIA LTD	982.82	CAD	982.82	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	7333	"Commercial Art, Graphics, Photography"	flag for Fort flagpole
ECONOMIC DEVELOPMENT & CULTURE	1371-1	03-14-2011	03-16-2011	PIZZA PIZZA 004	75.27	CAD	75.27	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5814	Quick Payment Service - Fast-Food Restau	"1 pizza donated to Fort York, 1 pizza for visitors"
ECONOMIC DEVELOPMENT & CULTURE	1390-1	03-29-2011	03-30-2011	RH RANDOM HOUSE OF CA	69.30	CAD	69.30	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0117	HS-MH-RET-FORT YORK	5969	Direct Marketing - Other Direct Marketer	backorder for resale books
					"1,127.39"	CAD	"1,127.39"	CAD							
"PARKS, FORESTRY & RECREATION"	1346-1	02-25-2011	03-01-2011	YOUR DOLLAR STORE WITH	140.32	CAD	140.32	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13236	SPCEVNT-OAKDALE	5310	Discount Stores	
"PARKS, FORESTRY & RECREATION"	1377-1	03-18-2011	03-21-2011	NOFRILLS JACKS 728	61.79	CAD	61.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13236	SPCEVNT-OAKDALE	5411	"Grocery Stores, Supermarkets"	
"PARKS, FORESTRY & RECREATION"	1377-2	03-18-2011	03-21-2011	WAL-MART SUPERCENTE	90.68	CAD	90.68	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13236	SPCEVNT-OAKDALE	5310	Discount Stores	
"PARKS, FORESTRY & RECREATION"	1379-1	03-18-2011	03-22-2011	YOUR DOLLAR STORE WITH	375.73	CAD	375.73	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13236	SPCEVNT-OAKDALE	5310	Discount Stores	
"PARKS, FORESTRY & RECREATION"	1379-2	03-18-2011	03-22-2011	PARTY PACKAGERS (770 L	89.20	CAD	89.20	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13236	SPCEVNT-OAKDALE	5999	Miscellaneous and Specialty Retail Store	
					757.72	CAD	757.72	CAD							
