Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre/WBS Element	Cost Centre/WBS Element Description	Merchant Type	Merchant type description	Purpose
ECONOMIC DEVELOPMENT & CULTURE	1408-1	04-08-2011	04-11-2011	IMPERIAL COFFEE AND SE	279.64	CAD	279.64	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDU-FORT YORK	5111	"Stationery, Office Supplies, Printing an"	Coffee/milk forr overnight programs/pecial events
ECONOMIC DEVELOPMENT & CULTURE	1408-2	04-08-2011	04-11-2011	IMPERIAL COFFEE AND SE	85.32	CAD	85.32	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0117	HS-MH-RET-FORT YORK	5111	"Stationery, Office Supplies, Printing an"	Coffee for museum store for fale to customers
ECONOMIC DEVELOPMENT & CULTURE	1419-1	04-15-2011	04-18-2011	UNIVERSITY OF TORONTO	944.69	CAD	944.69	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0117	HS-MH-RET-FORT YORK	5942	Book Stores	"copies of the book""Stanley Barracks""for resale"
ECONOMIC DEVELOPMENT & CULTURE	1431-1	04-26-2011	04-27-2011	METRO #720	32.91	CAD	32.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDU-FORT YORK	5411	"Grocery Stores, Supermarkets"	Food supplies for overnight programs at Fort York
					"1,342.56"	CAD	"1,342.56"	CAD							
PUBLIC HEALTH	1400-1	04-05-2011	04-06-2011	TDSB	200.00	CAD	200.00	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	PH3092	MENTAL HEALTH	8999	Professional Services - Not Elsewhere Cl	Future Conference - Toronto District School Board
PUBLIC HEALTH	1408-3	04-08-2011	04-11-2011	CANADIAN SAFE SCHOOL N	209.00	CAD	209.00	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	PH3092	MENTAL HEALTH	7299	Other Services (Not Elsewhere Classified	Mental Health In School - Conference April 21/11
PUBLIC HEALTH	1419-2	04-14-2011	04-18-2011	HONG FOOK MENTAL HEALT	120.00	CAD	120.00	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	PH3092	MENTAL HEALTH	8398	"Organizations, Charitable and Social Ser"	Diversity & Equity in Mental Healt-Addiction 2011
PUBLIC HEALTH	1432-1	04-27-2011	04-28-2011	WSPS	452.00	CAD	452.00	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	PH3092	MENTAL HEALTH	8398	"Organizations, Charitable and Social Ser"	WSPS - Partners in Prevention 2011 - OH&S Conf
					981.00	CAD	981.00	CAD							
"PARKS, FORESTRY & RECREATION"	1398-1	04-04-2011	04-05-2011	NOFRILLS VITO'S #3936	38.24	CAD	38.24	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06063	GRANDRAVINE-SOC PGM	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM SUPPLIES
"PARKS, FORESTRY & RECREATION"	1410-1	04-11-2011	04-12-2011	NOFRILLS VITO'S #3936	59.23	CAD	59.23	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06063	GRANDRAVINE-SOC PGM	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM SUPPLIES
"PARKS, FORESTRY & RECREATION"	1420-1	04-18-2011	04-19-2011	NOFRILLS VITO'S #3936	24.76	CAD	24.76	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06063	GRANDRAVINE-SOC PGM	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM SUPPLIES
"PARKS, FORESTRY & RECREATION"	1429-1	04-23-2011	04-26-2011	WAL-MART SUPERCENTE	10.07	CAD	10.07	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P06063	GRANDRAVINE-SOC PGM	5310	Discount Stores	"PRESCHOOL PROGRAM SUPPLIES- SOIL, SEEDS"
					132.30	CAD	132.30	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1408-4	04-10-2011	04-11-2011	NOFRILLS ROB S  1397	10.62	CAD	10.62	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	food for museum programming-eggs
ECONOMIC DEVELOPMENT & CULTURE	1412-1	04-12-2011	04-13-2011	NOFRILLS ROB S  1397	15.19	CAD	15.19	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	food for museum programming-eggs
					25.81	CAD	25.81	CAD							
EMERGENCY MEDICAL SERVICES	1396-1	04-01-2011	04-04-2011	AMAZON.CA	121.54	CAD	121.54	CAD	2650	COMPUTER AND PRINTER SUPPLIES	B33100	COMM CTR OPERATIONS	4816	Computer Network/Information Services	COMPUTER NETWORK/INFO SERVICE
					121.54	CAD	121.54	CAD							
"PARKS, FORESTRY & RECREATION"	1400-2	04-05-2011	04-06-2011	REMENYI MUSIC   BOOKS	83.54	CAD	83.54	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P12116	MAIN SQ CC-ARTS VISL	5733	"Music Stores - Musical Instruments, Pian"	PIANO BOOKS
"PARKS, FORESTRY & RECREATION"	1423-1	04-19-2011	04-20-2011	J   J CRAFTS	170.19	CAD	170.19	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12116	MAIN SQ CC-ARTS VISL	5970	"Artist Supply Stores, Craft Shops"	SUPPLIES FOR KINDER. PROGRAMS
"PARKS, FORESTRY & RECREATION"	1429-2	04-21-2011	04-26-2011	ZELLERS #453	202.15	CAD	202.15	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12116	MAIN SQ CC-ARTS VISL	5310	Discount Stores	"TOY CARS, MUSIC FOR KINDERGYM CLASSES"
					455.88	CAD	455.88	CAD							
LONG TERM CARE HOMES	1406-1	04-07-2011	04-08-2011	METRO #37	86.06	CAD	86.06	CAD	2741	FOOD COSTS	D3G032	TRU DAVIDSN A-FN-RF	5411	"Grocery Stores, Supermarkets"	SPECIALTY FOOD
LONG TERM CARE HOMES	1420-2	04-18-2011	04-19-2011	METRO #37	35.48	CAD	35.48	CAD	2741	FOOD COSTS	D3G032	TRU DAVIDSN A-FN-RF	5411	"Grocery Stores, Supermarkets"	SPECIALTY FOOD
LONG TERM CARE HOMES	1420-3	04-15-2011	04-19-2011	MISTER CHEMICAL LTD	249.82	CAD	249.82	CAD	2610	KITCHEN SUPPLIES	D3G031	TRU DAVIDSN A-FN-OA	5169	Chemicals and Allied Products Not Elsewh	FOOD WRAP
LONG TERM CARE HOMES	1425-1	04-21-2011	04-25-2011	LOBLAWS #1021	105.18	CAD	105.18	CAD	2741	FOOD COSTS	D3G032	TRU DAVIDSN A-FN-RF	5411	"Grocery Stores, Supermarkets"	SPECIALTY FOOD
					476.54	CAD	476.54	CAD							
