Division 	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	Cost Centre / WBS Element 	Cost Centre/WBS Element Description 	G/L Account	G/L Account Description	Merchant Type	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	1511-1	2011-06-17	2011-06-20	ALPINE LAWN   GARDEN E	63.05	CAD	63.05	CAD	P00268	E-NORTH2-TURF&HORT	2401	LUBRICANTS	5261	Lawn and Garden Supply Stores	2 stroke engine oil
					63.05	CAD	63.05	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1488-1	2011-06-03	2011-06-06	FORMAC LORIMER BOOKS	854.95	CAD	854.95	CAD	AH0117	HS-MH-RET-FORT YORK	2990	GIFT SHOP ITEMS FOR RESALE	5192	"Books, Periodicals, and Newspapers"	resale books for MUSEUM Store
ECONOMIC DEVELOPMENT & CULTURE	1494-1	2011-06-07	2011-06-08	RH RANDOM HOUSE OF CA	125.69	CAD	125.69	CAD	AH0117	HS-MH-RET-FORT YORK	2990	GIFT SHOP ITEMS FOR RESALE	5969	Direct Marketing - Other Direct Marketer	resale books for Museum Store
ECONOMIC DEVELOPMENT & CULTURE	1499-1	2011-06-09	2011-06-10	RH RANDOM HOUSE OF CA	"2,482.87"	CAD	"2,482.87"	CAD	AH0117	HS-MH-RET-FORT YORK	2990	GIFT SHOP ITEMS FOR RESALE	5969	Direct Marketing - Other Direct Marketer	resale books for Museum Store
ECONOMIC DEVELOPMENT & CULTURE	1511-2	2011-06-17	2011-06-20	ZONE WEST ENTERPRISESL	"1,723.25"	CAD	"1,723.25"	CAD	AH0117	HS-MH-RET-FORT YORK	2990	GIFT SHOP ITEMS FOR RESALE	5949	"Fabric, Needlework, Piece Goods, and Sew"	Embroidered crests for Museum Store
ECONOMIC DEVELOPMENT & CULTURE	1516-1	2011-06-22	2011-06-23	NATURAL RESOURCES/RESS	75.00	CAD	75.00	CAD	AH0101	HS-MH-PUB-FORT YORK	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	9399	Government Services - Not Elsewhere Clas	gunpowder manufacturing licence
ECONOMIC DEVELOPMENT & CULTURE	1527-1	2011-06-29	2011-06-30	RH RANDOM HOUSE OF CA	125.69	CAD	125.69	CAD	AH0117	HS-MH-RET-FORT YORK	2990	GIFT SHOP ITEMS FOR RESALE	5969	Direct Marketing - Other Direct Marketer	resale books for Museum Store
					"5,387.45"	CAD	"5,387.45"	CAD							
"PARKS, FORESTRY & RECREATION"	1511-3	2011-06-18	2011-06-20	STAPLES STORE #1	52.96	CAD	52.96	CAD	P13236	SPCEVNT-OAKDALE	2010	STATIONERY AND OFFICE SUPPLIES	5943	"Office, School Supply, and Stationery St"	Stationary items for Display board
					52.96	CAD	52.96	CAD							
