Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre/WBS Element	Cost Centre/WBS Element Description	Merchant Type	Merchant type description	Purpose
ECONOMIC DEVELOPMENT & CULTURE	1547-1	07-13-2011	07-14-2011	RH RANDOM HOUSE OF CA	75.41	CAD	75.41	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0117	HS-MH-RET-FORT YORK	5969	Direct Marketing - Other Direct Marketer	Books for re-sale in museum store.
					75.41	CAD	75.41	CAD							
"PARKS, FORESTRY & RECREATION"	1541-1	07-08-2011	07-11-2011	ANGELO'S GARDEN CENTRE	317.30	CAD	317.30	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13236	SPCEVNT-OAKDALE	5261	Lawn and Garden Supply Stores	
"PARKS, FORESTRY & RECREATION"	1544-1	07-12-2011	07-13-2011	ANGELO'S GARDEN CENTRE	244.98	CAD	244.98	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13236	SPCEVNT-OAKDALE	5261	Lawn and Garden Supply Stores	
"PARKS, FORESTRY & RECREATION"	1551-1	07-15-2011	07-18-2011	MARCHANT'S SCHOOL SPOR	422.08	CAD	422.08	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13236	SPCEVNT-OAKDALE	5941	Sporting Goods Stores	
"PARKS, FORESTRY & RECREATION"	1553-1	07-18-2011	07-19-2011	ANGELO'S GARDEN CENTRE	374.26	CAD	374.26	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13236	SPCEVNT-OAKDALE	5261	Lawn and Garden Supply Stores	
					"1,358.62"	CAD	"1,358.62"	CAD							
"PARKS, FORESTRY & RECREATION"	1535-1	07-06-2011	07-07-2011	THE CRAFT   HOBBY EMPO	223.98	CAD	223.98	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04656	GRANDRAVINE-SUMR CAM	5970	"Artist Supply Stores, Craft Shops"	arts/crafts supplies for summer camp
"PARKS, FORESTRY & RECREATION"	1536-1	07-07-2011	07-08-2011	BATHURST BOWLERAMA	426.01	CAD	426.01	CAD	4118	TICKETS AND ADMISSION FEES	P04656	GRANDRAVINE-SUMR CAM	7933	Bowling Alleys	admissions - bowling - summer camp
"PARKS, FORESTRY & RECREATION"	1541-2	07-06-2011	07-11-2011	WAL-MART # 3105	22.43	CAD	22.43	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04656	GRANDRAVINE-SUMR CAM	5310	Discount Stores	rec materials for summer camp/balls
"PARKS, FORESTRY & RECREATION"	1557-1	07-20-2011	07-21-2011	NOFRILLS VITO'S #3936	7.96	CAD	7.96	CAD	2823	MEDICAL SUPPLIES	P04656	GRANDRAVINE-SUMR CAM	5411	"Grocery Stores, Supermarkets"	medical supplies
"PARKS, FORESTRY & RECREATION"	1561-1	07-22-2011	07-25-2011	RCSS WESTON 2800	213.75	CAD	213.75	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04656	GRANDRAVINE-SUMR CAM	5411	"Grocery Stores, Supermarkets"	food/beverages for summer camps
"PARKS, FORESTRY & RECREATION"	1568-1	07-27-2011	07-29-2011	AFRICAN LION SAFARI	880.95	CAD	880.95	CAD	4118	TICKETS AND ADMISSION FEES	P04656	GRANDRAVINE-SUMR CAM	7998	"Aquariums, Dolphinariums, Seaquariums"	admissions - summer camp
					"1,775.08"	CAD	"1,775.08"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1535-2	07-06-2011	07-07-2011	NOFRILLS ROB S  1397	37.15	CAD	37.15	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"Snack for campers-rice cakes, eggs, etc."
ECONOMIC DEVELOPMENT & CULTURE	1547-2	07-13-2011	07-14-2011	NOFRILLS ROB S  1397	6.46	CAD	6.46	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	Snacks for summer campers-apples
ECONOMIC DEVELOPMENT & CULTURE	1555-1	07-19-2011	07-20-2011	NOFRILLS ROB S  1397	17.50	CAD	17.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"Snacks for summer campers-non taxable carrots,etc."
ECONOMIC DEVELOPMENT & CULTURE	1561-2	07-22-2011	07-25-2011	PIZZA PIZZA 033	49.00	CAD	49.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5814	Quick Payment Service - Fast-Food Restau	Pizza for campers
					110.11	CAD	110.11	CAD							
"PARKS, FORESTRY & RECREATION"	1541-3	07-08-2011	07-11-2011	WAL-MART # 3106	27.12	CAD	27.12	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12113	MAIN SQ CC-SUMMER CA	5411	"Grocery Stores, Supermarkets"	food for summer camps
"PARKS, FORESTRY & RECREATION"	1547-3	07-13-2011	07-14-2011	O'CONNOR BOWL	164.35	CAD	164.35	CAD	4118	TICKETS AND ADMISSION FEES	P12113	MAIN SQ CC-SUMMER CA	7933	Bowling Alleys	Admission fees - Summer Camp trip
"PARKS, FORESTRY & RECREATION"	1547-4	07-13-2011	07-14-2011	O'CONNOR BOWL	259.50	CAD	259.50	CAD	4118	TICKETS AND ADMISSION FEES	P12113	MAIN SQ CC-SUMMER CA	7933	Bowling Alleys	Admission fees - Summer Camp trip
"PARKS, FORESTRY & RECREATION"	1557-2	07-20-2011	07-21-2011	ALLIANCE CINEMAS   QPS	207.90	CAD	207.90	CAD	4118	TICKETS AND ADMISSION FEES	P12113	MAIN SQ CC-SUMMER CA	7832	Motion Picture Theaters	Admission fees - Summer Camp trip
"PARKS, FORESTRY & RECREATION"	1558-1	07-20-2011	07-22-2011	TM- BLUE JAYS BASEBALL	188.00	CAD	188.00	CAD	4118	TICKETS AND ADMISSION FEES	P12113	MAIN SQ CC-SUMMER CA	7922	Theatrical Producers (except Motion Pict	Admission fees - Summer Camp trip
"PARKS, FORESTRY & RECREATION"	1561-3	07-22-2011	07-25-2011	HOOPDOME INC.	10.80	CAD	10.80	CAD	4118	TICKETS AND ADMISSION FEES	P12113	MAIN SQ CC-SUMMER CA	7941	"Athletic Fields, Commercial Sports, Prof"	Admission fees - Summer Camp trip
"PARKS, FORESTRY & RECREATION"	1567-1	07-27-2011	07-28-2011	HOOPDOME INC.	106.20	CAD	106.20	CAD	4118	TICKETS AND ADMISSION FEES	P12113	MAIN SQ CC-SUMMER CA	7941	"Athletic Fields, Commercial Sports, Prof"	Admission fees - Summer Camp trip
"PARKS, FORESTRY & RECREATION"	1567-2	07-27-2011	07-28-2011	NFB-MEDIATHEQUE-ONF	60.00	CAD	60.00	CAD	4118	TICKETS AND ADMISSION FEES	P12113	MAIN SQ CC-SUMMER CA	9399	Government Services - Not Elsewhere Clas	Admission fees - Summer Camp trip
					"1,023.87"	CAD	"1,023.87"	CAD							
CITY CLERK'S OFFICE	1529-1	06-30-2011	07-04-2011	MUNICIPAL WORLD INC	111.87	CAD	111.87	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	GV0009	POLICY & COMPLIANCE	2741	Miscellaneous Publishing and Printing	2 year magazine subscription 
					111.87	CAD	111.87	CAD							
"PARKS, FORESTRY & RECREATION"	1535-3	07-06-2011	07-07-2011	KOOY BROS LAWN	277.53	CAD	277.53	CAD	3080	M & E - HAND TOOLS	P12856	RAVWTRMAINT	5261	Lawn and Garden Supply Stores	litter pickers/pruners
"PARKS, FORESTRY & RECREATION"	1561-4	07-22-2011	07-25-2011	THE HOME DEPOT #7001	79.20	CAD	79.20	CAD	2710	GENERAL HARDWARE	P12856	RAVWTRMAINT	5200	Home Supply Warehouse	2-IN-1 CAN
					356.73	CAD	356.73	CAD							
