Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx. Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	1709-1	10-31-2011	11-01-2011	NOFRILLS VITO'S #3936	27.94	CAD	27.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05845	BARBARA FRUM-ARTS-VI	5411	"Grocery Stores, Supermarkets"	SUPPIES FOR COOKING CLASS
"PARKS, FORESTRY & RECREATION"	1717-1	11-04-2011	11-07-2011	NOFRILLS VITO'S #3936	29.79	CAD	29.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05845	BARBARA FRUM-ARTS-VI	5411	"Grocery Stores, Supermarkets"	FOOD FOR GRCRC COOKING PROGRAM
"PARKS, FORESTRY & RECREATION"	1728-1	11-14-2011	11-15-2011	NOFRILLS VITO'S #3936	76.82	CAD	76.82	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05845	BARBARA FRUM-ARTS-VI	5411	"Grocery Stores, Supermarkets"	GRCRC COOKING PROGRAM- WOMEN'S YOUTH &YOUTH DROPIN
"PARKS, FORESTRY & RECREATION"	1734-1	11-17-2011	11-18-2011	BEST BUY CANADA #927	7.90	CAD	7.90	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05845	BARBARA FRUM-ARTS-VI	5732	Electronic Sales	REC PROGRAM KEYBOARD ADAPTOR
"PARKS, FORESTRY & RECREATION"	1739-1	11-21-2011	11-22-2011	NOFRILLS VITO'S #3936	16.86	CAD	16.86	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05845	BARBARA FRUM-ARTS-VI	5411	"Grocery Stores, Supermarkets"	GRCRC COOKING PROGRAM- 13 PARTICIPANTS
"PARKS, FORESTRY & RECREATION"	1748-1	11-28-2011	11-29-2011	NOFRILLS VITO'S #3936	1.69	CAD	1.69	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05845	BARBARA FRUM-ARTS-VI	5411	"Grocery Stores, Supermarkets"	GRCRC COOKING PROGRAM- 13 PARTICIPANTS
"PARKS, FORESTRY & RECREATION"	1748-2	11-28-2011	11-29-2011	NOFRILLS VITO'S #3936	36.21	CAD	36.21	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05845	BARBARA FRUM-ARTS-VI	5411	"Grocery Stores, Supermarkets"	GRCRC COOKING PROGRAM- WOMEN'S YOUTH &YOUTH DROPIN
					197.21	CAD	197.21	CAD							
ECONOMIC DEVELOPMENT & CULTURE	1737-1	11-19-2011	11-21-2011	NOFRILLS ROB S  1397	20.25	CAD	20.25	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"KITCHEN SUPPLIES FOR PROGRAMS-PECAN HALVES,SUGAR"
ECONOMIC DEVELOPMENT & CULTURE	1737-2	11-19-2011	11-21-2011	SHOPPER'S DRUG MART #1	11.96	CAD	11.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5912	"Drug Stores, Pharmacies"	KITCHEN SUPPLIES FOR PROGRAMS - BUTTER
