Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	1839-1	01-31-2012	02-01-2012	LONG   MCQUADE LIMITED	110.87	CAD	110.87	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05845	BARBARA FRUM-ARTS-VI	7399	Business Services - Not Elsewhere Classi	MUSIC BOOKS	
"PARKS, FORESTRY & RECREATION"	1872-1	02-21-2012	02-22-2012	MARCHANT'S SCHOOL SPOR	92.38	CAD	92.38	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05845	BARBARA FRUM-ARTS-VI	5941	Sporting Goods Stores	SMALL HOLE MESH BAGS	
					203.25	CAD	203.25	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1866-1	02-16-2012	02-17-2012	SHOPPER'S DRUG MART #1	4.29	CAD	4.29	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5912	"Drug Stores, Pharmacies"	MILK FOR BIRTHDAY PROGRAMS	
ECONOMIC DEVELOPMENT & CULTURE	1870-1	02-20-2012	02-21-2012	HOMESENSE 071	18.08	CAD	18.08	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUB-COLBORNE L	5651	Family Clothing Stores	SILVER POLISH FOR SERVING TRAYS	
					22.37	CAD	22.37	CAD								
"PARKS, FORESTRY & RECREATION"	1841-1	02-01-2012	02-02-2012	J   J CRAFTS	456.97	CAD	456.97	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12116	MAIN SQ CC-ARTS VISL	5970	"Artist Supply Stores, Craft Shops"	CRAFT SUPPLIES FOR WINTER SEASON	
"PARKS, FORESTRY & RECREATION"	1842-1	02-02-2012	02-03-2012	REMENYI MUSIC   BOOKS	17.85	CAD	17.85	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P12116	MAIN SQ CC-ARTS VISL	5733	"Music Stores - Musical Instruments, Pian"	PIANO BOOKS	
					474.82	CAD	474.82	CAD								
"PARKS, FORESTRY & RECREATION"	1851-1	02-07-2012	02-08-2012	BEST BUY CANADA #943	24.85	CAD	24.85	CAD	3020	M & E - COMMUNICATIONS	P12856	RAVWTRMAINT	5732	Electronic Sales	ROCKETFISH RF-BTU55 BLUETOOTH	
					24.85	CAD	24.85	CAD								
"PARKS, FORESTRY & RECREATION"	1848-1	02-01-2012	02-06-2012	D L STEVENSON   SON AR	61.36	CAD	61.36	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01584	SENECA VILLAGE CC-AR	5970	"Artist Supply Stores, Craft Shops"	OILS PAINTS FOR PAINTING CLASSES	
					61.36	CAD	61.36	CAD								
"PARKS, FORESTRY & RECREATION"	1839-2	01-30-2012	02-01-2012	MR METAL(ETOBICOKE) IN	28.70	CAD	28.70	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	HR FLAT .188 X 2	
"PARKS, FORESTRY & RECREATION"	1854-1	02-08-2012	02-09-2012	PRINCESS AUTO	28.24	CAD	28.24	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5085	Industrial Supplies Not Elsewhere Classi	AIR HOSE	
"PARKS, FORESTRY & RECREATION"	1854-2	02-08-2012	02-09-2012	AUTOMOTIVE TOOLS	146.88	CAD	146.88	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TE	5533	"Automotive Parts, Accessories Stores"	WATTS FILTER	
