Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Original Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	"Cost Centre/
WBS Element"	Cost Centre/ WBS Element Descrption	"Merchant
 Type"	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	1898-1	03-08-2012	03-09-2012	TOYS R US #3571	20.98	CAD	20.98	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05845	BARBARA FRUM-ARTS-VI	5945	"Game, Toy, and Hobby Shops"	PROGRAM SUPPLIES FOR MARCH BREAK CAMP
"PARKS, FORESTRY & RECREATION"	1898-2	03-08-2012	03-09-2012	MASTERMIND EDUCATIONAL	30.40	CAD	30.40	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05845	BARBARA FRUM-ARTS-VI	7372	"Computer Programming, Integrated Systems"	"PUZZLES, GAMES FOR MARCH BREAK"
"PARKS, FORESTRY & RECREATION"	1901-1	03-09-2012	03-12-2012	WAL-MART # 5778	64.26	CAD	64.26	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05845	BARBARA FRUM-ARTS-VI	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR MARCH BREAK PROGRAM
"PARKS, FORESTRY & RECREATION"	1901-2	03-08-2012	03-12-2012	CDN TIRE STORE #00280	45.19	CAD	45.19	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05845	BARBARA FRUM-ARTS-VI	5200	Home Supply Warehouse	MARCH BREAK PROGRAM - TRIKE
"PARKS, FORESTRY & RECREATION"	1901-3	03-08-2012	03-12-2012	WAL-MART # 3145	43.93	CAD	43.93	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05845	BARBARA FRUM-ARTS-VI	5411	"Grocery Stores, Supermarkets"	MARCH BREAK - MUSIC CD'S
"PARKS, FORESTRY & RECREATION"	1901-4	03-08-2012	03-12-2012	WMT SUPRCTR #1116	47.15	CAD	47.15	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05845	BARBARA FRUM-ARTS-VI	5411	"Grocery Stores, Supermarkets"	MARCH BREAK - MUSIC CD'S
"PARKS, FORESTRY & RECREATION"	1902-1	03-12-2012	03-13-2012	CINEPLEX  7246     QPS	284.50	CAD	284.50	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05845	BARBARA FRUM-ARTS-VI	7832	Motion Picture Theaters	ADMISSIONS MARCH BREAK
"PARKS, FORESTRY & RECREATION"	1902-2	03-12-2012	03-13-2012	CINEPLEX  7246     QPS	150.00	CAD	150.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05845	BARBARA FRUM-ARTS-VI	7832	Motion Picture Theaters	SNACK FOR MARCH BREAK PROGRAM
"PARKS, FORESTRY & RECREATION"	1917-1	03-22-2012	03-23-2012	LONG   MCQUADE LIMITED	45.52	CAD	45.52	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05845	BARBARA FRUM-ARTS-VI	7399	Business Services - Not Elsewhere Classi	SPRING PRGM MUSIC LESSON BOOKS
"PARKS, FORESTRY & RECREATION"	1917-2	03-22-2012	03-23-2012	LONG   MCQUADE	83.14	CAD	83.14	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05845	BARBARA FRUM-ARTS-VI	7399	Business Services - Not Elsewhere Classi	SPRING PRGM MUSIC LESSON BOOKS
