Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	1995-1	05-17-2012	05-18-2012	CBC TORONTO FINANCE	316.40	CAD	316.40	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	5994	News Dealers and Newsstands	VIDEO FOR SHOW AT PLANET INDIGENOUS-AUG/12-FT YORK	
					316.40	CAD	316.40	CAD								
"PARKS, FORESTRY & RECREATION"	1967-1	04-30-2012	05-01-2012	NOFRILLS VITO'S #3936	36.49	CAD	36.49	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	SPRING REC PROGRAM	
"PARKS, FORESTRY & RECREATION"	1977-1	05-03-2012	05-07-2012	WAL-MART #1029	65.08	CAD	65.08	CAD	2610	KITCHEN SUPPLIES	P09686	BARBARA FRUM-INSTRL	5411	"Grocery Stores, Supermarkets"	"KETTLE, COFFEE MAKER"	
"PARKS, FORESTRY & RECREATION"	1977-2	05-04-2012	05-07-2012	METRO #493	11.72	CAD	11.72	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05845	BARBARA FRUM-ARTS-VI	5411	"Grocery Stores, Supermarkets"	"STIR STICKS, MILK, HONEY"	
"PARKS, FORESTRY & RECREATION"	1979-1	05-07-2012	05-08-2012	NOFRILLS VITO'S #3936	31.83	CAD	31.83	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	ADULT COOKING PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1989-1	05-14-2012	05-15-2012	NOFRILLS VITO'S #3936	48.37	CAD	48.37	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	ADULT COOKING PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2008-1	05-28-2012	05-29-2012	NOFRILLS VITO'S #3936	39.78	CAD	39.78	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	ADULT COOKING PROGRAM SUPPLIES	
					233.27	CAD	233.27	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1986-1	05-10-2012	05-11-2012	NOFRILLS ROB S  1397	6.68	CAD	6.68	CAD	4419	LAUNDRY SERVICES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	LAUNDRY SOAP FOR COSTUMES/TOWELS	
