Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	2030-1	06-11-2012	06-12-2012	WOOLFITTS ART ENTERPRI	320.46	CAD	320.46	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0091	HS-MH-PRS-FORT YORK	5970	"Artist Supply Stores, Craft Shops"	CANVASSES FOR BICENTENNIAL EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2038-1	06-16-2012	06-18-2012	IMPERIAL PAKING-IN TRU	2.00	CAD	2.00	CAD	4995	OTHER EXPENSES	AH0091	HS-MH-PRS-FORT YORK	7523	Automobile Parking Lots and Garages	PARKING FEE FOR FOOD SUPPLIER-BICENTENNIAL LAUNCH	
ECONOMIC DEVELOPMENT & CULTURE	2038-2	06-17-2012	06-18-2012	METRO #720	132.41	CAD	132.41	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0091	HS-MH-PRS-FORT YORK	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR VOLUNTEERS-BICENTENNIAL LAUNCH	
ECONOMIC DEVELOPMENT & CULTURE	2038-3	06-15-2012	06-18-2012	GWARTZMAN'S ART SUPPLI	364.26	CAD	364.26	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0091	HS-MH-PRS-FORT YORK	5231	"Glass, Paint, Wallpaper Stores"	PAPER AND WOOD ART SUPPLIES-BICENTENNIAL LAUNCH	
ECONOMIC DEVELOPMENT & CULTURE	2038-4	06-15-2012	06-18-2012	METRO #720	39.54	CAD	39.54	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0091	HS-MH-PRS-FORT YORK	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR VOLUNTEERS-BICENTENNIAL LAUNCH	
ECONOMIC DEVELOPMENT & CULTURE	2038-5	06-16-2012	06-18-2012	METRO #720	25.00	CAD	25.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0091	HS-MH-PRS-FORT YORK	5411	"Grocery Stores, Supermarkets"	WATER BOTTLES FOR PARTICIPANTS OF THE BICENTENNIAL	
ECONOMIC DEVELOPMENT & CULTURE	2042-1	06-19-2012	06-20-2012	STRONCO SHOW SERVICES	502.85	CAD	502.85	CAD	4410	CONTRACTED SERVICES - HEATING & AIR COND	AH0091	HS-MH-PRS-FORT YORK	1731	Electrical Contractors	ELECTRICAL HOOK UP FOR BICENTENNIAL LAUNCH EVENT	
					"1,386.52"	CAD	"1,386.52"	CAD								
"PARKS, FORESTRY & RECREATION"	2048-1	06-22-2012	06-25-2012	NOFRILLS JOSE'S #3470	59.10	CAD	59.10	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13236	SPCEVNT-OAKDALE	5411	"Grocery Stores, Supermarkets"	30 CASES OF WATER FOR STAFF WORKING OUTSIDE	
"PARKS, FORESTRY & RECREATION"	2056-1	06-28-2012	06-29-2012	RCSS SCARBOROUGH #2809	180.74	CAD	180.74	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13236	SPCEVNT-OAKDALE	5411	"Grocery Stores, Supermarkets"	FOOD FOR CANADA DAY PERFORMERS	
					239.84	CAD	239.84	CAD								
"PARKS, FORESTRY & RECREATION"	2018-1	06-04-2012	06-05-2012	NOFRILLS VITO'S #3936	27.20	CAD	27.20	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR ADULT COOKING PROGRAM	
"PARKS, FORESTRY & RECREATION"	2035-1	06-13-2012	06-14-2012	THE CRAFT   HOBBY EMPO	101.19	CAD	101.19	CAD	2715	PAINT SUPPLIES	P06063	GRANDRAVINE-SOC PGM	5970	"Artist Supply Stores, Craft Shops"	ACRYLIC PAINT	
"PARKS, FORESTRY & RECREATION"	2035-2	06-13-2012	06-14-2012	PLANET PLAY	650.88	CAD	650.88	CAD	4118	TICKETS AND ADMISSION FEES	P04656	GRANDRAVINE-SUMR CAM	7999	Recreation Services (Not Elsewhere Class	ADMISSION FEES FOR SUMMER CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2036-1	06-13-2012	06-15-2012	TOR CONSER / BLACK CK	322.00	CAD	322.00	CAD	4118	TICKETS AND ADMISSION FEES	P04656	GRANDRAVINE-SUMR CAM	9399	Government Services - Not Elsewhere Clas	ADMISSION FEES FOR SUMMER CAMP TRIP	
					"1,101.27"	CAD	"1,101.27"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2036-2	06-14-2012	06-15-2012	NOFRILLS ROB S  1397	6.41	CAD	6.41	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	LEMONS FOR PUBLIC PROGRAMMING	
ECONOMIC DEVELOPMENT & CULTURE	2045-1	06-21-2012	06-22-2012	SHOPPER'S DRUG MART #1	13.12	CAD	13.12	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5912	"Drug Stores, Pharmacies"	SUGAR FOR BAKING	
ECONOMIC DEVELOPMENT & CULTURE	2048-2	06-23-2012	06-25-2012	SHOPPER'S DRUG MART #1	16.52	CAD	16.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5912	"Drug Stores, Pharmacies"	EGGS AND SUGAR FOR BAKING	
ECONOMIC DEVELOPMENT & CULTURE	2054-1	06-27-2012	06-28-2012	NOFRILLS ROB S  1397	59.04	CAD	59.04	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	SUMMER CAMP SNACKS	
					95.09	CAD	95.09	CAD								
"PARKS, FORESTRY & RECREATION"	2029-1	06-08-2012	06-11-2012	THE SOURCE 5103	45.18	CAD	45.18	CAD	2199	MISCELLANEOUS PARTS	P06753	MAIN SQ CC-PGM SUPP	5732	Electronic Sales	AUDIO ADAPTERS FOR STEREOS	
					45.18	CAD	45.18	CAD								
"PARKS, FORESTRY & RECREATION"	2045-2	06-20-2012	06-22-2012	DIRECT CANADA COMPUTER	210.58	CAD	210.58	CAD	2650	COMPUTER AND PRINTER SUPPLIES	P12856	RAVWTRMAINT	5732	Electronic Sales	WIRELESS KEYBOARD/MOUSE COMBO	
					210.58	CAD	210.58	CAD								
"PARKS, FORESTRY & RECREATION"	2029-2	06-07-2012	06-11-2012	MR METAL(ETOBICOKE) IN	29.38	CAD	29.38	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	STEEL	
