Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Elelment	Cost Centre / WBS Elelment Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	2058-1	06-29-2012	07-03-2012	METRO #720	199.56	CAD	199.56	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR VOLUNTEERS- CANADA DAY EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2066-1	07-06-2012	07-09-2012	STRATFORDFESTIVALTKTS	121.00	CAD	121.00	CAD	4118	TICKETS AND ADMISSION FEES	AH0091	HS-MH-PRS-FORT YORK	7922	Theatrical Producers (except Motion Pict	TICKETS FOR PLAY ABOUT WAR OF 1812	
ECONOMIC DEVELOPMENT & CULTURE	2069-1	07-09-2012	07-10-2012	MODU-LOC FENCE RENTALS	339.00	CAD	339.00	CAD	4468	CONTR SRV - FENCING	AH0091	HS-MH-PRS-FORT YORK	7394	"Equipment Rental and Leasing Services, F"	FENCING FOR EVENT AT FORT YORK-BICENTENNIAL LAUNCH	
ECONOMIC DEVELOPMENT & CULTURE	2071-1	07-10-2012	07-11-2012	ML S INVESTIGATION S	100.00	CAD	100.00	CAD	4830	PERMIT & LICENSE FEES	AH0091	HS-MH-PRS-FORT YORK	9399	Government Services - Not Elsewhere Clas	LICENSE FOR NOISE EXEMPTION FOR CONCERT	
ECONOMIC DEVELOPMENT & CULTURE	2077-1	07-15-2012	07-16-2012	FACEBOOK.COM*XQZ3422C2	52.10	CAD	50.00	USD	4414	ADVERTISING & PROMOTION	AH0091	HS-MH-PRS-FORT YORK	7311	Advertising Services	ADVERT FOR SPECIAL EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2077-2	07-13-2012	07-16-2012	FACEBOOK.COM*2VT3422C2	52.16	CAD	50.00	USD	4414	ADVERTISING & PROMOTION	AH0091	HS-MH-PRS-FORT YORK	7311	Advertising Services	ADVERT FOR SPECIAL EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2077-3	07-14-2012	07-16-2012	FACEBOOK.COM*G4X3422C2	52.10	CAD	50.00	USD	4414	ADVERTISING & PROMOTION	AH0091	HS-MH-PRS-FORT YORK	7311	Advertising Services	ADVERT FOR SPECIAL EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2077-4	07-14-2012	07-16-2012	METRO #720	185.96	CAD	185.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0091	HS-MH-PRS-FORT YORK	5411	"Grocery Stores, Supermarkets"	"FOOD SUPPLIES FOR VOLUNTEERS FOR""ON COMMON GROUND"""	
ECONOMIC DEVELOPMENT & CULTURE	2091-1	07-24-2012	07-25-2012	STRATFORDFESTIVALTKTS	8.00	CAD	8.00	CAD	4118	TICKETS AND ADMISSION FEES	AH0091	HS-MH-PRS-FORT YORK	7922	Theatrical Producers (except Motion Pict	TICKETS FOR PLAY ABOUT WAR OF 1812	
ECONOMIC DEVELOPMENT & CULTURE	2094-1	07-25-2012	07-26-2012	STRATFORDFESTIVALTKTS	-129.00	CAD	-129.00	CAD	4118	TICKETS AND ADMISSION FEES	AH0091	HS-MH-PRS-FORT YORK	7922	Theatrical Producers (except Motion Pict	TICKETS FOR PLAY ABOUT WAR OF 1812 -  REFUND	
					980.88	CAD	824.52	CAD								
							150.00	USD								
"PARKS, FORESTRY & RECREATION"	2058-2	07-01-2012	07-03-2012	RCSS SCARBOROUGH #2809	246.50	CAD	246.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13236	SPCEVNT-OAKDALE	5411	"Grocery Stores, Supermarkets"	FOOD FOR CANADA DAY STAFF	
"PARKS, FORESTRY & RECREATION"	2066-2	07-06-2012	07-09-2012	NOFRILLS JOSE'S #3470	27.63	CAD	27.63	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13236	SPCEVNT-OAKDALE	5411	"Grocery Stores, Supermarkets"	HOCKEY CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2071-2	07-10-2012	07-11-2012	TOYS R US #3519	41.22	CAD	41.22	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13236	SPCEVNT-OAKDALE	5945	"Game, Toy, and Hobby Shops"	PRESCHOOL CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2073-1	07-11-2012	07-12-2012	HOCKEY HALL OF FAME	112.00	CAD	112.00	CAD	4118	TICKETS AND ADMISSION FEES	P13236	SPCEVNT-OAKDALE	7941	"Athletic Fields, Commercial Sports, Prof"	ADMISSION	
"PARKS, FORESTRY & RECREATION"	2077-5	07-13-2012	07-16-2012	NOFRILLS JOSE'S #3470	16.80	CAD	16.80	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13236	SPCEVNT-OAKDALE	5411	"Grocery Stores, Supermarkets"	HOCKEY CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2078-1	07-13-2012	07-17-2012	PARTY PACKAGERS #27	11.79	CAD	11.79	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13236	SPCEVNT-OAKDALE	5999	Miscellaneous and Specialty Retail Store	ANIMATION CAMP SUPPLIES	
					455.94	CAD	455.94	CAD								
"PARKS, FORESTRY & RECREATION"	2065-1	07-05-2012	07-06-2012	RCSS WESTON 2800	217.69	CAD	217.69	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04656	GRANDRAVINE-SUMR CAM	5411	"Grocery Stores, Supermarkets"	CAMP SUPPLIES: FOOD	
"PARKS, FORESTRY & RECREATION"	2066-3	07-05-2012	07-09-2012	BLACK CREEK ENTRANCE	115.00	CAD	115.00	CAD	4118	TICKETS AND ADMISSION FEES	P04656	GRANDRAVINE-SUMR CAM	9399	Government Services - Not Elsewhere Clas	ADMISSION	
"PARKS, FORESTRY & RECREATION"	2066-4	07-07-2012	07-09-2012	THE HOME DEPOT #7135	50.29	CAD	50.29	CAD	2730	LOCKS	P04656	GRANDRAVINE-SUMR CAM	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2073-2	07-11-2012	07-12-2012	NOFRILLS VITO'S #3936	172.02	CAD	172.02	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04656	GRANDRAVINE-SUMR CAM	5411	"Grocery Stores, Supermarkets"	CAMP SUPPLIES: FOOD	
"PARKS, FORESTRY & RECREATION"	2077-6	07-13-2012	07-16-2012	CINEPLEX  7246     QPS	558.50	CAD	558.50	CAD	4118	TICKETS AND ADMISSION FEES	P04656	GRANDRAVINE-SUMR CAM	7832	Motion Picture Theaters	ADMISSION	
"PARKS, FORESTRY & RECREATION"	2091-2	07-24-2012	07-25-2012	NOFRILLS VITO'S #3936	139.08	CAD	139.08	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04656	GRANDRAVINE-SUMR CAM	5411	"Grocery Stores, Supermarkets"	CAMP SUPPLIES: FOOD	
"PARKS, FORESTRY & RECREATION"	2095-1	07-26-2012	07-27-2012	PLANET PLAY	40.68	CAD	40.68	CAD	4118	TICKETS AND ADMISSION FEES	P04656	GRANDRAVINE-SUMR CAM	7999	Recreation Services (Not Elsewhere Class	ADMISSION	
					"1,293.26"	CAD	"1,293.26"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2073-3	07-11-2012	07-12-2012	NOFRILLS ROB S  1397	29.75	CAD	29.75	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"SUMMER CAMP-RICE CAKES,CUCUMBERS,APPLES,WATERMELON"	
ECONOMIC DEVELOPMENT & CULTURE	2077-7	07-14-2012	07-16-2012	NOFRILLS ROB S  1397	32.20	CAD	32.20	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"SUMMER CAMP FOOD-MILK,CHEESE,DRINKS,BAGS"	
ECONOMIC DEVELOPMENT & CULTURE	2077-8	07-14-2012	07-16-2012	SHOPPER'S DRUG MART #1	17.53	CAD	17.53	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUB-COLBORNE L	5912	"Drug Stores, Pharmacies"	"SUMMER CAMP SUPPLIES-EGGS,BANDAIDS,ALCOHOL SWABS"	
ECONOMIC DEVELOPMENT & CULTURE	2085-1	07-19-2012	07-20-2012	NOFRILLS ROB S  1397	29.98	CAD	29.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"SUMMER CAMP-APPLES,CUCUMBERS,LEMONS,RICE CAKES,ETC"	
ECONOMIC DEVELOPMENT & CULTURE	2087-1	07-20-2012	07-23-2012	PIZZA PIZZA 033	48.28	CAD	48.28	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5814	Quick Payment Service - Fast-Food Restau	SUMMER CAMP PIZZA LUNCH	
ECONOMIC DEVELOPMENT & CULTURE	2095-2	07-26-2012	07-27-2012	NOFRILLS ROB S  1397	20.11	CAD	20.11	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"SUMMER CAMP-APPLES,CUCUMBERS,GRANOLA BARS,LEMONS"	
ECONOMIC DEVELOPMENT & CULTURE	2097-1	07-27-2012	07-30-2012	PIZZA PIZZA 033	48.28	CAD	48.28	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5814	Quick Payment Service - Fast-Food Restau	SUMMER CAMP PIZZA LUNCH	
ECONOMIC DEVELOPMENT & CULTURE	2097-2	07-28-2012	07-30-2012	SHOPPERSDRUGMART1281	11.96	CAD	11.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5912	"Drug Stores, Pharmacies"	BUTTER FOR BAKING	
ECONOMIC DEVELOPMENT & CULTURE	2097-3	07-28-2012	07-30-2012	SHOPPERSDRUGMART1281	11.96	CAD	11.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5912	"Drug Stores, Pharmacies"	BUTTER FOR BAKING	
					250.05	CAD	250.05	CAD								
"PARKS, FORESTRY & RECREATION"	2063-1	07-04-2012	07-05-2012	ALLIANCE CINEMAS   QPS	214.00	CAD	214.00	CAD	4118	TICKETS AND ADMISSION FEES	P12113	MAIN SQ CC-SUMMER CA	7832	Motion Picture Theaters	SPORTS CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2063-2	07-04-2012	07-05-2012	ALLIANCE CINEMAS   QPS	129.00	CAD	129.00	CAD	4118	TICKETS AND ADMISSION FEES	P12113	MAIN SQ CC-SUMMER CA	7832	Motion Picture Theaters	SPORTS CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2063-3	07-03-2012	07-05-2012	WAL-MART #3159	54.24	CAD	54.24	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12113	MAIN SQ CC-SUMMER CA	5411	"Grocery Stores, Supermarkets"	CAMP SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2071-3	07-04-2012	07-11-2012	O'CONNOR BOWL	173.00	CAD	173.00	CAD	4118	TICKETS AND ADMISSION FEES	P12113	MAIN SQ CC-SUMMER CA	7933	Bowling Alleys	SPORTS CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2071-4	07-09-2012	07-11-2012	TM- BLUE JAYS BASEBALL	810.00	CAD	810.00	CAD	4118	TICKETS AND ADMISSION FEES	P12113	MAIN SQ CC-SUMMER CA	7922	Theatrical Producers (except Motion Pict	SPORTS CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2091-3	07-18-2012	07-25-2012	O'CONNOR BOWL	389.25	CAD	389.25	CAD	4118	TICKETS AND ADMISSION FEES	P12113	MAIN SQ CC-SUMMER CA	7933	Bowling Alleys	SPORTS CAMP TRIP	
					"1,769.49"	CAD	"1,769.49"	CAD								
"PARKS, FORESTRY & RECREATION"	2071-5	07-10-2012	07-11-2012	LOWES #02494*	6.71	CAD	6.71	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12856	RAVWTRMAINT	5200	Home Supply Warehouse	FORD RH 24R 16010024	
"PARKS, FORESTRY & RECREATION"	2077-9	07-13-2012	07-16-2012	ACME DOORWAY	12.01	CAD	12.01	CAD	2730	LOCKS	P12856	RAVWTRMAINT	1799	"Contractors, Special Trade - Not Elsewhe"	KEYS FOR BOXES	
"PARKS, FORESTRY & RECREATION"	2083-1	07-17-2012	07-19-2012	AGO INDUSTRIES INC.	250.27	CAD	250.27	CAD	2665	PROTECTIVE CLOTHING	P12856	RAVWTRMAINT	5137	"Mens, Womens, and Childrens Uniforms and"	SAFETY CLOTHES	
"PARKS, FORESTRY & RECREATION"	2099-1	07-30-2012	07-31-2012	ACME DOORWAY	12.01	CAD	12.01	CAD	2730	LOCKS	P12856	RAVWTRMAINT	1799	"Contractors, Special Trade - Not Elsewhe"	KEYS FOR BOXES	
					281.00	CAD	281.00	CAD								
"PARKS, FORESTRY & RECREATION"	2085-2	07-19-2012	07-20-2012	LOBLAWS #1010	301.49	CAD	301.49	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13340	SPCEVNT - EDITHVALE	5411	"Grocery Stores, Supermarkets"	PIZZA INGREDIENTS	
"PARKS, FORESTRY & RECREATION"	2087-2	07-19-2012	07-23-2012	YOUR DOLLAR STORE WITH	240.69	CAD	240.69	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13340	SPCEVNT - EDITHVALE	5310	Discount Stores	PRIZES FOR EDITHVALE PARK	
