Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	2156-1	08-29-2012	09-06-2012	FOAMITE	"2,949.30"	CAD	"2,949.30"	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	5712	"Equipment, Furniture, and Home Furnishin"	FOAM MATTRESSES FOR EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2162-1	09-10-2012	09-11-2012	L.J. SALES	711.90	CAD	711.90	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0091	HS-MH-PRS-FORT YORK	7311	Advertising Services	CAPS W/ BICENTENNIAL LOGO FOR VOLUNTEERS	
ECONOMIC DEVELOPMENT & CULTURE	2163-1	09-11-2012	09-12-2012	DICKSON HOME HARDWARE	994.39	CAD	994.39	CAD	3050	M & E - KITCHEN	AH0091	HS-MH-PRS-FORT YORK	5251	Hardware Stores	BARBECUE	
ECONOMIC DEVELOPMENT & CULTURE	2174-1	09-18-2012	09-19-2012	ASYST COMMUNICATIONS C	615.68	CAD	615.00	USD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	7399	Business Services - Not Elsewhere Classi	VOICE AMPLIFIERS FOR PUBLIC PROGRAMMING	
ECONOMIC DEVELOPMENT & CULTURE	2179-1	09-20-2012	09-24-2012	LCBO/RAO #0217	75.00	CAD	75.00	CAD	4830	PERMIT & LICENSE FEES	AH0101	HS-MH-PUB-FORT YORK	5921	"Package Stores, Beer, Wine, Liquor"	SPECIAL OCCATION PERMIT FOR PUBLIC EVENT OCT/12	
					"5,346.27"	CAD	"4,730.59"	CAD								
							615.00	USD								
"PARKS, FORESTRY & RECREATION"	2166-1	09-11-2012	09-13-2012	FOOD BASICS #628	121.77	CAD	121.77	CAD	4820	BUSINESS MEETING EXPENSES	P13236	SPCEVNT-OAKDALE	5411	"Grocery Stores, Supermarkets"	BREAKFAST FOOD FOR STAFF MEETING	
					121.77	CAD	121.77	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2163-2	09-11-2012	09-12-2012	NOFRILLS ROB S  1397	13.49	CAD	13.49	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	LEMONS FOR BIRTHDAY PROGRAMS	
ECONOMIC DEVELOPMENT & CULTURE	2169-1	09-14-2012	09-17-2012	JOHNVINCE FOODS DISTRI	240.00	CAD	240.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	CIDER FOR PROGRAMS	
ECONOMIC DEVELOPMENT & CULTURE	2174-2	09-18-2012	09-19-2012	NOFRILLS ROB S  1397	24.01	CAD	24.01	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0119	HS-MH-RET-COLBORNE L	5411	"Grocery Stores, Supermarkets"	INGREDIENTS FOR HARVEST FESTIVAL JAMS	
ECONOMIC DEVELOPMENT & CULTURE	2175-1	09-18-2012	09-20-2012	SHOPPERSDRUGMART1281	11.96	CAD	11.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5912	"Drug Stores, Pharmacies"	BUTTER FOR BAKING	
ECONOMIC DEVELOPMENT & CULTURE	2175-2	09-18-2012	09-20-2012	SHOPPERSDRUGMART1281	11.96	CAD	11.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5912	"Drug Stores, Pharmacies"	BUTTER FOR BAKING	
ECONOMIC DEVELOPMENT & CULTURE	2175-3	09-18-2012	09-20-2012	SHOPPERSDRUGMART1281	11.96	CAD	11.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5912	"Drug Stores, Pharmacies"	BUTTER FOR BAKING	
ECONOMIC DEVELOPMENT & CULTURE	2175-4	09-18-2012	09-20-2012	SHOPPERSDRUGMART1281	11.96	CAD	11.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5912	"Drug Stores, Pharmacies"	BUTTER FOR BAKING	
ECONOMIC DEVELOPMENT & CULTURE	2176-1	09-20-2012	09-21-2012	NOFRILLS ROB S  1397	36.91	CAD	36.91	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	DISPOSABLE CUPS FOR HARVEST FESTIVAL	
ECONOMIC DEVELOPMENT & CULTURE	2179-2	09-23-2012	09-24-2012	NOFRILLS ROB S  1397	9.34	CAD	9.34	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0119	HS-MH-RET-COLBORNE L	5411	"Grocery Stores, Supermarkets"	INGREDIENTS FOR HARVEST FESTIVAL JAMS	
