Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	2494-1	05-08-2013	05-10-2013	PAYPAL *FRESHAIRCIN	960.50	CAD	960.50	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	AH0101	HS-MH-PUB-FORT YORK	8999	Professional Services - Not Elsewhere Cl	RENTAL OF EQUIPMENT - SCREEN	
ECONOMIC DEVELOPMENT & CULTURE	2501-1	05-14-2013	05-16-2013	INCREDIBLE NOVELTIES I	875.28	CAD	875.28	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0052	HS-MH-BOA-METRO HALL	5947	"Card, Gift, Novelty, and Souvenir Shops"	LANYARDS/BADGE HOLDERS FOR EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2507-1	05-21-2013	05-22-2013	BOARD OF GOVENORS EX P	"1,312.32"	CAD	"1,312.32"	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	AH0052	HS-MH-BOA-METRO HALL	7523	Automobile Parking Lots and Garages	RENTAL OF PA FOR EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2512-1	05-23-2013	05-27-2013	METRO #720	58.84	CAD	58.84	CAD	4116	CATERING SERVICES	AH0052	HS-MH-BOA-METRO HALL	5411	"Grocery Stores, Supermarkets"	FOOD FOR VOLUNTEERS - DOORS OPEN - COOKIES & FRUIT	
ECONOMIC DEVELOPMENT & CULTURE	2517-1	05-29-2013	05-31-2013	WESTBURY NATIONAL SHOW	"3,316.55"	CAD	"3,316.55"	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	AH0052	HS-MH-BOA-METRO HALL	7394	"Equipment Rental and Leasing Services, F"	RENTAL OF PA FOR EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2517-2	05-30-2013	05-31-2013	ALBION GOLF CARS	395.50	CAD	395.50	CAD	4510	RENTAL OF VEHICLES AND EQUIPMENT	AH0052	HS-MH-BOA-METRO HALL	4789	Transportation Services-Not Elsewhere Cl	RENTAL OF GOLF CAR FOR EVENT	
					"6,918.99"	CAD	"6,918.99"	CAD								
"PARKS, FORESTRY & RECREATION"	2479-1	05-01-2013	05-02-2013	RCSS SCARBOROUGH #2809	85.68	CAD	85.68	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13347	GENINT&CLB - WARDEN	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2481-1	05-01-2013	05-03-2013	METRO #35	3.51	CAD	3.51	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13347	GENINT&CLB - WARDEN	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2491-1	05-08-2013	05-09-2013	LOBLAWS #1001	122.21	CAD	122.21	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13347	GENINT&CLB - WARDEN	5411	"Grocery Stores, Supermarkets"	SCIENCE CLASS SUPPLIES	
