Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	2525-1	06-04-2013	06-05-2013	TRAVERS COMMUNICATIONS	169.50	CAD	169.50	CAD	4555	PAGER/RADIO RENTALS	AH0052	HS-MH-BOA-METRO HALL	4812	Telecommunication Equipment Including Te	RENTAL OF HAND RADIOS FOR BICENTENNIAL	
ECONOMIC DEVELOPMENT & CULTURE	2529-1	06-05-2013	06-07-2013	METRO #720	27.53	CAD	27.53	CAD	4822	RECEPTIONS & PUBLIC RELATIONS	AH0052	HS-MH-BOA-METRO HALL	5411	"Grocery Stores, Supermarkets"	"FOOD FOR VOLUNTEERS-TRAINING SESSION-COOKIES,COCKT"	
ECONOMIC DEVELOPMENT & CULTURE	2535-1	06-11-2013	06-12-2013	STRONCO SHOW SERVICES	678.00	CAD	678.00	CAD	4410	CONTRACTED SERVICES - ELECTRICAL	AH0052	HS-MH-BOA-METRO HALL	1731	Electrical Contractors	ELECTRICAL HOOKUPS FOR BICENTENNIAL EVENTS-DEPOSIT	
ECONOMIC DEVELOPMENT & CULTURE	2542-1	06-12-2013	06-17-2013	NATURE'S CALL	"2,768.50"	CAD	"2,768.50"	CAD	4590	RENTAL - OTHER	AH0052	HS-MH-BOA-METRO HALL	4900	"Utilities - Electric, Gas, Sanitary, Wat"	PORTABLE TOILETS FOR JUNE 15/16 EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2542-2	06-13-2013	06-17-2013	PAYPAL *INFO	"1,500.00"	CAD	"1,500.00"	CAD	4102	ENTERTAINER AND BAND FEES	AH0101	HS-MH-PUB-FORT YORK	8999	Professional Services - Not Elsewhere Cl	CRAFT ACTIVITY - CANADA DAY	
ECONOMIC DEVELOPMENT & CULTURE	2542-3	06-14-2013	06-17-2013	PAYPAL *SALNA9878	"1,134.00"	CAD	"1,134.00"	CAD	4102	ENTERTAINER AND BAND FEES	AH0101	HS-MH-PUB-FORT YORK	8999	Professional Services - Not Elsewhere Cl	CRAFT ACTIVITY - CANADA DAY	
ECONOMIC DEVELOPMENT & CULTURE	2545-1	06-18-2013	06-19-2013	STRONCO SHOW SERVICES	678.00	CAD	678.00	CAD	4410	CONTRACTED SERVICES - ELECTRICAL	AH0052	HS-MH-BOA-METRO HALL	1731	Electrical Contractors	ELECTRICAL HOOKUPS FOR BICENTENNIAL EVENTS-BALANCE	
ECONOMIC DEVELOPMENT & CULTURE	2547-1	06-19-2013	06-21-2013	WESTBURY NATIONAL SHOW	"2,260.00"	CAD	"2,260.00"	CAD	4082	PHOTO/VIDEO SERVICES	AH0052	HS-MH-BOA-METRO HALL	5200	Home Supply Warehouse	PA SUPPORT FOR JUNE 15/16 EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2550-1	06-20-2013	06-24-2013	METRO #62	135.76	CAD	135.76	CAD	4822	RECEPTIONS & PUBLIC RELATIONS	AH0052	HS-MH-BOA-METRO HALL	5411	"Grocery Stores, Supermarkets"	"FOOD FOR VOLUNTEERS-EVENT-FRUIT PLATTER,ICED TEA,W"	
					"9,351.29"	CAD	"9,351.29"	CAD								
