Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	2603-1	07-29-2013	07-30-2013	NATURAL RESOURCES/RESS	75.00	CAD	75.00	CAD	4830	PERMIT & LICENSE FEES	AH0101	HS-MH-PUB-FORT YORK	9399	Government Services - Not Elsewhere Clas	RENEWAL OF GUNPOWDER MAGAZINE LICENSE	
					75.00	CAD	75.00	CAD								
"PARKS, FORESTRY & RECREATION"	2567-1	07-03-2013	07-05-2013	PAYPAL *AUSSIE X	288.15	CAD	288.15	CAD	4118	TICKETS AND ADMISSION FEES	P13346	SUMMERCAMP - WARDEN	8999	Professional Services - Not Elsewhere Cl	AUSSIE FOOTBALL EVENT	
"PARKS, FORESTRY & RECREATION"	2567-2	07-03-2013	07-05-2013	WAL-MART #3159	22.60	CAD	22.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13346	SUMMERCAMP - WARDEN	5411	"Grocery Stores, Supermarkets"	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2567-3	07-04-2013	07-05-2013	KIDS FUN/TEDDY BEAR FA	197.75	CAD	197.75	CAD	4118	TICKETS AND ADMISSION FEES	P13346	SUMMERCAMP - WARDEN	5947	"Card, Gift, Novelty, and Souvenir Shops"	FOSSIL WORKSHOP	
"PARKS, FORESTRY & RECREATION"	2569-1	07-04-2013	07-08-2013	WAL-MART #3159	123.88	CAD	123.88	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13346	SUMMERCAMP - WARDEN	5411	"Grocery Stores, Supermarkets"	CAMP SUPPLIES FOR ACTIVITIES	
"PARKS, FORESTRY & RECREATION"	2569-2	07-04-2013	07-08-2013	WAL-MART #3159	104.46	CAD	104.46	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13346	SUMMERCAMP - WARDEN	5411	"Grocery Stores, Supermarkets"	"MILK CHIPS, BUTTER, EGGS, CAKE MIX, BUTTER"	
"PARKS, FORESTRY & RECREATION"	2575-1	07-09-2013	07-11-2013	WAL-MART #3159	327.42	CAD	327.42	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13346	SUMMERCAMP - WARDEN	5411	"Grocery Stores, Supermarkets"	"FREEZIES, MOZZ CHEESE, PITA, FEATHERS, BEADS"	
"PARKS, FORESTRY & RECREATION"	2575-2	07-10-2013	07-11-2013	NOFRILLS DICKIES 752	66.25	CAD	66.25	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13346	SUMMERCAMP - WARDEN	5411	"Grocery Stores, Supermarkets"	"FROSTING, MILK, PUDDING, SUGAR, PITA, SKITTLES"	
"PARKS, FORESTRY & RECREATION"	2577-1	07-10-2013	07-12-2013	YOUR DOLLAR STORE WITH	149.97	CAD	149.97	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13346	SUMMERCAMP - WARDEN	5999	Miscellaneous and Specialty Retail Store	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2579-1	07-12-2013	07-15-2013	YOUR DOLLAR STORE WITH	25.99	CAD	25.99	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13346	SUMMERCAMP - WARDEN	5999	Miscellaneous and Specialty Retail Store	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2579-2	07-12-2013	07-15-2013	DOLLAR GIANT #40100	4.24	CAD	4.24	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13346	SUMMERCAMP - WARDEN	5331	Variety Stores	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2579-3	07-12-2013	07-15-2013	PARTY CITY #2027	51.87	CAD	51.87	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13346	SUMMERCAMP - WARDEN	5947	"Card, Gift, Novelty, and Souvenir Shops"	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2579-4	07-12-2013	07-15-2013	WAL-MART # 3111	368.29	CAD	368.29	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13346	SUMMERCAMP - WARDEN	5411	"Grocery Stores, Supermarkets"	"CRAFT SUPPLIES, CAKE MIX, FREEZIES"	
"PARKS, FORESTRY & RECREATION"	2589-1	07-10-2013	07-19-2013	O'CONNOR BOWL	522.00	CAD	522.00	CAD	4118	TICKETS AND ADMISSION FEES	P13346	SUMMERCAMP - WARDEN	7933	Bowling Alleys	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2592-1	07-22-2013	07-23-2013	PARTY CITY #2005	31.44	CAD	31.44	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13346	SUMMERCAMP - WARDEN	5947	"Card, Gift, Novelty, and Souvenir Shops"	CAMP PRIZES	
"PARKS, FORESTRY & RECREATION"	2596-1	07-23-2013	07-24-2013	NOFRILLS DICKIES 752	59.86	CAD	59.86	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13346	SUMMERCAMP - WARDEN	5411	"Grocery Stores, Supermarkets"	"EGGS, BUTTER"	
"PARKS, FORESTRY & RECREATION"	2596-2	07-22-2013	07-24-2013	TARGET CANADA T3639	43.92	CAD	43.92	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P13346	SUMMERCAMP - WARDEN	5310	Discount Stores	STICKERS	
"PARKS, FORESTRY & RECREATION"	2596-3	07-22-2013	07-24-2013	WAL-MART #3001	339.35	CAD	339.35	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13346	SUMMERCAMP - WARDEN	5411	"Grocery Stores, Supermarkets"	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2597-1	07-24-2013	07-25-2013	ONTARIO SCIENCE CENTRE	573.60	CAD	573.60	CAD	4118	TICKETS AND ADMISSION FEES	P13346	SUMMERCAMP - WARDEN	7991	Tourist Attractions and Exhibits	ADMISSION - CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2597-2	07-23-2013	07-25-2013	YOUR DOLLAR STORE WITH	31.08	CAD	31.08	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13346	SUMMERCAMP - WARDEN	5999	Miscellaneous and Specialty Retail Store	CAMP SUPPLIES	
