Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Work Order Number	Cost Centre/WBS Element/Work Order Number Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	2893-1	2014-02-21	2014-02-25	METRO #720	67.24	CAD	67.24	CAD	4822	RECEPTIONS & PUBLIC RELATIONS	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	FOOD FOR VOLUNTEERS - SANDWICH PLATTER & VEGGIES	
ECONOMIC DEVELOPMENT & CULTURE	2897-1	2014-02-27	2014-02-28	IC RADIO LICENSES RADI	246.00	CAD	246.00	CAD	4830	PERMIT & LICENSE FEES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	9399	Government Services - Not Elsewhere Clas	RENEWAL LICENCE FOR HAND RADIOS	
					313.24	CAD	313.24	CAD								
"PARKS, FORESTRY & RECREATION"	2866-1	2014-02-05	2014-02-06	LONG   MCQUADE #60	26.38	CAD	26.38	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P05874	GRANDRAVINE-ARTS-VISL/PERF	5733	"Music Stores - Musical Instruments, Pian"	MUSIC PROGRAM BOOKS	
"PARKS, FORESTRY & RECREATION"	2872-1	2014-02-10	2014-02-11	NOFRILLS VITO'S #3936	24.88	CAD	24.88	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	FOOD PROGRAM GROCERY SUPPLIES - WINTER	
"PARKS, FORESTRY & RECREATION"	2893-2	2014-02-24	2014-02-25	NOFRILLS VITO'S #3936	73.65	CAD	73.65	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	FOOD PROGRAM GROCERY SUPPLIES - WINTER	
					124.91	CAD	124.91	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2881-1	2014-02-15	2014-02-17	VALUE VILLAGE #2038	6.77	CAD	6.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5931	"Second Hand Stores, Used Merchandise Sto"	TABLECLOTH	
ECONOMIC DEVELOPMENT & CULTURE	2881-2	2014-02-15	2014-02-17	PHARMA PLUS	10.13	CAD	10.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5912	"Drug Stores, Pharmacies"	LAUNDRY DETERGENT	
ECONOMIC DEVELOPMENT & CULTURE	2886-1	2014-02-19	2014-02-20	NOFRILLS NICHOLSONS	15.88	CAD	15.88	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	MILK	
