Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Centre / WBS Element / Order #	Cost Centre / WBS Element / Order # Description	Merchant Type	Merchant Type Description	Purpose	
PUBLIC HEALTH	2907-1	2014-03-05	2014-03-06	IKEA HOME SHOPPING/ECO	102.81	CAD	102.81	CAD	2110	PARTS - FURNITURE & FIXTURES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	5712	"Equipment, Furniture, and Home Furnishin"	PARTS - FURNITURE & FIXTURES	
PUBLIC HEALTH	2908-1	2014-03-06	2014-03-07	AMAZON *MARKETPLCE CA	418.06	CAD	418.06	CAD	2110	PARTS - FURNITURE & FIXTURES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	4816	Computer Network/Information Services	PARTS - FURNITURE & FIXTURES	
					520.87	CAD	520.87	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2910-1	2014-03-07	2014-03-10	ROTBLOTTS DISCOUNT WHS	46.09	CAD	46.09	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5251	Hardware Stores	"ALCOHOL SWABS, TINS, MATCHES"	
					46.09	CAD	46.09	CAD								
"PARKS, FORESTRY & RECREATION"	2905-1	2014-03-03	2014-03-05	METRO #493	79.10	CAD	79.10	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	PROGRAM GROCERY SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2913-1	2014-03-11	2014-03-12	NOFRILLS VITO'S #3936	84.15	CAD	84.15	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	PROGRAM GROCERY SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2917-1	2014-03-13	2014-03-14	BATHURST BOWLERAMA	226.00	CAD	226.00	CAD	4118	TICKETS AND ADMISSION FEES	P05874	GRANDRAVINE-ARTS-VISL/PERF	7933	Bowling Alleys	ADMISSIONS - BOWLING	
					389.25	CAD	389.25	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2907-2	2014-03-05	2014-03-06	NOFRILLS PETER'S 3926	43.37	CAD	43.37	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	7999	Recreation Services (Not Elsewhere Class	"FLOUR, BAKING SODA, CRACKERS / LYSOL WIPES, SUNLIG"	
ECONOMIC DEVELOPMENT & CULTURE	2913-2	2014-03-11	2014-03-12	LOBLAWS STORE #179	8.15	CAD	8.15	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"EGGS, MILK & JUICE"	
ECONOMIC DEVELOPMENT & CULTURE	2925-1	2014-03-20	2014-03-21	DOMINION REGALIA LTD	242.95	CAD	242.95	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	7333	"Commercial Art, Graphics, Photography"	FLAG	
ECONOMIC DEVELOPMENT & CULTURE	2927-1	2014-03-20	2014-03-24	FOOD BASICS #930	6.76	CAD	6.76	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	NAPKINS	
ECONOMIC DEVELOPMENT & CULTURE	2932-1	2014-03-26	2014-03-27	NOFRILLS NICHOLSONS	21.91	CAD	21.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	MILK & BAKING CHOCOLATE	
					323.14	CAD	323.14	CAD								
"PARKS, FORESTRY & RECREATION"	2920-1	2014-03-17	2014-03-18	CRACKBERRY CANADA	29.27	CAD	29.27	CAD	3020	M & E - COMMUNICATIONS	P12856	RAVINE & WATERCOURSE MAINTENANCE	5732	Electronic Sales	BLACKBERRY STANDARD BATTERY	
					29.27	CAD	29.27	CAD								
"PARKS, FORESTRY & RECREATION"	2908-2	2014-03-05	2014-03-07	METRO #853	51.75	CAD	51.75	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11408	EARL BALES-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	FOOD FOR COOKING PROG	
"PARKS, FORESTRY & RECREATION"	2910-2	2014-03-07	2014-03-10	HOBBY WORLD	306.03	CAD	306.03	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04318	EARL BALES-HOLIDAY CAMPS	5970	"Artist Supply Stores, Craft Shops"	ART SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2910-3	2014-03-07	2014-03-10	LONG   MCQUADE	85.88	CAD	85.88	CAD	4590	RENTAL - OTHER	P04318	EARL BALES-HOLIDAY CAMPS	7399	Business Services - Not Elsewhere Classi	DRUM RENTALS	
"PARKS, FORESTRY & RECREATION"	2913-3	2014-03-10	2014-03-12	METRO #401	25.52	CAD	25.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04318	EARL BALES-HOLIDAY CAMPS	5411	"Grocery Stores, Supermarkets"	FOOD FOR COOKING PROG	
"PARKS, FORESTRY & RECREATION"	2913-4	2014-03-10	2014-03-12	METRO #401	6.04	CAD	6.04	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04318	EARL BALES-HOLIDAY CAMPS	5411	"Grocery Stores, Supermarkets"	ICE	
"PARKS, FORESTRY & RECREATION"	2916-1	2014-03-11	2014-03-13	METRO #853	52.70	CAD	52.70	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11408	EARL BALES-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	FOOD FOR COOKING PROG	
"PARKS, FORESTRY & RECREATION"	2920-2	2014-03-14	2014-03-18	CDN TIRE STORE #00427	25.97	CAD	25.97	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04318	EARL BALES-HOLIDAY CAMPS	5200	Home Supply Warehouse	CONTAINERS FOR CRAFTS	
"PARKS, FORESTRY & RECREATION"	2922-1	2014-03-15	2014-03-19	METRO #853	78.65	CAD	78.65	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05988	EARL BALES-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	SNACKS FOR WINTER CONCERT	
