Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element /Order Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	3020-1	2014-06-02	2014-06-03	BROCK AGGREGATES	746.57	CAD	746.57	CAD	2770	GRAVEL	AH0091	HS-MH-PROGRAM SUPPORT-FORT YORK	5211	"Building Materials, Lumber Stores"	"3/4"" CLEAR LIMESTONE"	
ECONOMIC DEVELOPMENT & CULTURE	3020-2	2014-06-02	2014-06-03	BROCK AGGREGATES	679.48	CAD	679.48	CAD	2770	GRAVEL	AH0091	HS-MH-PROGRAM SUPPORT-FORT YORK	5211	"Building Materials, Lumber Stores"	"3/4"" CRUSHER-RUN 19MM LIMESTONE"	
ECONOMIC DEVELOPMENT & CULTURE	3031-1	2014-06-09	2014-06-10	STRONCO SHOW SERVICES	"2,994.50"	CAD	"2,994.50"	CAD	4410	CONTRACTED SERVICES - ELECTRICAL	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	1731	Electrical Contractors	ELECTRICAL SERVICES	
ECONOMIC DEVELOPMENT & CULTURE	3043-1	2014-06-16	2014-06-18	WESTBURY NATIONAL SHOW	"2,132.31"	CAD	"2,132.31"	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	5200	Home Supply Warehouse	"AUDIO, LIGHTING AND STAGING RENTAL"	
ECONOMIC DEVELOPMENT & CULTURE	3043-2	2014-06-16	2014-06-18	PAYPAL *SALNA9878	"1,134.00"	CAD	"1,134.00"	CAD	4102	ENTERTAINER AND BAND FEES	AH0137	HS-MH-BD COMM SUPP-FORT YORK	8999	Professional Services - Not Elsewhere Cl	CRAFT ACTIVITIES FOR CANADA DAY	
ECONOMIC DEVELOPMENT & CULTURE	3043-3	2014-06-18	2014-06-18	ULINE	832.88	CAD	832.88	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	5964	Direct Marketing - Catalog Merchants	**MORE**  10X10' ALUMINUM FRAME CANOPY	
ECONOMIC DEVELOPMENT & CULTURE	3046-1	2014-06-18	2014-06-19	STRONCO SHOW SERVICES	"1,186.50"	CAD	"1,186.50"	CAD	4410	CONTRACTED SERVICES - ELECTRICAL	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	1731	Electrical Contractors	ELECTRICAL SERVICES	
ECONOMIC DEVELOPMENT & CULTURE	3046-2	2014-06-18	2014-06-19	ROTBLOTTS DISCOUNT WHS	32.76	CAD	32.76	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	5251	Hardware Stores	BATTERIES	
ECONOMIC DEVELOPMENT & CULTURE	3051-1	2014-06-20	2014-06-24	METRO #720	20.94	CAD	20.94	CAD	4116	CATERING SERVICES	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	5411	"Grocery Stores, Supermarkets"	WATER FOR ARTISTS	
ECONOMIC DEVELOPMENT & CULTURE	3051-2	2014-06-20	2014-06-24	METRO #720	164.92	CAD	164.92	CAD	4116	CATERING SERVICES	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	5411	"Grocery Stores, Supermarkets"	FRUIT FOR ARTISTS	
ECONOMIC DEVELOPMENT & CULTURE	3051-3	2014-06-23	2014-06-24	EVENT RENTAL GROUP LIM	450.87	CAD	450.87	CAD	4590	RENTAL - OTHER	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	7394	"Equipment Rental and Leasing Services, F"	RENTAL - CHAIRS	
ECONOMIC DEVELOPMENT & CULTURE	3054-1	2014-06-22	2014-06-26	METRO #720	73.82	CAD	73.82	CAD	4116	CATERING SERVICES	AH0052	HS-MH-BOARD & COMMITTEE-METRO HALL	5411	"Grocery Stores, Supermarkets"	FOOD FOR ARTISTS	
					"10,449.55"	CAD	"10,449.55"	CAD								
"PARKS, FORESTRY & RECREATION"	3057-1	2014-06-29	2014-06-30	FRESHCO 9750      QPS	89.38	CAD	89.38	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12520	RE-SP-CANADA DAY-E CENTRAL	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR CANADA DAY	
					89.38	CAD	89.38	CAD								
"PARKS, FORESTRY & RECREATION"	3046-3	2014-06-18	2014-06-19	TDSB-PURCHASING	799.93	CAD	799.93	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04343	PLEASANTVIEW-HOLIDAY CAMPS	8299	Educational Services	ARTS AND CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3046-4	2014-06-18	2014-06-19	TDSB-PURCHASING	618.91	CAD	618.91	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04343	PLEASANTVIEW-HOLIDAY CAMPS	8299	Educational Services	ARTS AND CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3057-2	2014-06-27	2014-06-30	WAL-MART # 3111	611.35	CAD	611.35	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04343	PLEASANTVIEW-HOLIDAY CAMPS	5411	"Grocery Stores, Supermarkets"	"MAYO,CRACKERS,CAKE MIX,HOT SAUCE,POPCORN,PASTA"	
					"2,030.19"	CAD	"2,030.19"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3037-1	2014-06-12	2014-06-13	LOBLAW MLG #1007	7.46	CAD	7.46	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	MILK & SPICES	
ECONOMIC DEVELOPMENT & CULTURE	3054-2	2014-06-25	2014-06-26	PLACEWARES	5.65	CAD	5.65	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5719	Miscellaneous House Furnishing Specialty	COOKIE CUTTERS	
ECONOMIC DEVELOPMENT & CULTURE	3054-3	2014-06-25	2014-06-26	DUNDURN PRESS LTD	25.19	CAD	25.19	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5942	Book Stores	BOOKS FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	3055-1	2014-06-26	2014-06-27	NOFRILLS NICHOLSONS	62.31	CAD	62.31	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"JUICE, SODA, RICE CAKE, CHEESE, CUCUMBER, CARROTS"	
					100.61	CAD	100.61	CAD								
"PARKS, FORESTRY & RECREATION"	3046-5	2014-06-17	2014-06-19	WWW.CANADIANTIRE.CA	216.69	CAD	216.69	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12856	RAVINE & WATERCOURSE MAINTENANCE	5200	Home Supply Warehouse	MUSKOL AERESOL	
					216.69	CAD	216.69	CAD								
"PARKS, FORESTRY & RECREATION"	3025-1	2014-06-03	2014-06-05	METRO #853	163.44	CAD	163.44	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P10255	LOCATION SUPP - NY	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR STAFF MTG	
"PARKS, FORESTRY & RECREATION"	3029-1	2014-06-07	2014-06-09	LOBLAWS #1001	23.73	CAD	23.73	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P09698	EARL BALES-INSTRL	5411	"Grocery Stores, Supermarkets"	HOOLA HOOPS	
"PARKS, FORESTRY & RECREATION"	3049-1	2014-06-21	2014-06-23	LOBLAWS #1001	33.09	CAD	33.09	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05988	EARL BALES-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	MATERIALS FOR COOKING PROGRAM	
					220.26	CAD	220.26	CAD								
"PARKS, FORESTRY & RECREATION"	3047-1	2014-06-16	2014-06-20	SPEED FASTENING SYSTEM	21.02	CAD	21.02	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5712	"Equipment, Furniture, and Home Furnishin"	ANCHOR	
"PARKS, FORESTRY & RECREATION"	3049-2	2014-06-19	2014-06-23	MR METAL(ETOBICOKE) IN	31.62	CAD	31.62	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices	STEEL	
"PARKS, FORESTRY & RECREATION"	3053-1	2014-06-23	2014-06-25	THE HOME DEPOT #7011	14.40	CAD	14.40	CAD	2715	PAINT SUPPLIES	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	TRMCLD PRM	
"PARKS, FORESTRY & RECREATION"	3053-2	2014-06-23	2014-06-25	MR METAL(ETOBICOKE) IN	138.98	CAD	138.98	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices	STEEL	
"PARKS, FORESTRY & RECREATION"	3055-2	2014-06-25	2014-06-27	MR METAL(ETOBICOKE) IN	264.67	CAD	264.67	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices	STEEL	
"PARKS, FORESTRY & RECREATION"	3057-3	2014-06-25	2014-06-30	SPEED FASTENING SYSTEM	127.13	CAD	127.13	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5712	"Equipment, Furniture, and Home Furnishin"	ZIPCUT	
"PARKS, FORESTRY & RECREATION"	3057-4	2014-06-26	2014-06-30	THE HOME DEPOT #7080	10.58	CAD	10.58	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	EVERBILT	
					608.40	CAD	608.40	CAD								
"PARKS, FORESTRY & RECREATION"	3018-1	2014-05-30	2014-06-02	THE HOME DEPOT #7011	122.23	CAD	122.23	CAD	2570	JANITORIAL SUPPLIES	P10960	CENTENNIAL STADIUM-OPERATIONS	5200	Home Supply Warehouse	"**MORE**  14""TIEBLK500"	
"PARKS, FORESTRY & RECREATION"	3027-1	2014-06-05	2014-06-06	DULUX PAINTS #142	831.68	CAD	831.68	CAD	2715	PAINT SUPPLIES	P00656	CENTENNIAL PARK-PRGM SUPPORT	5231	"Glass, Paint, Wallpaper Stores"	"PAINT FOR BENCHES, PICNIC TABLES"	
"PARKS, FORESTRY & RECREATION"	3029-2	2014-06-06	2014-06-09	LOWES #03096*	66.25	CAD	66.25	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00656	CENTENNIAL PARK-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  30KG SAND MIX QUIKRETE	
"PARKS, FORESTRY & RECREATION"	3029-3	2014-06-06	2014-06-09	DULUX PAINTS #142	295.27	CAD	295.27	CAD	2715	PAINT SUPPLIES	P10960	CENTENNIAL STADIUM-OPERATIONS	5231	"Glass, Paint, Wallpaper Stores"	PAINT FOR PARK BLDNGS	
"PARKS, FORESTRY & RECREATION"	3029-4	2014-06-04	2014-06-09	JJ DOWNS INDUSTRIAL	364.26	CAD	364.26	CAD	2535	PLUMBING SUPPLIES	P00656	CENTENNIAL PARK-PRGM SUPPORT	5085	Industrial Supplies Not Elsewhere Classi	PIPE PARTS TO REPAIR GREENHOUSE WATER FALLS	
"PARKS, FORESTRY & RECREATION"	3031-2	2014-06-06	2014-06-10	CDN TIRE STORE #00070	246.02	CAD	246.02	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00656	CENTENNIAL PARK-PRGM SUPPORT	5200	Home Supply Warehouse	TIRE PLUG KITS & FUNNELS FOR LIQUID TRANSFER	
