Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
																
ECONOMIC DEVELOPMENT & CULTURE	3060-1	2014-06-30	2014-07-03	METRO #720	155.76	CAD	155.76	CAD	4116	CATERING SERVICES	AH0137	HS-MH-BD COMM SUPP-FORT YORK	5411	"Grocery Stores, Supermarkets"	FOOD FOR VOLUNTEERS	
ECONOMIC DEVELOPMENT & CULTURE	3065-1	2014-07-04	2014-07-07	WSI SIGNS SYSTEMS LTD	"2,260.00"	CAD	"2,260.00"	CAD	4085	PROF & TECH-MGMT	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	2741	Miscellaneous Publishing and Printing	EXTERIOR SIGN STAMPED DRAWINGS	
ECONOMIC DEVELOPMENT & CULTURE	3081-1	2014-07-14	2014-07-16	WESTBURY NATIONAL SHOW	"2,858.90"	CAD	"2,858.90"	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	AH0137	HS-MH-BD COMM SUPP-FORT YORK	5200	Home Supply Warehouse	RENTAL OF AUDIO EQUIPMENT	
ECONOMIC DEVELOPMENT & CULTURE	3081-2	2014-07-15	2014-07-16	NATURAL RESOURCES/RESS	75.00	CAD	75.00	CAD	4830	PERMIT & LICENSE FEES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	9399	Government Services - Not Elsewhere Clas	RENEWAL OF LICENSE	
ECONOMIC DEVELOPMENT & CULTURE	3083-1	2014-07-15	2014-07-17	THE SINGING LADY CONSI	167.81	CAD	167.81	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5712	"Equipment, Furniture, and Home Furnishin"	REPRODUCTION DISHES FOR HISTORIC KITCHEN	
ECONOMIC DEVELOPMENT & CULTURE	3087-1	2014-07-17	2014-07-21	METRO #720	22.58	CAD	22.58	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	LAUNDRY DETERGENT	
ECONOMIC DEVELOPMENT & CULTURE	3087-2	2014-07-18	2014-07-21	WESTBURY NATIONAL SHOW	"2,531.20"	CAD	"2,531.20"	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5200	Home Supply Warehouse	RENTAL OF AUDIO EQUIPMENT	
					"8,071.25"	CAD	"8,071.25"	CAD								
"PARKS, FORESTRY & RECREATION"	3059-1	2014-06-30	2014-07-02	NOFRILLS TOMS 775	100.56	CAD	100.56	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12520	RE-SP-CANADA DAY-E CENTRAL	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR CANADA DAY	
"PARKS, FORESTRY & RECREATION"	3059-2	2014-06-30	2014-07-02	RCSS SCARBOROUGH #2809	45.58	CAD	45.58	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12520	RE-SP-CANADA DAY-E CENTRAL	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR CANADA DAY	
"PARKS, FORESTRY & RECREATION"	3059-3	2014-06-30	2014-07-02	GIANT TIGER #159	18.09	CAD	18.09	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12520	RE-SP-CANADA DAY-E CENTRAL	5311	Department Stores	FOOD SUPPLIES FOR CANADA DAY	
					164.23	CAD	164.23	CAD								
"PARKS, FORESTRY & RECREATION"	3060-2	2014-06-30	2014-07-03	FOOD BASICS #692	118.62	CAD	118.62	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04343	PLEASANTVIEW-HOLIDAY CAMPS	5411	"Grocery Stores, Supermarkets"	"FOOD FOR COOKING WORKSHOP, SUMMER CAMP"	
"PARKS, FORESTRY & RECREATION"	3067-1	2014-07-04	2014-07-08	FOOD BASICS #692	334.41	CAD	334.41	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR SUMMER CAMP	
"PARKS, FORESTRY & RECREATION"	3067-2	2014-07-04	2014-07-08	FOOD BASICS #692	97.04	CAD	97.04	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR SUMMER CAMP	
"PARKS, FORESTRY & RECREATION"	3074-1	2014-07-08	2014-07-10	FOOD BASICS #692	120.38	CAD	120.38	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR SUMMER CAMP	
"PARKS, FORESTRY & RECREATION"	3074-2	2014-07-09	2014-07-10	SHOPPERS DRUG MART #15	198.25	CAD	198.25	CAD	4225	BUSINESS TRAV - PUBLIC TRANSIT	P04673	PLEASANTVIEW-SUMMER CAMPS	5912	"Drug Stores, Pharmacies"	TTC TICKETS & TOKENS	
"PARKS, FORESTRY & RECREATION"	3074-3	2014-07-09	2014-07-10	RIPLEYS AQUARIUM	"1,319.15"	CAD	"1,319.15"	CAD	4118	TICKETS AND ADMISSION FEES	P04673	PLEASANTVIEW-SUMMER CAMPS	7998	"Aquariums, Dolphinariums, Seaquariums"	ADMISSIONS FOR SUMMER CAMP	
"PARKS, FORESTRY & RECREATION"	3074-4	2014-07-08	2014-07-10	FOOD BASICS #692	28.32	CAD	28.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR SUMMER CAMP	
"PARKS, FORESTRY & RECREATION"	3074-5	2014-07-08	2014-07-10	FOOD BASICS #692	155.14	CAD	155.14	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	GROCERIES/FOOD FOR SUMMER CAMP	
"PARKS, FORESTRY & RECREATION"	3074-6	2014-07-08	2014-07-10	FOOD BASICS #692	46.78	CAD	46.78	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	GROCERIES SUPPLIES FOR SUMMER CAMP	
"PARKS, FORESTRY & RECREATION"	3076-1	2014-07-10	2014-07-11	SHOPPERS DRUG MART #15	36.00	CAD	36.00	CAD	4225	BUSINESS TRAV - PUBLIC TRANSIT	P04673	PLEASANTVIEW-SUMMER CAMPS	5912	"Drug Stores, Pharmacies"	TTC TICKETS & TOKENS FOR SUMMER CAMP	
"PARKS, FORESTRY & RECREATION"	3078-1	2014-07-11	2014-07-14	SHOPPERS DRUG MART #15	263.75	CAD	263.75	CAD	4225	BUSINESS TRAV - PUBLIC TRANSIT	P04673	PLEASANTVIEW-SUMMER CAMPS	5912	"Drug Stores, Pharmacies"	TTC TICKETS & TOKENS FOR SUMMER CAMP	
"PARKS, FORESTRY & RECREATION"	3093-1	2014-07-22	2014-07-24	FOOD BASICS #692	39.28	CAD	39.28	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	GROCERIES SUPPLIES FOR SUMMER CAMP	
"PARKS, FORESTRY & RECREATION"	3093-2	2014-07-22	2014-07-24	FOOD BASICS #692	29.44	CAD	29.44	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	GROCERIES SUPPLIES FOR SUMMER CAMP	
