Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order #	Cost Centre / WBS Element / Order # Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	3228-1	2014-11-01	2014-11-03	ULINE	"2,978.07"	CAD	"2,978.07"	CAD	2570	JANITORIAL SUPPLIES	AH0091	HS-MH-PROGRAM SUPPORT-FORT YORK	5964	Direct Marketing - Catalog Merchants	**MORE**  23 GAL SLIM JIM TRASH CAN-BLACK	
ECONOMIC DEVELOPMENT & CULTURE	3229-1	2014-11-03	2014-11-04	TIMELINE SOLUTIONS	"1,158.25"	CAD	"1,158.25"	CAD	3025	M & E - JANITORIAL	AH0091	HS-MH-PROGRAM SUPPORT-FORT YORK	7349	"Cleaning and Maintenance, Janitorial Ser"	FLOOR BUFFER MACHINE	
ECONOMIC DEVELOPMENT & CULTURE	3229-2	2014-11-03	2014-11-04	TIMELINE SOLUTIONS	174.02	CAD	174.02	CAD	3025	M & E - JANITORIAL	AH0091	HS-MH-PROGRAM SUPPORT-FORT YORK	7349	"Cleaning and Maintenance, Janitorial Ser"	PAD DRIVERS/DISC HEAD FOR FLOOR MACHINE	
ECONOMIC DEVELOPMENT & CULTURE	3237-1	2014-11-06	2014-11-06	ULINE	"1,170.57"	CAD	"1,170.57"	CAD	3099	GENERAL EQUIPMENT	AH0091	HS-MH-PROGRAM SUPPORT-FORT YORK	5964	Direct Marketing - Catalog Merchants	TRADEMASTER CART 4 DRAWER W/CAB	
ECONOMIC DEVELOPMENT & CULTURE	3242-1	2014-11-08	2014-11-10	ULINE	"-1,170.57"	CAD	"-1,170.57"	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0091	HS-MH-PROGRAM SUPPORT-FORT YORK	5964	Direct Marketing - Catalog Merchants	CREDIT FOR TRADEMASTER CART	
ECONOMIC DEVELOPMENT & CULTURE	3253-1	2014-11-17	2014-11-19	WESTBURY NATIONAL SHOW	"1,593.30"	CAD	"1,593.30"	CAD	4424	CONTRACTED SERVICES - GENERAL	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5200	Home Supply Warehouse	PA FOR REMEMBRANCE DAY CEREMONY	
ECONOMIC DEVELOPMENT & CULTURE	3256-1	2014-11-19	2014-11-20	MR JANITORIAL SUPPLIES	419.14	CAD	419.14	CAD	2570	JANITORIAL SUPPLIES	AH0091	HS-MH-PROGRAM SUPPORT-FORT YORK	2842	"Specialty Cleaning, Polishing, and Sanit"	JANITORIAL SUPPLES AND EQUIPMENT	
ECONOMIC DEVELOPMENT & CULTURE	3269-1	2014-11-27	2014-11-28	ROTBLOTTS DISCOUNT WHS	112.98	CAD	112.98	CAD	2590	EMERGENCY SERVICES SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5251	Hardware Stores	FIRST AID KITS	
					"6,435.76"	CAD	"6,435.76"	CAD								
"PARKS, FORESTRY & RECREATION"	3237-2	2014-11-05	2014-11-06	NOFRILLS STEVE LIZ'S #	91.71	CAD	91.71	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P09686	BARBARA FRUM-INSTRL	5411	"Grocery Stores, Supermarkets"	GROCERIES  (ND VOL REC EVENT)	
"PARKS, FORESTRY & RECREATION"	3265-1	2014-11-25	2014-11-27	JACK WATSON SPORTS INC	999.98	CAD	999.98	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P09686	BARBARA FRUM-INSTRL	5941	Sporting Goods Stores	"TETHERBALL W/ ROPE, STURDY STEEL LEADE CHAIN"	
"PARKS, FORESTRY & RECREATION"	3269-2	2014-11-27	2014-11-28	MOBILE BUSINESS COMMUN	993.27	CAD	993.27	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P09686	BARBARA FRUM-INSTRL	4812	Telecommunication Equipment Including Te	PORTABLE RADIO AND ACCESSORIES	
					"2,084.96"	CAD	"2,084.96"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3242-2	2014-11-09	2014-11-10	ROB'S NO FRILLS STORE	15.94	CAD	15.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	FLOUR FOR BAKING	
