Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	 G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	3275-1	2014-12-01	2014-12-03	METRO #720	34.09	CAD	34.09	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	FLOUR	
ECONOMIC DEVELOPMENT & CULTURE	3302-1	2014-12-19	2014-12-22	LCBO/RAO #0217	75.00	CAD	75.00	CAD	4830	PERMIT & LICENSE FEES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5921	"Package Stores, Beer, Wine, Liquor"	PERMIT FOR EVENT	
					109.09	CAD	109.09	CAD								
"PARKS, FORESTRY & RECREATION"	3271-1	2014-11-27	2014-12-01	FOOD BASICS #692	116.60	CAD	116.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P09686	BARBARA FRUM-INSTRL	5411	"Grocery Stores, Supermarkets"	GROCERIES  (FALL PRESCHOOL)	
"PARKS, FORESTRY & RECREATION"	3271-2	2014-11-27	2014-12-01	FOOD BASICS #692	61.72	CAD	61.72	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P09686	BARBARA FRUM-INSTRL	5411	"Grocery Stores, Supermarkets"	GROCERIES  (FALL PRESCHOOL)	
"PARKS, FORESTRY & RECREATION"	3275-2	2014-12-01	2014-12-03	PAYPAL *PPGEAR	727.72	CAD	727.72	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P09686	BARBARA FRUM-INSTRL	5661	Shoe Stores	TABLE TENNIS	
"PARKS, FORESTRY & RECREATION"	3294-1	2014-12-12	2014-12-16	BOSS STEEL	967.73	CAD	967.73	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P13487	PARKWAY FOREST- PRGM SUPPORT CR	5085	Industrial Supplies Not Elsewhere Classi	BALLET BARRES	
"PARKS, FORESTRY & RECREATION"	3294-2	2014-12-15	2014-12-16	CANADA POPCORN COMPANY	995.47	CAD	995.47	CAD	3050	M & E - KITCHEN	P13487	PARKWAY FOREST- PRGM SUPPORT CR	5399	Miscellaneous General Merchandise	POPCORN MACHINE	
"PARKS, FORESTRY & RECREATION"	3300-1	2014-12-18	2014-12-19	SONSUH EDUCATIONAL SUP	489.42	CAD	489.42	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P13487	PARKWAY FOREST- PRGM SUPPORT CR	5199	Nondurable Goods Not Elsewhere Classifie	PRESCHOOL SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3300-2	2014-12-18	2014-12-19	SONSUH EDUCATIONAL SUP	118.05	CAD	118.05	CAD	3040	M & E - RECREATIONAL & EDUCATIONAL	P13487	PARKWAY FOREST- PRGM SUPPORT CR	5199	Nondurable Goods Not Elsewhere Classifie	PRESCHOOL SUPPLIES	
