Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order No	Cost Centre / WBS Element / Order No. Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	3339-1	2015-01-19	2015-01-20	EXECUTIVE FURNITURE RE	"1,525.50"	CAD	"1,525.50"	CAD	4515	RENTAL OF OFFICE EQUIPMENT	AH0117	HS-MH-RETAIL-FORT YORK	5712	"Equipment, Furniture, and Home Furnishin"	RENTAL OF FRONT DESK	
					"1,525.50"	CAD	"1,525.50"	CAD								
"PARKS, FORESTRY & RECREATION"	3348-1	2015-01-26	2015-01-27	ARTON CRAFTS INC	495.80	CAD	495.80	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5970	"Artist Supply Stores, Craft Shops"	"BEADS, JEWELLERY SUPPLIES"	
"PARKS, FORESTRY & RECREATION"	3348-2	2015-01-26	2015-01-27	ARTON CRAFTS INC	95.68	CAD	95.68	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5970	"Artist Supply Stores, Craft Shops"	"BEADS, JEWELLERY SUPPLIES"	
					591.48	CAD	591.48	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3329-1	2015-01-12	2015-01-13	ROB'S NO FRILLS STORE	55.43	CAD	55.43	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	DISPOSABLE CUPS/DISHES	
ECONOMIC DEVELOPMENT & CULTURE	3331-1	2015-01-13	2015-01-14	ROB'S NO FRILLS STORE	11.11	CAD	11.11	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"SPONGE, BLEACH, J-CLOTHS"	
ECONOMIC DEVELOPMENT & CULTURE	3337-1	2015-01-16	2015-01-19	ROB'S NO FRILLS STORE	4.97	CAD	4.97	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	MILK	
ECONOMIC DEVELOPMENT & CULTURE	3339-2	2015-01-19	2015-01-20	JOHNVINCE FOODS DISTRI	370.00	CAD	370.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	APPLE CIDER	
					441.51	CAD	441.51	CAD								
"PARKS, FORESTRY & RECREATION"	3327-1	2015-01-09	2015-01-12	LONG   MCQUADE LIMITED	114.57	CAD	114.57	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P01896	MASARYK COWAN-ARTS-VISL/PERF	7399	Business Services - Not Elsewhere Classi	MUSICAL INSTRUMENTS FOR MUSIC CLASSES	
					114.57	CAD	114.57	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3327-2	2015-01-09	2015-01-12	METRO #720	154.45	CAD	154.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"BROTH, CURRANTS, PEARS, ONIONS, MILK, BREAD, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	3331-2	2015-01-12	2015-01-14	METRO #720	12.06	CAD	12.06	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	LIMES	
ECONOMIC DEVELOPMENT & CULTURE	3331-3	2015-01-12	2015-01-14	LCBO/RAO #018	74.45	CAD	74.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5921	"Package Stores, Beer, Wine, Liquor"	PORT AND BRANDY FOR BALL	
