Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order No.	Cost Centre / WBS Element / Order No. Description	Merchant Type	Merchant Type Description	Purpose	
PUBLIC HEALTH	3376-1	2015-02-12	2015-02-13	AMAZON *MARKETPLCE CA	418.06	CAD	418.06	CAD	4414	ADVERTISING & PROMOTION	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	4816	Computer Network/Information Services	ADVERTISING & PROMOTION	
					418.06	CAD	418.06	CAD								
"PARKS, FORESTRY & RECREATION"	3386-1	2015-02-19	2015-02-20	CANADA POPCORN COMPANY	258.71	CAD	258.71	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04343	PLEASANTVIEW-HOLIDAY CAMPS	5399	Miscellaneous General Merchandise	POPCORN SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3394-1	2015-02-25	2015-02-26	FOOD BASICS #692	80.19	CAD	80.19	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06077	PLEASANTVIEW-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	GROCERIES-PRESCHOOL PROGRAM	
					338.90	CAD	338.90	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3357-1	2015-01-31	2015-02-02	SALARMY TOR-BLOOR STOR	34.91	CAD	34.91	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0075	HS-MH-EDUCATION/OUTRCH-COLBORNE L	8398	"Organizations, Charitable and Social Ser"	DISHES	
ECONOMIC DEVELOPMENT & CULTURE	3357-2	2015-02-01	2015-02-02	HOMESENSE 071	10.17	CAD	10.17	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5651	Family Clothing Stores	"BOWL, KITCHEN UTENSILS"	
					45.08	CAD	45.08	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3359-1	2015-02-02	2015-02-03	FRESHCO 9841	19.96	CAD	19.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	PISTACHIOS	
ECONOMIC DEVELOPMENT & CULTURE	3370-1	2015-02-09	2015-02-10	LOBLAWS 4.2	40.55	CAD	40.55	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CURRANTS, MILK"	
ECONOMIC DEVELOPMENT & CULTURE	3376-2	2015-02-11	2015-02-13	SOBEYS 938        QPS	8.30	CAD	8.30	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	VEGETABLE BROTH	
