Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order No.	Cost Centre / WBS Element / Order No. Description	Merchant Type	Merchant Type Description	Purpose	
PUBLIC HEALTH	3460-1	2015-04-14	2015-04-16	PAYPAL *HONGFOOK	130.00	CAD	130.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8398	"Organizations, Charitable and Social Ser"	CONFERENCES/SEMINARS - REGISTRATION	
PUBLIC HEALTH	3460-2	2015-04-14	2015-04-16	PAYPAL *HONGFOOK	130.00	CAD	130.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8398	"Organizations, Charitable and Social Ser"	CONFERENCES/SEMINARS - REGISTRATION	
PUBLIC HEALTH	3460-3	2015-04-14	2015-04-16	PAYPAL *HONGFOOK	130.00	CAD	130.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8398	"Organizations, Charitable and Social Ser"	CONFERENCES/SEMINARS - REGISTRATION	
PUBLIC HEALTH	3460-4	2015-04-14	2015-04-16	PAYPAL *HONGFOOK	130.00	CAD	130.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8398	"Organizations, Charitable and Social Ser"	CONFERENCES/SEMINARS - REGISTRATION	
PUBLIC HEALTH	3460-5	2015-04-14	2015-04-16	PAYPAL *HONGFOOK	130.00	CAD	130.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8398	"Organizations, Charitable and Social Ser"	CONFERENCES/SEMINARS - REGISTRATION	
PUBLIC HEALTH	3460-6	2015-04-14	2015-04-16	PAYPAL *HONGFOOK	130.00	CAD	130.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8398	"Organizations, Charitable and Social Ser"	CONFERENCES/SEMINARS - REGISTRATION	
PUBLIC HEALTH	3469-1	2015-04-20	2015-04-22	PAYPAL *OBC2012	300.00	CAD	300.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8641	"Associations - Civic, Social, and Frater"	CONFERENCES/SEMINARS - REGISTRATION	
PUBLIC HEALTH	3469-2	2015-04-20	2015-04-22	PAYPAL *OBC2012	300.00	CAD	300.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8641	"Associations - Civic, Social, and Frater"	CONFERENCES/SEMINARS - REGISTRATION	
PUBLIC HEALTH	3469-3	2015-04-20	2015-04-22	PAYPAL *OBC2012	300.00	CAD	300.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8641	"Associations - Civic, Social, and Frater"	CONFERENCES/SEMINARS - REGISTRATION	
PUBLIC HEALTH	3469-4	2015-04-20	2015-04-22	PAYPAL *OBC2012	300.00	CAD	300.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8641	"Associations - Civic, Social, and Frater"	CONFERENCES/SEMINARS - REGISTRATION	
PUBLIC HEALTH	3469-5	2015-04-20	2015-04-22	PAYPAL *OBC2012	300.00	CAD	300.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8641	"Associations - Civic, Social, and Frater"	CONFERENCES/SEMINARS - REGISTRATION	
PUBLIC HEALTH	3469-6	2015-04-20	2015-04-22	PAYPAL *OBC2012	300.00	CAD	300.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8641	"Associations - Civic, Social, and Frater"	CONFERENCES/SEMINARS - REGISTRATION	
PUBLIC HEALTH	3469-7	2015-04-20	2015-04-22	PAYPAL *OBC2012	300.00	CAD	300.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8641	"Associations - Civic, Social, and Frater"	CONFERENCES/SEMINARS - REGISTRATION	
					"2,880.00"	CAD	"2,880.00"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3468-1	2015-04-20	2015-04-21	EXECUTIVE FURNITURE RE	508.50	CAD	508.50	CAD	4515	RENTAL OF OFFICE EQUIPMENT	AH0117	HS-MH-RETAIL-FORT YORK	5712	"Equipment, Furniture, and Home Furnishin"	RENTAL OF FRONT DESK	
ECONOMIC DEVELOPMENT & CULTURE	3475-1	2015-04-23	2015-04-27	CLIFFORD'S HAULAGE LTD	337.31	CAD	337.31	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	AH0154	CD-AM-FACILITY MGMT-FORT YORK	4214	"Motor Freight Carriers, Trucking - Local"	TRIPLE MIX	
					845.81	CAD	845.81	CAD								
"PARKS, FORESTRY & RECREATION"	3452-1	2015-04-09	2015-04-10	ARTON CRAFTS INC	351.63	CAD	351.63	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05508	DON MONTGOMERY CRC-SOCIAL PRGM	5970	"Artist Supply Stores, Craft Shops"	JEWELRY MAKING SUPPLIES - BASE METALS	
"PARKS, FORESTRY & RECREATION"	3452-2	2015-04-09	2015-04-10	ARTON CRAFTS INC	223.60	CAD	223.60	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05508	DON MONTGOMERY CRC-SOCIAL PRGM	5970	"Artist Supply Stores, Craft Shops"	JEWELRY MAKING SUPPLIES - CRYSTALS	
					575.23	CAD	575.23	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3454-1	2015-04-11	2015-04-13	ROB'S NO FRILLS STORE	19.60	CAD	19.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"EGGS, MILK, MAPLE SYRUP"	
					19.60	CAD	19.60	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3448-1	2015-04-07	2015-04-08	FRESHCO #9781	9.03	CAD	9.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	MILK	
ECONOMIC DEVELOPMENT & CULTURE	3454-2	2015-04-10	2015-04-13	METRO #720	81.30	CAD	81.30	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"BREAD, MILK, APPLES, JUICE, CURRANTS"	
ECONOMIC DEVELOPMENT & CULTURE	3454-3	2015-04-10	2015-04-13	FRIES INC	363.95	CAD	363.95	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	7623	Air Conditioning and Refrigeration Repai	REPAIR ICE MACHINE	
ECONOMIC DEVELOPMENT & CULTURE	3456-1	2015-04-13	2015-04-14	FRESHCO #9781	9.87	CAD	9.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"BREAD CRUMBS, PASTA, CHEESE"	
ECONOMIC DEVELOPMENT & CULTURE	3467-1	2015-04-17	2015-04-20	METRO #720	91.58	CAD	91.58	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"JUICE, POTATOES, ONIONS, BREAD"	
ECONOMIC DEVELOPMENT & CULTURE	3468-2	2015-04-20	2015-04-21	METRO #720	30.49	CAD	30.49	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"COCONUT MILK, BREAD"	
ECONOMIC DEVELOPMENT & CULTURE	3469-8	2015-04-21	2015-04-22	FRESHCO #9781	7.96	CAD	7.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	CARROTS	
ECONOMIC DEVELOPMENT & CULTURE	3477-1	2015-04-27	2015-04-28	FRESHCO #9781	26.52	CAD	26.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CORIANDER, ALLSPICE, CUMIN, TUMERIC, MILK, BREAD"	
ECONOMIC DEVELOPMENT & CULTURE	3477-2	2015-04-27	2015-04-28	LOBLAWS 4.2	10.16	CAD	10.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	MUFFIN TOP PAN	
ECONOMIC DEVELOPMENT & CULTURE	3477-3	2015-04-27	2015-04-28	LOBLAWS 4.2	37.10	CAD	37.10	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CORN SYRUP, COCONUT MACE, MUFFIN TOP PAN"	
					667.96	CAD	667.96	CAD								
FIRE SERVICES	3467-2	2015-04-16	2015-04-20	THE HOME DEPOT #7012	146.79	CAD	146.79	CAD	2710	GENERAL HARDWARE	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5200	Home Supply Warehouse	**MORE**  GARDEN HOSE	
FIRE SERVICES	3467-3	2015-04-16	2015-04-20	CDN TIRE STORE #00030	63.19	CAD	63.19	CAD	2610	KITCHEN SUPPLIES	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5200	Home Supply Warehouse	METAL BOWLS	
FIRE SERVICES	3475-2	2015-04-23	2015-04-27	RADIATION MEASUREMENT	"1,214.75"	CAD	"1,214.75"	CAD	3099	GENERAL EQUIPMENT	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	7299	Other Services (Not Elsewhere Classified	CS 137 RADIATION SOURCES - TRAINING EQUIPMENT	
FIRE SERVICES	3478-1	2015-04-27	2015-04-29	THE HOME DEPOT #7001	107.39	CAD	107.39	CAD	2710	GENERAL HARDWARE	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5200	Home Supply Warehouse	2G HAND SPRAYER	
FIRE SERVICES	3478-2	2015-04-27	2015-04-29	THE HOME DEPOT #7012	154.63	CAD	154.63	CAD	2710	GENERAL HARDWARE	FR0035	CHEMICAL BIOLOG RADIOLOG NUCLEAER RESP	5200	Home Supply Warehouse	**MORE**  STERILITE 16 QT (BUCKET)	
					"1,686.75"	CAD	"1,686.75"	CAD								
TRANSPORTATION SERVICES 	3441-1	2015-03-31	2015-04-01	CARSWELL	241.57	CAD	241.57	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	7338	"Quick Copy, Reproduction, and Blueprinti"	HEALTH & SAFETY REFERENCE BOOKS	
TRANSPORTATION SERVICES 	3468-3	2015-04-20	2015-04-21	PAYPAL *TWEETYMAIL	6.26	CAD	6.26	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3468-4	2015-04-20	2015-04-21	PAYPAL *TWEETYMAIL	6.26	CAD	6.26	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3468-5	2015-04-20	2015-04-21	PAYPAL *TWEETYMAIL	6.26	CAD	6.26	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3468-6	2015-04-20	2015-04-21	PAYPAL *TWEETYMAIL	6.26	CAD	6.26	CAD	4995	OTHER EXPENSES	TP0240	COMPUTER SYSTEMS-UTCS	7372	"Computer Programming, Integrated Systems"	MONTHLY SUBSCRIPTION FOR MAX ACCESS TO TWEETYMAIL	
TRANSPORTATION SERVICES 	3475-3	2015-04-21	2015-04-27	GILMORE	131.78	CAD	131.78	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	TP0399	SIGNS & MARKINGS MANAGEMENT & OH	2741	Miscellaneous Publishing and Printing	CANADIAN GUIDE FOR GREENER ROADS 2015	
TRANSPORTATION SERVICES 	3475-4	2015-04-23	2015-04-27	THE HOME DEPOT CANADA	202.27	CAD	202.27	CAD	2710	GENERAL HARDWARE	TP0398	PAVEMENT MARKINGS	5200	Home Supply Warehouse	HANDLE DRILL FOR SIGN INSTALLATION	
					600.66	CAD	600.66	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3444-1	2015-04-01	2015-04-06	SHOPPERSDRUGMART1281	5.86	CAD	5.86	CAD	2570	JANITORIAL SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5912	"Drug Stores, Pharmacies"	JET DRY RINSE	
ECONOMIC DEVELOPMENT & CULTURE	3446-1	2015-04-06	2015-04-07	NEVERENS SEWEING SUPPL	11.29	CAD	11.29	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0129	AS-PR-RETAIL RENT PERM-LAKESHORE A.H.	5949	"Fabric, Needlework, Piece Goods, and Sew"	SEWING SAFETY PINS	
ECONOMIC DEVELOPMENT & CULTURE	3450-1	2015-04-09	2015-04-09	WEBNAMESCA INC	56.50	CAD	56.50	CAD	4995	OTHER EXPENSES	AH0014	AS-PS-COMMUNITY DEV-METRO HALL	4816	Computer Network/Information Services	NAME TRANSFER	
