Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Tr Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order No.	Cost Centre / WBS Element / Order No. Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	3509-1	2015-05-19	2015-05-20	METRO #720	46.17	CAD	46.17	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	WATER FOR EVENT	
ECONOMIC DEVELOPMENT & CULTURE	3514-1	2015-05-22	2015-05-25	METRO #720	82.53	CAD	82.53	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	"CRACKERS, CHEESE, COOKIES, VEGETABLE CAROUSEL, ETC"	
ECONOMIC DEVELOPMENT & CULTURE	3520-1	2015-05-27	2015-05-28	EXECUTIVE FURNITURE RE	508.50	CAD	508.50	CAD	4515	RENTAL OF OFFICE EQUIPMENT	AH0117	HS-MH-RETAIL-FORT YORK	5712	"Equipment, Furniture, and Home Furnishin"	RENTAL OF FRONT DESK	
					637.20	CAD	637.20	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3509-2	2015-05-19	2015-05-20	ROB'S NO FRILLS STORE	8.61	CAD	8.61	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0085	HS-MH-PROGRAM SUPPORT-TODMORDEN	5411	"Grocery Stores, Supermarkets"	"GRANOLA BARS, SPONGE, GLOVES"	
ECONOMIC DEVELOPMENT & CULTURE	3514-2	2015-05-23	2015-05-25	SOBEYS 718        QPS	16.97	CAD	16.97	CAD	4116	CATERING SERVICES	AH0085	HS-MH-PROGRAM SUPPORT-TODMORDEN	5411	"Grocery Stores, Supermarkets"	PREPARED FOOD	
ECONOMIC DEVELOPMENT & CULTURE	3520-2	2015-05-27	2015-05-28	SOBEYS 718        QPS	6.46	CAD	6.46	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0097	HS-MH-PUBLIC/COMMUNITY-TODMORDEN	5411	"Grocery Stores, Supermarkets"	MILKAND CREAM	
					32.04	CAD	32.04	CAD								
PUBLIC HEALTH	3514-3	2015-05-22	2015-05-25	TICKETMASTER	130.00	CAD	130.00	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	PH3521	HL - SEXUAL HEALTH PROMOTION	7922	Theatrical Producers (except Motion Pict	PRESENTATION/PROMOTIONAL ITEMS	
PUBLIC HEALTH	3514-4	2015-05-22	2015-05-25	TICKETMASTER	100.00	CAD	100.00	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	PH3521	HL - SEXUAL HEALTH PROMOTION	7922	Theatrical Producers (except Motion Pict	PRESENTATION/PROMOTIONAL ITEMS	
PUBLIC HEALTH	3514-5	2015-05-22	2015-05-25	TICKETMASTER	100.00	CAD	100.00	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	PH3521	HL - SEXUAL HEALTH PROMOTION	7922	Theatrical Producers (except Motion Pict	PRESENTATION/PROMOTIONAL ITEMS	
PUBLIC HEALTH	3518-1	2015-05-25	2015-05-27	TICKETMASTER	100.00	CAD	100.00	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	PH3521	HL - SEXUAL HEALTH PROMOTION	7922	Theatrical Producers (except Motion Pict	PRESENTATION/PROMOTIONAL ITEMS	
PUBLIC HEALTH	3518-2	2015-05-25	2015-05-27	TORONTO 2015 PARAPA	80.00	CAD	80.00	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	PH3521	HL - SEXUAL HEALTH PROMOTION	7922	Theatrical Producers (except Motion Pict	PRESENTATION/PROMOTIONAL ITEMS	
PUBLIC HEALTH	3518-3	2015-05-25	2015-05-27	TORONTO 2015 PARAPA	50.00	CAD	50.00	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	PH3521	HL - SEXUAL HEALTH PROMOTION	7922	Theatrical Producers (except Motion Pict	PRESENTATION/PROMOTIONAL ITEMS	
PUBLIC HEALTH	3518-4	2015-05-25	2015-05-27	PARAPAN AM ATHLETIC	80.00	CAD	80.00	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	PH3521	HL - SEXUAL HEALTH PROMOTION	7922	Theatrical Producers (except Motion Pict	PRESENTATION/PROMOTIONAL ITEMS	
PUBLIC HEALTH	3518-5	2015-05-25	2015-05-27	PARAPAN AM SWIMMING	80.00	CAD	80.00	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	PH3521	HL - SEXUAL HEALTH PROMOTION	7922	Theatrical Producers (except Motion Pict	PRESENTATION/PROMOTIONAL ITEMS	
PUBLIC HEALTH	3520-3	2015-05-26	2015-05-28	TICKETMASTER	80.00	CAD	80.00	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	PH3521	HL - SEXUAL HEALTH PROMOTION	7922	Theatrical Producers (except Motion Pict	PRESENTATION/PROMOTIONAL ITEMS	
PUBLIC HEALTH	3520-4	2015-05-26	2015-05-28	TICKETMASTER	290.00	CAD	290.00	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	PH3521	HL - SEXUAL HEALTH PROMOTION	7922	Theatrical Producers (except Motion Pict	PRESENTATION/PROMOTIONAL ITEMS	
					"1,090.00"	CAD	"1,090.00"	CAD								
