Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS element / Order	Cost Centre / WBS element / Order Description	Merchant Type	Merchant Type Description	Purpose
ECONOMIC DEVELOPMENT & CULTURE	3578-1	2015-07-10	2015-07-13	STRONCO SHOW SERVICES	452.00	CAD	452.00	CAD	4410	CONTRACTED SERVICES - ELECTRICAL	AH0137	HS-MH-BD COMM SUPP-FORT YORK	1731	Electrical Contractors	ELECTRICAL SERVICES
ECONOMIC DEVELOPMENT & CULTURE	3583-1	2015-07-14	2015-07-15	NATURAL RESOURCES/RESS	75.00	CAD	75.00	CAD	4830	PERMIT & LICENSE FEES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	9399	Government Services - Not Elsewhere Clas	GUNPOWDER MAGAZINE LICENSE FEE
ECONOMIC DEVELOPMENT & CULTURE	3588-1	2015-07-15	2015-07-16	ROTBLOTTS DISCOUNT WHS	77.91	CAD	77.91	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5251	Hardware Stores	"ZIP TIES FOR EVENT BANNERS, CAUTION MARKER SPRAY"
ECONOMIC DEVELOPMENT & CULTURE	3590-1	2015-07-16	2015-07-17	SQ *FLIM	113.00	CAD	113.00	CAD	4435	C. SERV - SECUR SYS	AH0154	CD-AM-FACILITY MGMT-FORT YORK	8999	Professional Services - Not Elsewhere Cl	EMERGENCY FROST IDENTITY BAND
ECONOMIC DEVELOPMENT & CULTURE	3598-1	2015-07-22	2015-07-23	TYCO INTEGRATED SECURI	"2,897.99"	CAD	"2,897.99"	CAD	4435	C. SERV - SECUR SYS	AH0137	HS-MH-BD COMM SUPP-FORT YORK	7393	"Detective Agencies, Protective Agencies,"	SECURITY SERVICES
ECONOMIC DEVELOPMENT & CULTURE	3603-1	2015-07-27	2015-07-28	TYCO INTEGRATED SECURI	90.00	CAD	90.00	CAD	4435	C. SERV - SECUR SYS	AH0137	HS-MH-BD COMM SUPP-FORT YORK	7393	"Detective Agencies, Protective Agencies,"	EMERGENCY CAMERAS INSTALLED
					"3,705.90"	CAD	"3,705.90"	CAD							
"PARKS, FORESTRY & RECREATION"	3581-1	2015-07-13	2015-07-14	DOLLAR TREE #40209	49.24	CAD	49.24	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5331	Variety Stores	"CAMP SUPPLIES- FREEZIES,JUMP ROPES,BOXED GAMES"
"PARKS, FORESTRY & RECREATION"	3583-2	2015-07-13	2015-07-15	YOUR DOLLAR STORE WITH	64.13	CAD	64.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5999	Miscellaneous and Specialty Retail Store	"CAMP SUPPLIES- PARTY ITEMS,CRAFTS, SNACKS,TOYS"
"PARKS, FORESTRY & RECREATION"	3592-1	2015-07-17	2015-07-20	ROB'S NO FRILLS STORE	48.32	CAD	48.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"COOKING SUPPLIES-CHOC.SAUCE,FROSTING,COOKIE DOUGHS"
"PARKS, FORESTRY & RECREATION"	3592-2	2015-07-18	2015-07-20	GIANT TIGER #159	36.09	CAD	36.09	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5311	Department Stores	"ACTIVITY CAMP-SIDEWALK PAINTS,BUBBLES,FREEZIES"
"PARKS, FORESTRY & RECREATION"	3598-2	2015-07-22	2015-07-23	DOLLAR TREE #40209	55.85	CAD	55.85	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5331	Variety Stores	"CAMP SUPPLIES- GLIDERS,BANDANAS,BEADS,STRAWS"
"PARKS, FORESTRY & RECREATION"	3600-1	2015-07-22	2015-07-24	WMT SUPRCTR #1117	157.66	CAD	157.66	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"CAMP PRIZES-STICKERS,FRISBEES,PENCILS,CRAYONS"
"PARKS, FORESTRY & RECREATION"	3600-2	2015-07-23	2015-07-24	NOFRILLS DICKIES 752	41.98	CAD	41.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"COOKING SUPPLIES-JUICE BOXES,PRETZELS,SMARTIES"
"PARKS, FORESTRY & RECREATION"	3602-1	2015-07-24	2015-07-27	METRO #35	82.87	CAD	82.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"HOT DOUBLE PIZZA, MILK, BIRTHDAY CAKE"
"PARKS, FORESTRY & RECREATION"	3602-2	2015-07-23	2015-07-27	YOUR DOLLAR STORE WITH	35.03	CAD	35.03	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5999	Miscellaneous and Specialty Retail Store	"REWARDS FOR CAMPS- TOYS, WIPES"
"PARKS, FORESTRY & RECREATION"	3602-3	2015-07-24	2015-07-27	ROB'S NO FRILLS STORE	58.48	CAD	58.48	CAD	2082	HEALTH & SAFETY SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"HUGGIES WIPES, SANITIZER,S.BAGS"
"PARKS, FORESTRY & RECREATION"	3607-1	2015-07-28	2015-07-30	YOUR DOLLAR STORE WITH	130.07	CAD	130.07	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5999	Miscellaneous and Specialty Retail Store	"WEEK 5:PIRATE WEEK CAMP-TREASURE CHESTS,JEWELS"
					759.72	CAD	759.72	CAD							
ECONOMIC DEVELOPMENT & CULTURE	3572-1	2015-07-06	2015-07-07	WINNERS 379	39.48	CAD	39.48	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5651	Family Clothing Stores	PUDDING BASINS
