Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Centre / WBS Element / Order 	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	3653-1	2015-09-03	2015-09-04	SQ *COLIN TAYLOR	"1,193.40"	CAD	"1,193.40"	CAD	4082	PHOTO/VIDEO SERVICES	AH0091	HS-MH-PROGRAM SUPPORT-FORT YORK	8999	Professional Services - Not Elsewhere Cl	NARRATION SERVICES	
ECONOMIC DEVELOPMENT & CULTURE	3664-1	2015-09-11	2015-09-14	SQ *FIXALL	"2,897.32"	CAD	"2,897.32"	CAD	2545	PLASTICS & RUBBER SUPPLIES	AH0154	CD-AM-FACILITY MGMT-FORT YORK	1520	General Contractors - Residential and Co	PLASTIC INSERTS FOR STAIRWELL	
ECONOMIC DEVELOPMENT & CULTURE	3676-1	2015-09-21	2015-09-22	L.J. SALES	"2,554.17"	CAD	"2,554.17"	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	7311	Advertising Services	WRISTBANDS	
ECONOMIC DEVELOPMENT & CULTURE	3682-1	2015-09-25	2015-09-25	ULINE	857.68	CAD	857.68	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5964	Direct Marketing - Catalog Merchants	**MORE**  ULINE BARRIER POST W/BLACK BELT	
ECONOMIC DEVELOPMENT & CULTURE	3684-1	2015-09-26	2015-09-28	METRO #720	101.67	CAD	101.67	CAD	4116	CATERING SERVICES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	FRUIT TRAYS	
					"7,604.24"	CAD	"7,604.24"	CAD								
"PARKS, FORESTRY & RECREATION"	3664-2	2015-09-10	2015-09-14	GIANT TIGER #159	55.37	CAD	55.37	CAD	2715	PAINT SUPPLIES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5311	Department Stores	3 CANS BLUE PAINT AND 2 PAINTERS TAPE	
"PARKS, FORESTRY & RECREATION"	3671-1	2015-09-15	2015-09-17	T N DISCOVERY AUTO COL	26.72	CAD	26.72	CAD	2710	GENERAL HARDWARE	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5533	"Automotive Parts, Accessories Stores"	"4 ROLLS 2"" TAPE AND 5 ROLL 8MM TAPE"	
"PARKS, FORESTRY & RECREATION"	3684-2	2015-09-25	2015-09-28	ROB'S NO FRILLS STORE	38.66	CAD	38.66	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"COOKING SUPPLIES-CROUTONS,SPAGHETTI,TOMATOES"	
					120.75	CAD	120.75	CAD								
