Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose		
PUBLIC HEALTH	4070-1	2016-06-15	2016-06-16	PAYPAL *OBC2012	50.00	CAD	50.00	CAD	4760	MEMBERSHIP FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8641	"Associations - Civic, Social, and Frater"	MEMBERSHIP FEES 2016		
					50.00	CAD	50.00	CAD									
ECONOMIC DEVELOPMENT & CULTURE	4047-1	2016-06-01	2016-06-02	METRO #720	11.96	CAD	11.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	WATER		
ECONOMIC DEVELOPMENT & CULTURE	4074-1	2016-06-16	2016-06-20	TIM HORTONS 4275 QTH	500.00	CAD	500.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0137	HS-MH-BD COMM SUPP-FORT YORK	5814	Quick Payment Service - Fast-Food Restau	FOOD FOR PUBLIC		
ECONOMIC DEVELOPMENT & CULTURE	4078-1	2016-06-21	2016-06-22	REGAL TENT PRODUCTIONS	"1,105.71"	CAD	"1,105.71"	CAD	4830	PERMIT & LICENSE FEES	AH0137	HS-MH-BD COMM SUPP-FORT YORK	7394	"Equipment Rental and Leasing Services, F"	BUILDING PERMIT AND ENGINEER'S SITE REVIEW		
ECONOMIC DEVELOPMENT & CULTURE	4086-1	2016-06-27	2016-06-28	ABBOTT	90.40	CAD	90.40	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0117	HS-MH-RETAIL-FORT YORK	5719	Miscellaneous House Furnishing Specialty	ITEMS FOR RESALE-TEAPOTS		
					"1,708.07"	CAD	"1,708.07"	CAD									
"PARKS, FORESTRY & RECREATION"	4045-1	2016-05-31	2016-06-01	METRO #37	60.06	CAD	60.06	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES		
					60.06	CAD	60.06	CAD									
TORONTO WATER	4084-1	2016-06-23	2016-06-27	ARTICULATE GLOBAL I	"1,589.95"	CAD	"1,195.00"	USD	4310	TRAINING & DEVELOPMENT - EXTERNAL	TW5025	BUS OP MGMT: STATEGIC PLANNING & WORKFOR	5734	Computer Software Stores	ARTICULATE OPEN ENROLLMENT TRAINING SESSION		
