Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	4100-1	2016-07-06	2016-07-07	SQ *OUTLOOK FILM	197.75	CAD	197.75	CAD	2090	GRAPHIC DESIGN SUPPLIES	AH0154	CD-AM-FACILITY MGMT-FORT YORK	8999	Professional Services - Not Elsewhere Cl	INSTALLATION OF FROST IDENTITY BAND	
ECONOMIC DEVELOPMENT & CULTURE	4100-2	2016-07-06	2016-07-07	NATURAL RESOURCES/RESS	75.00	CAD	75.00	CAD	4830	PERMIT & LICENSE FEES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	9399	Government Services - Not Elsewhere Clas	RENEWAL OF LICENSE	
ECONOMIC DEVELOPMENT & CULTURE	4102-1	2016-07-07	2016-07-08	WSI SIGNS SYSTEMS LTD	988.75	CAD	988.75	CAD	4640	R & M - SIGN MAINT	AH0154	CD-AM-FACILITY MGMT-FORT YORK	2741	Miscellaneous Publishing and Printing	REPAIR OF EXISTING INTERPRETATIVE PANEL	
					"1,261.50"	CAD	"1,261.50"	CAD								
"PARKS, FORESTRY & RECREATION"	4130-1	2016-07-27	2016-07-28	THE ROYAL ONTARIO MUSE	560.00	CAD	560.00	CAD	4118	TICKETS AND ADMISSION FEES	P13346	SUMMER CAMPS - WARDEN CC	7991	Tourist Attractions and Exhibits	ADMISSION FEES	
"PARKS, FORESTRY & RECREATION"	4131-1	2016-07-28	2016-07-29	ZENAN CUSTOM CRESTING	576.30	CAD	576.30	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5950	Crystal and Glassware Stores	CAMP T-SHIRTS	
					"1,136.30"	CAD	"1,136.30"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4093-1	2016-07-04	2016-07-05	ROB'S NO FRILLS STORE	11.83	CAD	11.83	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	DISHWASHING LIQUID AND SPONGE	
ECONOMIC DEVELOPMENT & CULTURE	4108-1	2016-07-11	2016-07-13	SHOPPERSDRUGMART1281	31.03	CAD	31.03	CAD	2590	EMERGENCY SERVICES SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5912	"Drug Stores, Pharmacies"	"COMPRESS, BANDAGES AND SWABS"	
ECONOMIC DEVELOPMENT & CULTURE	4124-1	2016-07-21	2016-07-25	SOBEYS 718        QPS	5.54	CAD	5.54	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0114	HS-MH-RETAIL-TODMORDEN	5411	"Grocery Stores, Supermarkets"	MILK FOR CONCESSION	
					48.40	CAD	48.40	CAD								
"PARKS, FORESTRY & RECREATION"	4091-1	2016-06-29	2016-07-04	WAL-MART #3106	284.32	CAD	284.32	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04880	BOB ABATE CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	"MATTEL GAMES, PICTHERS, CANISTER"	
"PARKS, FORESTRY & RECREATION"	4100-3	2016-07-05	2016-07-07	CDN TIRE STORE #00150	325.03	CAD	325.03	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04880	BOB ABATE CC-SUMMER CAMPS	5200	Home Supply Warehouse	CAMP EQUIPMENT AND SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4100-4	2016-07-06	2016-07-07	LOBLAWS #029	28.90	CAD	28.90	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04880	BOB ABATE CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	ADVENTURE CAMP 4-5 YEARS - SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4104-1	2016-07-08	2016-07-11	COSTCO WHOLESALE W524	90.38	CAD	90.38	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10430	BOB ABATE CC-PRGM SUPPORT	5300	Wholesale Clubs	FANS FOR ADVENTURE CAMP (BICKFORD)	
"PARKS, FORESTRY & RECREATION"	4108-2	2016-07-12	2016-07-13	LOBLAWS #029	45.48	CAD	45.48	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04880	BOB ABATE CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	SPECIALTY CAMP - COOKING INGREDIENTS	
"PARKS, FORESTRY & RECREATION"	4108-3	2016-07-12	2016-07-13	MICHAELS #3990	30.44	CAD	30.44	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04880	BOB ABATE CC-SUMMER CAMPS	5945	"Game, Toy, and Hobby Shops"	ARTS CAMP - TIE DYE FOR CRAFT	
"PARKS, FORESTRY & RECREATION"	4110-1	2016-07-12	2016-07-14	YOUR DOLLAR STORE WITH	185.49	CAD	185.49	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04880	BOB ABATE CC-SUMMER CAMPS	5310	Discount Stores	SUPPLIES FOR CAMPS (CRAFTS & SCIENCE)	
"PARKS, FORESTRY & RECREATION"	4112-1	2016-07-14	2016-07-15	BATHURST BOWLERAMA	319.51	CAD	319.51	CAD	4118	TICKETS AND ADMISSION FEES	P04880	BOB ABATE CC-SUMMER CAMPS	7933	Bowling Alleys	CAMP ADMISSION FEE	
"PARKS, FORESTRY & RECREATION"	4117-1	2016-07-19	2016-07-20	NOFRILLS PETER'S 3926	107.49	CAD	107.49	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04880	BOB ABATE CC-SUMMER CAMPS	7999	Recreation Services (Not Elsewhere Class	SUPPLIES FOR CAMPS (CRAFTS & SCIENCE)	
"PARKS, FORESTRY & RECREATION"	4121-1	2016-07-19	2016-07-21	YOUR DOLLAR STORE WITH	29.10	CAD	29.10	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04880	BOB ABATE CC-SUMMER CAMPS	5310	Discount Stores	SUPPLIES FOR CAMPS (CRAFTS & SCIENCE)	
"PARKS, FORESTRY & RECREATION"	4122-1	2016-07-21	2016-07-22	ONTARIO SCIENCE CENTRE	412.00	CAD	412.00	CAD	4118	TICKETS AND ADMISSION FEES	P04880	BOB ABATE CC-SUMMER CAMPS	7991	Tourist Attractions and Exhibits	CAMP ADMISSION FEE	
"PARKS, FORESTRY & RECREATION"	4124-2	2016-07-24	2016-07-25	NOFRILLS ROSS 782	45.20	CAD	45.20	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04880	BOB ABATE CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	FREEZIES FOR CAMP	
"PARKS, FORESTRY & RECREATION"	4128-1	2016-07-26	2016-07-27	NOFRILLS PETER'S 3926	59.37	CAD	59.37	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04880	BOB ABATE CC-SUMMER CAMPS	7999	Recreation Services (Not Elsewhere Class	COOKING SUPPLIES FOR CAMP	
"PARKS, FORESTRY & RECREATION"	4128-2	2016-07-26	2016-07-27	COSTCO WHOLESALE W524	275.91	CAD	275.91	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10430	BOB ABATE CC-PRGM SUPPORT	5300	Wholesale Clubs	PDF'S AND STORAGE SHELF	
					"2,238.62"	CAD	"2,238.62"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4091-2	2016-06-30	2016-07-04	METRO #37	25.22	CAD	25.22	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	WHIPPING CREAM	
ECONOMIC DEVELOPMENT & CULTURE	4098-1	2016-07-05	2016-07-06	LOBLAWS 4.2	37.99	CAD	37.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"WHIPPING CREAM, STRAWBERRIES"	
ECONOMIC DEVELOPMENT & CULTURE	4098-2	2016-07-06	2016-07-06	ULINE	658.84	CAD	658.84	CAD	2670	UNIFORMS	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5964	Direct Marketing - Catalog Merchants	**MORE**  DELUXE RAINWEAR HOOD	
