Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
PUBLIC HEALTH	4139-1	2016-08-02	2016-08-04	PAYPAL *INFACTCANAD	209.05	CAD	209.05	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	5999	Miscellaneous and Specialty Retail Store	SEMINAR/TRAINING	
PUBLIC HEALTH	4139-2	2016-08-02	2016-08-04	PAYPAL *INFACTCANAD	259.90	CAD	259.90	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	5999	Miscellaneous and Specialty Retail Store	SEMINAR/TRAINING	
PUBLIC HEALTH	4154-1	2016-08-11	2016-08-12	APHA ANNUAL MEETING	"1,098.51"	CAD	830.00	USD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8641	"Associations - Civic, Social, and Frater"	SEMINAR/TRAINING	
					"1,567.46"	CAD	468.95	CAD								
							830.00	USD								
ECONOMIC DEVELOPMENT & CULTURE	4133-1	2016-07-29	2016-08-01	METRO #720	26.96	CAD	26.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	WATER & SYRUP	
ECONOMIC DEVELOPMENT & CULTURE	4133-2	2016-07-31	2016-08-01	METRO #720	384.09	CAD	384.09	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"SANDWICHES, FRUIT PLATTER, VEG. PLATTER, WATER"	
ECONOMIC DEVELOPMENT & CULTURE	4162-1	2016-08-17	2016-08-18	ROTBLOTTS DISCOUNT WAR	22.59	CAD	22.59	CAD	2730	LOCKS	AH0154	CD-AM-FACILITY MGMT-FORT YORK	5251	Hardware Stores	LOCKS FOR FIRE BOX	
					433.64	CAD	433.64	CAD								
TORONTO WATER	4135-1	2016-08-01	2016-08-02	SP * FASHION NOVA	359.55	CAD	268.90	USD	4233	PCARD RECOVERIES	TW5025	BUS OP MGMT: STATEGIC PLANNING & WORKFOR	5691	Men's and Women's Clothing Stores	DISPUTED	
TORONTO WATER	4137-1	2016-08-02	2016-08-03	FIT SHOP	197.71	CAD	197.71	CAD	4233	PCARD RECOVERIES	TW5025	BUS OP MGMT: STATEGIC PLANNING & WORKFOR	5941	Sporting Goods Stores	DISPUTED	
TORONTO WATER	4139-3	2016-08-03	2016-08-04	GOOGLE *TINDER	49.99	CAD	49.99	CAD	4233	PCARD RECOVERIES	TW5025	BUS OP MGMT: STATEGIC PLANNING & WORKFOR	5734	Computer Software Stores	DISPUTED	
TORONTO WATER	4139-4	2016-08-03	2016-08-04	SP * FASHION NOVA	449.11	CAD	336.79	USD	4233	PCARD RECOVERIES	TW5025	BUS OP MGMT: STATEGIC PLANNING & WORKFOR	5691	Men's and Women's Clothing Stores	DISPUTED	
TORONTO WATER	4139-5	2016-08-04	2016-08-04	GOOGLE *TINDER	49.99	CAD	49.99	CAD	4233	PCARD RECOVERIES	TW5025	BUS OP MGMT: STATEGIC PLANNING & WORKFOR	5734	Computer Software Stores	DISPUTED	
					"1,106.35"	CAD	297.69	CAD								
							605.69	USD								
ECONOMIC DEVELOPMENT & CULTURE	4166-1	2016-08-19	2016-08-22	SOBEYS 718        QPS	2.79	CAD	2.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	COOKIES	
					2.79	CAD	2.79	CAD								
