Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Centre/ WBS Element / Order	Cost Centre/ WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
PUBLIC HEALTH	4255-1	2016-10-20	2016-10-21	PAYPAL *LIFEWITHBAB	90.00	CAD	90.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8641	"Associations - Civic, Social, and Frater"	SEMINAR/TRAINING
PUBLIC HEALTH	4255-2	2016-10-20	2016-10-21	PAYPAL *LIFEWITHBAB	90.00	CAD	90.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8641	"Associations - Civic, Social, and Frater"	SEMINAR/TRAINING
PUBLIC HEALTH	4266-1	2016-10-26	2016-10-28	PAYPAL *LIFEWITHBAB	90.00	CAD	90.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8641	"Associations - Civic, Social, and Frater"	SEMINAR/TRAINING
PUBLIC HEALTH	4266-2	2016-10-27	2016-10-28	PAYPAL *LIFEWITHBAB	90.00	CAD	90.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8641	"Associations - Civic, Social, and Frater"	SEMINAR/TRAINING
PUBLIC HEALTH	4266-3	2016-10-27	2016-10-28	PAYPAL *LIFEWITHBAB	90.00	CAD	90.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8641	"Associations - Civic, Social, and Frater"	SEMINAR/TRAINING
PUBLIC HEALTH	4266-4	2016-10-26	2016-10-28	PAYPAL *LIFEWITHBAB	90.00	CAD	90.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8641	"Associations - Civic, Social, and Frater"	SEMINAR/TRAINING
PUBLIC HEALTH	4266-5	2016-10-26	2016-10-28	PAYPAL *LIFEWITHBAB	90.00	CAD	90.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8641	"Associations - Civic, Social, and Frater"	SEMINAR/TRAINING
PUBLIC HEALTH	4266-6	2016-10-26	2016-10-28	PAYPAL *LIFEWITHBAB	90.00	CAD	90.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8641	"Associations - Civic, Social, and Frater"	SEMINAR/TRAINING
					720.00	CAD	720.00	CAD							
"PARKS, FORESTRY & RECREATION"	4249-1	2016-10-13	2016-10-17	CDN TIRE STORE #00182	121.48	CAD	121.48	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P01959	BOB ABATE CC-SOCIAL PRGM	5200	Home Supply Warehouse	SUPPLIES FOR EARLY YEARS PRGM
"PARKS, FORESTRY & RECREATION"	4249-2	2016-10-13	2016-10-17	WAL-MART #1004	222.23	CAD	222.23	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P09913	BOB ABATE CC-INSTRL	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR FALL PRGM
"PARKS, FORESTRY & RECREATION"	4249-3	2016-10-13	2016-10-17	RONA # 55130	124.71	CAD	124.71	CAD	2710	GENERAL HARDWARE	P01959	BOB ABATE CC-SOCIAL PRGM	5251	Hardware Stores	"HOOKS, SCREWS, TIPS FOR TABLE LEGS"
"PARKS, FORESTRY & RECREATION"	4249-4	2016-10-13	2016-10-17	CDN TIRE STORE #00182	7.90	CAD	7.90	CAD	2710	GENERAL HARDWARE	P09913	BOB ABATE CC-INSTRL	5200	Home Supply Warehouse	"SCRAPER, BLADES FOR WINDOWS"
"PARKS, FORESTRY & RECREATION"	4265-1	2016-10-26	2016-10-27	MICHAELS #3990	312.93	CAD	312.93	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P09913	BOB ABATE CC-INSTRL	5945	"Game, Toy, and Hobby Shops"	ART SUPPLIES
"PARKS, FORESTRY & RECREATION"	4266-7	2016-10-27	2016-10-28	METRO #720	44.75	CAD	44.75	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01959	BOB ABATE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR SCIENCE PRGM
