Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
PUBLIC HEALTH	4653-1	2017-07-18	2017-07-19	MARCE	$256.65	CAD	$200.00	USD	4760	MEMBERSHIP FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	7299	Other Services (Not Elsewhere Classified	MEMBERSHIP FEE	
					$256.65	CAD	$200.00	USD								
ECONOMIC DEVELOPMENT & CULTURE	4634-1	2017-07-06	2017-07-07	NATURAL RESOURCES/RESS	$75.00	CAD	$75.00	CAD	4830	PERMIT & LICENSE FEES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	9399	Government Services - Not Elsewhere Clas	RENEWAL OF LICENSE	
ECONOMIC DEVELOPMENT & CULTURE	4636-1	2017-07-07	2017-07-10	W BRITAIN	"$1,063.50"	CAD	$810.43	USD	2990	GIFT SHOP ITEMS FOR RESALE	AH0117	HS-MH-RETAIL-FORT YORK	5947	"Card, Gift, Novelty, and Souvenir Shops"	ITEMS FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	4645-1	2017-07-12	2017-07-13	W BRITAIN	"$1,190.58"	CAD	$917.81	USD	2990	GIFT SHOP ITEMS FOR RESALE	AH0117	HS-MH-RETAIL-FORT YORK	5947	"Card, Gift, Novelty, and Souvenir Shops"	ITEMS FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	4665-1	2017-07-27	2017-07-28	AUDIO VIDEO DESIGN	"$2,090.50"	CAD	"$2,090.50"	CAD	4402	CONTRACTED SERVICES - LIGHTING	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5946	Camera and Photographic Supply Stores	REPLACEMENT BULBS FOR ORIENTATION VIDEO	
					"$4,419.58"	CAD	"$2,165.50"	CAD								
							"$1,728.24"	USD								
"PARKS, FORESTRY & RECREATION"	4636-2	2017-07-07	2017-07-10	COSTCO WHOLESALE W537	$25.26	CAD	$25.26	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01342	ELLESMERE CC-SOCIAL PRGM	5300	Wholesale Clubs	"CREAM CHEESE, BLUBERRIES, MILK, BANANAS"	
"PARKS, FORESTRY & RECREATION"	4643-1	2017-07-10	2017-07-12	WAL-MART #3159	$72.28	CAD	$72.28	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01342	ELLESMERE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"TACO SHELLS, GREEN ONIONS, TACO SEASONING, GROUND"	
"PARKS, FORESTRY & RECREATION"	4643-2	2017-07-10	2017-07-12	WAL-MART #3159	$30.65	CAD	$30.65	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P08900	ELLESMERE CC-INSTRL	5411	"Grocery Stores, Supermarkets"	"COKE, BAKING SODA, ALKASELTZER, FOIL, GARBAGE BAGS"	
"PARKS, FORESTRY & RECREATION"	4643-3	2017-07-10	2017-07-12	WAL-MART #3159	$25.90	CAD	$25.90	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07895	MCGREGOR PARK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"CONSTRUCTION PAPER, MARKERS, FLOUR, CORN STARCH"	
"PARKS, FORESTRY & RECREATION"	4643-4	2017-07-10	2017-07-12	YOUR DOLLAR STORE WITH	$25.43	CAD	$25.43	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P08900	ELLESMERE CC-INSTRL	5999	Miscellaneous and Specialty Retail Store	"BAGS, CONSTRUCTION PAPER, SEEDS SUNFLOWER SEEDS"	
"PARKS, FORESTRY & RECREATION"	4643-5	2017-07-10	2017-07-12	YOUR DOLLAR STORE WITH	$32.77	CAD	$32.77	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07895	MCGREGOR PARK-SOCIAL PRGM	5999	Miscellaneous and Specialty Retail Store	"JCLOTH, GLOVES, CRAYONS, BAGGIES, PAPER, MARKERS"	
"PARKS, FORESTRY & RECREATION"	4652-1	2017-07-17	2017-07-18	FOOD BASICS #629	$46.55	CAD	$46.55	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01342	ELLESMERE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"OATMEAL, TERIAKYI SAUCE, BROTH, SESAME OIL, CARROT"	
"PARKS, FORESTRY & RECREATION"	4658-1	2017-07-21	2017-07-24	FOOD BASICS #629	$14.87	CAD	$14.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01342	ELLESMERE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"TERIAKYI SAUCE, WIPES, RICE, BROTH, SUGAR, GINGER"	
"PARKS, FORESTRY & RECREATION"	4660-1	2017-07-24	2017-07-25	NOFRILLS DICKIES 752	$63.64	CAD	$63.64	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01342	ELLESMERE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"PIZZA SAUCE, LEMON CAKE MIX, CHEESE, EGGS, WHIP CR"	
"PARKS, FORESTRY & RECREATION"	4662-1	2017-07-24	2017-07-26	YOUR DOLLAR STORE WITH	$20.34	CAD	$20.34	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07895	MCGREGOR PARK-SOCIAL PRGM	5999	Miscellaneous and Specialty Retail Store	"SEEDS, CUPS FOR 2965042"	
					$357.69	CAD	$357.69	CAD								
FIRE SERVICES	4631-1	2017-07-04	2017-07-05	FORTINO'S (QUEEN'S PLA	$48.89	CAD	$48.89	CAD	2741	FOOD COSTS	FR0028	PROFDEV/TRAINING-EMERGENCY PLNG/RES	5411	"Grocery Stores, Supermarkets"	FOOD FOR HONDA INDY	
