Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	Exp Type Desc	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
PUBLIC HEALTH	4715-1	2017-08-31	2017-09-01	FACEBK LUSRKD6CV2	78.98	CAD	78.98	CAD	4414	ADVERTISING & PROMOTION	PH3557	PRENATAL	7311	Advertising Services	FACEBOOK BLOG	
PUBLIC HEALTH	4715-2	2017-08-31	2017-09-01	FACEBK QUSRKD6CV2	29.74	CAD	29.74	CAD	4414	ADVERTISING & PROMOTION	PH3557	PRENATAL	7311	Advertising Services	FACEBOOK BLOG	
					108.72	CAD	108.72	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4719-1	2017-09-02	2017-09-05	ULINE	"1,149.04"	CAD	"1,149.04"	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5964	Direct Marketing - Catalog Merchants	"3/4X10""NEON RED TYVEK WRISTBAND"	
ECONOMIC DEVELOPMENT & CULTURE	4723-1	2017-09-06	2017-09-07	CANADIAN APPLIANCE SOU	"1,981.46"	CAD	"1,981.46"	CAD	3099	GENERAL EQUIPMENT	AH0154	CD-AM-FACILITY MGMT-FORT YORK	5722	Household Appliance Stores	WASHING MACHINE REMAINING BALANCE	
					"3,130.50"	CAD	"3,130.50"	CAD								
"PARKS, FORESTRY & RECREATION"	4742-1	2017-09-18	2017-09-20	YOUR DOLLAR STORE WITH	42.66	CAD	42.66	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06667	ELLESMERE-PRGM SUPPORT	5999	Miscellaneous and Specialty Retail Store	WHITE ROSES FOR TPS EVENT	
"PARKS, FORESTRY & RECREATION"	4755-1	2017-09-28	2017-09-29	DOLLARAMA # 225	126.12	CAD	126.12	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07895	MCGREGOR PARK-SOCIAL PRGM	5310	Discount Stores	"OVEN MITTS, SPATULA,ALUM FOIL"	
"PARKS, FORESTRY & RECREATION"	4755-2	2017-09-28	2017-09-29	FOOD BASICS #628	108.50	CAD	108.50	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07895	MCGREGOR PARK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	FOOD ITEMS FOR COOKING CLASS	
					277.28	CAD	277.28	CAD								
"PARKS, FORESTRY & RECREATION"	4723-2	2017-09-06	2017-09-07	VISTAPR*VISTAPRINT.CA	164.73	CAD	164.73	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	2741	Miscellaneous Publishing and Printing	DISPLAY BANNER	
					164.73	CAD	164.73	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4724-1	2017-09-07	2017-09-08	IMPACT CANOPIES CANADA	740.13	CAD	740.13	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	5998	Tent & Awning Shops	OUTDOOR CANOPY	
ECONOMIC DEVELOPMENT & CULTURE	4727-1	2017-09-07	2017-09-11	THE PRINTING HOUSE #76	218.89	CAD	218.89	CAD	4825	PRINTING AND REPRODUCTION - THIRD PARTY	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	2741	Miscellaneous Publishing and Printing	PRINTING	
ECONOMIC DEVELOPMENT & CULTURE	4729-1	2017-09-11	2017-09-12	SHOPPER'S DRUG MART #1	13.55	CAD	13.55	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0141	HS-MH-RENTAL-TODMORDEN	7395	"Photo Developing, Photofinishing Laborat"	BATTERIES FOR MICROPHONES	
ECONOMIC DEVELOPMENT & CULTURE	4733-1	2017-09-11	2017-09-13	SOBEYS 718        QPS	20.47	CAD	20.47	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0114	HS-MH-RETAIL-TODMORDEN	5411	"Grocery Stores, Supermarkets"	COFFEE PODS FOR GIFT SHOP	
ECONOMIC DEVELOPMENT & CULTURE	4736-1	2017-09-14	2017-09-15	IMPACT CANOPIES CANADA	38.69	CAD	38.69	CAD	4815	COURIER SERVICES	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	5998	Tent & Awning Shops	FREIGHT COST FOR OUTDOOR CANOPY	
ECONOMIC DEVELOPMENT & CULTURE	4745-1	2017-09-20	2017-09-22	SOBEYS 718        QPS	75.05	CAD	75.05	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	HARVEST FESTIVAL FOOD SUPPLIES	
