Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	4505-1	2017-04-05	2017-04-06	AUDIO VIDEO DESIGN	288.15	CAD	288.15	CAD	4082	PHOTO/VIDEO SERVICES	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	5946	Camera and Photographic Supply Stores	A/V TECHNICAL SUPPORT FOR VIMY EVENT	
ECONOMIC DEVELOPMENT & CULTURE	4512-1	2017-04-10	2017-04-12	THE PRINTING HOUSE #55	394.26	CAD	394.26	CAD	4825	PRINTING AND REPRODUCTION - THIRD PARTY	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	2741	Miscellaneous Publishing and Printing	PRINTING OF PROGRAMS FOR VIMY COMMEMORATION	
ECONOMIC DEVELOPMENT & CULTURE	4530-1	2017-04-24	2017-04-26	EVENT RENTAL GROUP	776.81	CAD	776.81	CAD	4590	RENTAL - OTHER	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	7394	"Equipment Rental and Leasing Services, F"	CHAIR RENTAL FOR VIMY COMMEMORATION EVENT	
					"1,459.22"	CAD	"1,459.22"	CAD								
"PARKS, FORESTRY & RECREATION"	4498-1	2017-03-31	2017-04-03	BEADFX	55.52	CAD	55.52	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5631	Women's Accessory and Specialty Stores	JEWELLRY PRGM- BEADS	
"PARKS, FORESTRY & RECREATION"	4498-2	2017-03-31	2017-04-03	ARTON CRAFTS INC	198.86	CAD	198.86	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5970	"Artist Supply Stores, Craft Shops"	JEWELLRY PRGM- BEADS	
"PARKS, FORESTRY & RECREATION"	4498-3	2017-03-31	2017-04-03	ARTON CRAFTS INC	210.61	CAD	210.61	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5970	"Artist Supply Stores, Craft Shops"	JEWELLRY PRGM- BEADS	
					464.99	CAD	464.99	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4506-1	2017-04-06	2017-04-07	SOBEYS 718        QPS	23.74	CAD	23.74	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	EGGS	
ECONOMIC DEVELOPMENT & CULTURE	4514-1	2017-04-12	2017-04-13	ROB'S NO FRILLS STORE	7.70	CAD	7.70	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	DISHWASHING SOAP	
ECONOMIC DEVELOPMENT & CULTURE	4516-1	2017-04-13	2017-04-17	ROB'S NO FRILLS STORE	5.62	CAD	5.62	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	PAPER TOWELS	
ECONOMIC DEVELOPMENT & CULTURE	4526-1	2017-04-20	2017-04-24	SOBEYS 718        QPS	3.98	CAD	3.98	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	BROWN SUGAR	
ECONOMIC DEVELOPMENT & CULTURE	4530-2	2017-04-25	2017-04-26	LOBLAWS STORE #179	6.00	CAD	6.00	CAD	4822	RECEPTIONS & PUBLIC RELATIONS	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	5411	"Grocery Stores, Supermarkets"	CHEESE BISCUITS	
					47.04	CAD	47.04	CAD								
LONG TERM CARE HOMES & SERVICES	4498-4	2017-04-01	2017-04-03	NOFRILLS LEO'S 701	8.52	CAD	8.52	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3C083	CUMMER LODGE-PS-PS	5411	"Grocery Stores, Supermarkets"	RESIDENT PROGRAM - AUTO DISH	
LONG TERM CARE HOMES & SERVICES	4498-5	2017-04-01	2017-04-03	WAL-MART #3053	15.79	CAD	15.79	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3C083	CUMMER LODGE-PS-PS	5411	"Grocery Stores, Supermarkets"	FRAME 8 X 11 - RESIDENT AREA	
LONG TERM CARE HOMES & SERVICES	4498-6	2017-04-01	2017-04-03	WAL-MART #3053	-24.83	CAD	-24.83	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3C083	CUMMER LODGE-PS-PS	5411	"Grocery Stores, Supermarkets"	RETURNED FRAME 11 X 14 - RESIDENT AREA	
					-0.52	CAD	-0.52	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4498-7	2017-03-30	2017-04-03	CDN TIRE STORE #00654	16.94	CAD	16.94	CAD	2610	KITCHEN SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5200	Home Supply Warehouse	GLASS MIXING BOWLS	
ECONOMIC DEVELOPMENT & CULTURE	4498-8	2017-03-31	2017-04-03	LOBLAWS 4.2	90.87	CAD	90.87	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"MACE, VANILLA EXTRACT, ORANGE JUICE, POTATOES"	
ECONOMIC DEVELOPMENT & CULTURE	4498-9	2017-03-30	2017-04-03	CDN TIRE STORE #00654	-16.94	CAD	-16.94	CAD	2610	KITCHEN SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5200	Home Supply Warehouse	RETURNED GLASS MIXING BOWLS	
ECONOMIC DEVELOPMENT & CULTURE	4503-1	2017-04-04	2017-04-05	FRESHCO #9781	55.18	CAD	55.18	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"OATMEAL, EGGS, BUTTER"	
ECONOMIC DEVELOPMENT & CULTURE	4503-2	2017-04-04	2017-04-05	METRO #720	55.25	CAD	55.25	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"FLOUR, LOAF PANS, BAKING CUPS"	
ECONOMIC DEVELOPMENT & CULTURE	4503-3	2017-04-03	2017-04-05	CDN TIRE STORE #00654	74.51	CAD	74.51	CAD	2610	KITCHEN SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5200	Home Supply Warehouse	STORAGE CONTAINERS	
ECONOMIC DEVELOPMENT & CULTURE	4503-4	2017-04-04	2017-04-05	HUBERT DISTRIBUTING	671.64	CAD	671.64	CAD	2610	KITCHEN SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5719	Miscellaneous House Furnishing Specialty	"**MORE**  SERVER,BEV,INSULATED,XT,BLACK,5 GAL"	
ECONOMIC DEVELOPMENT & CULTURE	4505-2	2017-04-05	2017-04-06	FRESHCO #9781	20.02	CAD	20.02	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	WALNUTS	
ECONOMIC DEVELOPMENT & CULTURE	4508-1	2017-04-09	2017-04-10	SOBEYS 938        QPS	124.89	CAD	124.89	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"COFFEE, WATER, DISH SOAP, ORANGE JUICE, FORKS"	
ECONOMIC DEVELOPMENT & CULTURE	4508-2	2017-04-07	2017-04-10	FRESHCO #9781	92.03	CAD	92.03	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"WATER, ICING SUGAR, BROWN SUGAR, CORN SYRUP, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	4508-3	2017-04-08	2017-04-10	TIM HORTONS 5365 QTH	160.66	CAD	160.66	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5814	Quick Payment Service - Fast-Food Restau	"DONUTS, MUFFINS, COFFEE"	
