Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order No.	Cost Centre / WBS Element / Order No. Description	Merchant Type	Merchant Type Description	Purpose	
PUBLIC HEALTH	4537-1	2017-05-01	2017-05-02	POST MD-CPD-UOFT	84.75	CAD	84.75	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8220	"Colleges, Universities, Professional Sch"	REGISTRATION FEES	
PUBLIC HEALTH	4539-1	2017-05-02	2017-05-03	POST MD-CPD-UOFT	84.75	CAD	84.75	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8220	"Colleges, Universities, Professional Sch"	REGISTRATION FEES	
					169.50	CAD	169.50	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4539-2	2017-05-02	2017-05-03	AUDIO VIDEO DESIGN	"2,429.50"	CAD	"2,429.50"	CAD	4082	PHOTO/VIDEO SERVICES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5946	Camera and Photographic Supply Stores	SUPPLY & REPLACE BULBS FOR BATTLE OF YORK EXHIBIT	
ECONOMIC DEVELOPMENT & CULTURE	4569-1	2017-05-19	2017-05-23	SHOPPERSDRUGMART1005	156.99	CAD	156.99	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5912	"Drug Stores, Pharmacies"	SUNSCREEN	
ECONOMIC DEVELOPMENT & CULTURE	4573-1	2017-05-24	2017-05-25	PAYPAL *INFO	"1,695.00"	CAD	"1,695.00"	CAD	4102	ENTERTAINER AND BAND FEES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	8999	Professional Services - Not Elsewhere Cl	ENTERTAINERS	
ECONOMIC DEVELOPMENT & CULTURE	4576-1	2017-05-26	2017-05-29	METRO #720	123.22	CAD	123.22	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"ICED TEA, MIN. MADE DRINK, FRUIT PLATTER, ETC."	
					"4,404.71"	CAD	"4,404.71"	CAD								
FIRE SERVICES	4544-1	2017-05-04	2017-05-05	FOGH MARINE	33.73	CAD	33.73	CAD	2710	GENERAL HARDWARE	FR0028	PROFDEV/TRAINING-EMERGENCY PLNG/RES	4468	"Marinas, Marine Service/Supplies"	HARDWARE FOR UTV	
FIRE SERVICES	4546-1	2017-05-05	2017-05-08	ROYAL DISTRIBUTING	135.57	CAD	135.57	CAD	2665	PROTECTIVE CLOTHING	FR0028	PROFDEV/TRAINING-EMERGENCY PLNG/RES	5598	Snowmobile Dealers	UTV HELMETS	
FIRE SERVICES	4550-1	2017-05-08	2017-05-10	WMT SUPRCTR #1115	22.61	CAD	22.61	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	FR0028	PROFDEV/TRAINING-EMERGENCY PLNG/RES	5411	"Grocery Stores, Supermarkets"	VEHICLE CELL HOLDER GPS	
					191.91	CAD	191.91	CAD								
"PARKS, FORESTRY & RECREATION"	4553-1	2017-05-11	2017-05-12	FRESHCO 9750      QPS	51.85	CAD	51.85	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07897	OAKRIDGE CRC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"MONTEREY CHEESE, MILK, CAKE PAN"	
					51.85	CAD	51.85	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4535-1	2017-04-27	2017-05-01	SOBEYS 718        QPS	13.52	CAD	13.52	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0114	HS-MH-RETAIL-TODMORDEN	5411	"Grocery Stores, Supermarkets"	CREAM AND MILK FOR CONCESSION	
ECONOMIC DEVELOPMENT & CULTURE	4535-2	2017-04-28	2017-05-01	THE PRINTING HOUSE #76	10.92	CAD	10.92	CAD	4825	PRINTING AND REPRODUCTION - THIRD PARTY	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	2741	Miscellaneous Publishing and Printing	TEST PRINTING OF IMAGES	
ECONOMIC DEVELOPMENT & CULTURE	4539-3	2017-05-02	2017-05-03	ARTIMPORT OF OAKVILLE	265.63	CAD	265.63	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0114	HS-MH-RETAIL-TODMORDEN	5947	"Card, Gift, Novelty, and Souvenir Shops"	VINTAGE TOYS AND CARDS FOR RE-SALE	
ECONOMIC DEVELOPMENT & CULTURE	4539-4	2017-05-02	2017-05-03	ARTIMPORT OF OAKVILLE	131.10	CAD	131.10	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	5947	"Card, Gift, Novelty, and Souvenir Shops"	VINTAGE TOYS FOR PROGRAMMING	
ECONOMIC DEVELOPMENT & CULTURE	4543-1	2017-05-02	2017-05-04	SOBEYS 718        QPS	213.40	CAD	213.40	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	5411	"Grocery Stores, Supermarkets"	"MELBA TOAST PESTO, CHEESE LOAF, COOKIES, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	4543-2	2017-05-03	2017-05-04	ROB'S NO FRILLS STORE	27.82	CAD	27.82	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	5411	"Grocery Stores, Supermarkets"	"DATES, PROSCIUTTO, GARLIC, EDAM"	
ECONOMIC DEVELOPMENT & CULTURE	4544-2	2017-05-03	2017-05-05	SOBEYS 718        QPS	29.70	CAD	29.70	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	5411	"Grocery Stores, Supermarkets"	"PLASTIC WRAP, FOAM CUPS, TEA LEMON, NAPKINS, ETC."	
