Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
TORONTO PARAMEDIC SERVICES	4900-1	2018-01-28	2018-01-28	ULTRAMAR #32774	91.57	CAD	91.57	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	GASOLINE - 80.825L	
					91.57	CAD	91.57	CAD								
TORONTO PARAMEDIC SERVICES	4897-1	2018-01-22	2018-01-23	ESSO	75.00	CAD	75.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	GASOLINE - 59.616 L	
					75.00	CAD	75.00	CAD								
TORONTO PARAMEDIC SERVICES	4888-1	2018-01-14	2018-01-15	SHELL	80.45	CAD	80.45	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	GASOLINE - 70.017L	
					80.45	CAD	80.45	CAD								
TORONTO PARAMEDIC SERVICES	4888-2	2018-01-12	2018-01-15	ESSO	6.09	CAD	6.09	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	GASOLINE	
					6.09	CAD	6.09	CAD								
SOLID WASTE MANAGEMENT	4891-1	2018-01-17	2018-01-18	PETROCAN	109.02	CAD	109.02	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GAS CITY USE	
SOLID WASTE MANAGEMENT	4902-1	2018-01-29	2018-01-30	PETROCAN	105.21	CAD	105.21	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GAS CITY USE	
					214.23	CAD	214.23	CAD								
SOLID WASTE MANAGEMENT	4878-1	2018-01-03	2018-01-03	FLYING M TRUCK STOP	85.01	CAD	85.01	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE	
SOLID WASTE MANAGEMENT	4891-2	2018-01-19	2018-01-19	FLYING M TRUCK STOP	97.00	CAD	97.00	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE	
					182.01	CAD	182.01	CAD								
SOLID WASTE MANAGEMENT	4887-1	2018-01-12	2018-01-12	PETROCAN	96.60	CAD	96.60	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE	
SOLID WASTE MANAGEMENT	4892-1	2018-01-19	2018-01-19	PETROCAN	96.90	CAD	96.90	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE	
SOLID WASTE MANAGEMENT	4899-1	2018-01-25	2018-01-25	PETROCAN	97.58	CAD	97.58	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE	
					291.08	CAD	291.08	CAD								
SOLID WASTE MANAGEMENT	4899-2	2018-01-24	2018-01-25	SHELL	200.00	CAD	200.00	CAD	2280	DIESEL - CLEAR	SW0709	TRANSFER STATION RECYCLE HAULAGE	5542	"Fuel Dispenser, Automated"	FUEL PURCHASE FOR TRACTOR 206077	
					200.00	CAD	200.00	CAD								
SOLID WASTE MANAGEMENT	4899-3	2018-01-24	2018-01-25	PETROCAN	199.31	CAD	199.31	CAD	2280	DIESEL - CLEAR	SW0709	TRANSFER STATION RECYCLE HAULAGE	5542	"Fuel Dispenser, Automated"	FUEL PURCHASE FOR TRACTOR 206076	
SOLID WASTE MANAGEMENT	4899-4	2018-01-24	2018-01-25	PETROCAN	200.00	CAD	200.00	CAD	2280	DIESEL - CLEAR	SW0709	TRANSFER STATION RECYCLE HAULAGE	5542	"Fuel Dispenser, Automated"	FUEL PURCHASE FOR TRACTOR 206076	
SOLID WASTE MANAGEMENT	4900-2	2018-01-26	2018-01-26	PETROCAN	300.00	CAD	300.00	CAD	2280	DIESEL - CLEAR	SW0709	TRANSFER STATION RECYCLE HAULAGE	5541	Service Stations (with or without Ancill	FUEL PURCHASE FOR TRACTOR 206076	
SOLID WASTE MANAGEMENT	4903-1	2018-01-30	2018-01-31	PETROCAN	150.14	CAD	150.14	CAD	2280	DIESEL - CLEAR	SW0709	TRANSFER STATION RECYCLE HAULAGE	5542	"Fuel Dispenser, Automated"	FUEL PURCHASE FOR TRACTOR 206076	
SOLID WASTE MANAGEMENT	4903-2	2018-01-30	2018-01-31	PETROCAN	200.00	CAD	200.00	CAD	2280	DIESEL - CLEAR	SW0709	TRANSFER STATION RECYCLE HAULAGE	5542	"Fuel Dispenser, Automated"	FUEL PURCHASE FOR TRACTOR 206076	
					"1,049.45"	CAD	"1,049.45"	CAD								
SOLID WASTE MANAGEMENT	4899-5	2018-01-24	2018-01-25	SHELL	250.00	CAD	250.00	CAD	2280	DIESEL - CLEAR	SW0709	TRANSFER STATION RECYCLE HAULAGE	5541	Service Stations (with or without Ancill	FUEL FOR TRACTOR	
SOLID WASTE MANAGEMENT	4901-1	2018-01-26	2018-01-29	SHELL	333.00	CAD	333.00	CAD	2280	DIESEL - CLEAR	SW0709	TRANSFER STATION RECYCLE HAULAGE	5541	Service Stations (with or without Ancill	FUEL FOR TRACTOR	
