Division	Batch-Transaction ID	Transaction Date	Card Posting Date	Merchant Name	Transaction Amount	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type (MCC)	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5045-457	2018-08-01	2018-08-02	ESSO	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL
					100.00	CAD	100.00	CAD							
TORONTO PARAMEDIC SERVICES	5045-83	2018-08-01	2018-08-02	PETROCAN	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL
					100.00	CAD	100.00	CAD							
TORONTO PARAMEDIC SERVICES	5049-14	2018-08-06	2018-08-06	HASTY MARKET	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL
					100.00	CAD	100.00	CAD							
TORONTO PARAMEDIC SERVICES	5050-73	2018-08-06	2018-08-07	SHELL	66.66	CAD	66.66	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL
					66.66	CAD	66.66	CAD							
TORONTO PARAMEDIC SERVICES	5054-1	2018-08-12	2018-08-13	ESSO	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL
					100.00	CAD	100.00	CAD							
SOLID WASTE MANAGEMENT	5045-50	2018-08-01	2018-08-02	PETROCAN	122.24	CAD	122.24	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
SOLID WASTE MANAGEMENT	5056-16	2018-08-14	2018-08-15	PETROCAN	122.16	CAD	122.16	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE
SOLID WASTE MANAGEMENT	5066-11	2018-08-28	2018-08-29	PETROCAN	126.35	CAD	126.35	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE
					370.75	CAD	370.75	CAD							
SOLID WASTE MANAGEMENT	5044-18	2018-08-01	2018-08-01	FLYING M TRUCK STOP	90.34	CAD	90.34	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					90.34	CAD	90.34	CAD							
SOLID WASTE MANAGEMENT	5066-12	2018-08-29	2018-08-29	FLYING M TRUCK STOP	100.51	CAD	100.51	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					100.51	CAD	100.51	CAD							
SOLID WASTE MANAGEMENT	5063-5	2018-08-24	2018-08-24	PETROCAN	80.00	CAD	80.00	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL-CITY USE
					80.00	CAD	80.00	CAD							
SOLID WASTE MANAGEMENT	5049-5	2018-08-03	2018-08-06	SHELL	300.00	CAD	300.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL
					300.00	CAD	300.00	CAD							
SOLID WASTE MANAGEMENT	5057-97	2018-08-16	2018-08-16	PETROCAN	75.00	CAD	75.00	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5542	"Fuel Dispenser, Automated"	GASOLINE CITY USE
					75.00	CAD	75.00	CAD							
