Division	Batch-Transaction ID	Transaction Date	Card Posting Date	Merchant Name	Transaction Amount	Transaction Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type (MCC)	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5105-166	2018-10-23	2018-10-23	ESSO	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL
					100.00	CAD	100.00	CAD							
TORONTO PARAMEDIC SERVICES	5104-116	2018-10-22	2018-10-22	ULTRAMAR #32610	175.00	CAD	175.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL
					175.00	CAD	175.00	CAD							
TORONTO PARAMEDIC SERVICES	5106-183	2018-10-23	2018-10-24	ESSO	80.00	CAD	80.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL
TORONTO PARAMEDIC SERVICES	5108-100	2018-10-26	2018-10-26	PETROCAN	37.23	CAD	37.23	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL
TORONTO PARAMEDIC SERVICES	5108-101	2018-10-26	2018-10-26	PETROCAN	99.00	CAD	99.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL
					216.23	CAD	216.23	CAD							
TORONTO PARAMEDIC SERVICES	5097-210	2018-10-11	2018-10-11	PETROCAN	84.03	CAD	84.03	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL
					84.03	CAD	84.03	CAD							
TORONTO PARAMEDIC SERVICES	5097-1	2018-10-11	2018-10-11	PETROCAN	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL
					100.00	CAD	100.00	CAD							
SOLID WASTE MANAGEMENT	5094-7	2018-10-05	2018-10-08	PETROCAN	120.00	CAD	120.00	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE
SOLID WASTE MANAGEMENT	5103-6	2018-10-19	2018-10-19	PETROCAN	109.05	CAD	109.05	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE
					229.05	CAD	229.05	CAD							
SOLID WASTE MANAGEMENT	5102-30	2018-10-18	2018-10-18	FLYING M TRUCK STOP	90.38	CAD	90.38	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					90.38	CAD	90.38	CAD							
SOLID WASTE MANAGEMENT	5092-33	2018-10-05	2018-10-05	FLYING M TRUCK STOP	103.57	CAD	103.57	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					103.57	CAD	103.57	CAD							
SOLID WASTE MANAGEMENT	5094-8	2018-10-05	2018-10-08	PETROCAN	103.14	CAD	103.14	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL-CITY USE
SOLID WASTE MANAGEMENT	5108-10	2018-10-26	2018-10-26	PETROCAN	103.00	CAD	103.00	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL-CITY USE
					206.14	CAD	206.14	CAD							
SOLID WASTE MANAGEMENT	5107-60	2018-10-25	2018-10-25	ONROUTE #01178	100.00	CAD	100.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	DIESEL
					100.00	CAD	100.00	CAD							
SOLID WASTE MANAGEMENT	5097-63	2018-10-11	2018-10-11	ESSO	75.00	CAD	75.00	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5542	"Fuel Dispenser, Automated"	GASOLINE-CITY USE
					75.00	CAD	75.00	CAD							
"PARKS, FORESTRY & RECREATION"	5107-91	2018-10-26	2018-10-26	WATER AND ICE NORTH AM	514.15	CAD	514.15	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5996	Swimming Pools - Sales and Supplies	IRRIGATION SUPPLIES
					514.15	CAD	514.15	CAD							
"PARKS, FORESTRY & RECREATION"	5090-37	2018-10-02	2018-10-02	NOFRILLS ROSS 782	200.44	CAD	200.44	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	FOOD FOR COOKING PROGRAM
"PARKS, FORESTRY & RECREATION"	5090-38	2018-10-02	2018-10-02	WHOLE FOODS MARKET	31.60	CAD	31.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	FOOD FOR COOKING PROGRAM
"PARKS, FORESTRY & RECREATION"	5097-64	2018-10-12	2018-10-12	HOBBY WORLD	101.79	CAD	101.79	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5970	"Artist Supply Stores, Craft Shops"	ARTS AND CRAFT
"PARKS, FORESTRY & RECREATION"	5097-65	2018-10-12	2018-10-12	METRO #493	59.66	CAD	59.66	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES
"PARKS, FORESTRY & RECREATION"	5098-28	2018-10-12	2018-10-12	SHOPPERS DRUG MART0820	16.24	CAD	16.24	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5912	"Drug Stores, Pharmacies"	COTTON BALLS
"PARKS, FORESTRY & RECREATION"	5100-46	2018-10-16	2018-10-16	NOFRILLS ROSS 782	344.30	CAD	344.30	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES
"PARKS, FORESTRY & RECREATION"	5101-39	2018-10-17	2018-10-17	DOLLARAMA # 627	70.12	CAD	70.12	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5310	Discount Stores	"COOKIE CUTTERS, LAMINATING SHEETS"
"PARKS, FORESTRY & RECREATION"	5102-80	2018-10-19	2018-10-19	ERGONOMIC ACCESSORIES	436.75	CAD	436.75	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P13495	YORK CC - PRGM SUPPORT CR	5021	Office and Commercial Furniture	ADVANTAGE DUAL ARM
"PARKS, FORESTRY & RECREATION"	5102-81	2018-10-19	2018-10-19	AMZN MKTP CA*M89JS1OD1	51.98	CAD	51.98	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P13495	YORK CC - PRGM SUPPORT CR	4816	Computer Network/Information Services	HEAVY DUTY VACUUM SUCTION CUPS
"PARKS, FORESTRY & RECREATION"	5105-39	2018-10-23	2018-10-23	METRO #493	116.58	CAD	116.58	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	COOKIING PROGRAM SUPPLIES
"PARKS, FORESTRY & RECREATION"	5107-92	2018-10-26	2018-10-26	NOFRILLS ROSS 782	3.00	CAD	3.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	EGGS
					"1,432.46"	CAD	"1,432.46"	CAD							
"PARKS, FORESTRY & RECREATION"	5089-31	2018-10-01	2018-10-01	PICKLE BARREL CATERING	471.10	CAD	471.10	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13335	WARDEN CC - PRGM SUPPORT	5811	Caterers	SALADS AND CATERING
"PARKS, FORESTRY & RECREATION"	5091-41	2018-10-03	2018-10-03	STAPLES STORE #127	45.18	CAD	45.18	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUPPORT	5943	"Office, School Supply, and Stationery St"	CARDSTOCK
