Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5372-1	2019-10-20	2019-10-22	MIDLAND ESSO	78.01	CAD	78.01	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL 66.733L @ $1.169/L
					78.01	CAD	78.01	CAD							
TORONTO PARAMEDIC SERVICES	5360-1	2019-10-05	2019-10-07	PETROCAN	199.73	CAD	199.73	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL 162.511 L @ $1.229/L
					199.73	CAD	199.73	CAD							
TORONTO PARAMEDIC SERVICES	5356-1	2019-09-29	2019-10-01	ONROUTE #01172	68.41	CAD	68.41	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL 60.540L @ $1.130/L
TORONTO PARAMEDIC SERVICES	5361-1	2019-10-05	2019-10-08	SHELL	84.68	CAD	84.68	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL 74.345 L @ $1.139/L
					153.09	CAD	153.09	CAD							
TORONTO PARAMEDIC SERVICES	5360-2	2019-10-03	2019-10-07	PETROCAN	99.00	CAD	99.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL 87.148 L @ $1.136/L
TORONTO PARAMEDIC SERVICES	5361-2	2019-10-05	2019-10-08	ONROUTE #01171	99.00	CAD	99.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL 88.869 L @ $1.114/L
					198.00	CAD	198.00	CAD							
TORONTO PARAMEDIC SERVICES	5377-1	2019-10-26	2019-10-29	ONROUTE #01171	87.69	CAD	87.69	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL 76.318 L @ $1.149/L
					87.69	CAD	87.69	CAD							
SOLID WASTE MANAGEMENT	5370-1	2019-10-16	2019-10-18	PETROCAN	112.02	CAD	112.02	CAD	2260	GASOLINE	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE
SOLID WASTE MANAGEMENT	5379-1	2019-10-29	2019-10-31	PETROCAN	103.95	CAD	103.95	CAD	2260	GASOLINE	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE
					215.97	CAD	215.97	CAD							
SOLID WASTE MANAGEMENT	5371-1	2019-10-18	2019-10-21	PETROCAN	70.24	CAD	70.24	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL-CITY USE
SOLID WASTE MANAGEMENT	5373-1	2019-10-21	2019-10-23	PETROCAN	66.28	CAD	66.28	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL-CITY USE
SOLID WASTE MANAGEMENT	5378-1	2019-10-29	2019-10-30	PIONEER # 345	70.84	CAD	70.84	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL-CITY USE
					207.36	CAD	207.36	CAD							
