Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5267-1	2019-06-02	2019-06-02	SPEEDWAY 03612 100	80.98	CAD	58.25	USD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	GASOLINE
TORONTO PARAMEDIC SERVICES	5272-1	2019-06-06	2019-06-06	SHELL OIL 574267985QPS	83.67	CAD	61.07	USD	4310	TRAINING & DEVELOPMENT - EXTERNAL	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	USA - GASOLINE
TORONTO PARAMEDIC SERVICES	5272-2	2019-06-06	2019-06-06	REFRESH FUEL SALES	100.00	CAD	100.00	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	GASOLINE
					264.65	CAD	100.00	CAD							
							119.32	USD							
SOLID WASTE MANAGEMENT	5270-1	2019-06-04	2019-06-05	PETROCAN	113.60	CAD	113.60	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE
					113.60	CAD	113.60	CAD							
SOLID WASTE MANAGEMENT	5272-3	2019-06-07	2019-06-07	FLYING M TRUCK STOP	93.31	CAD	93.31	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
SOLID WASTE MANAGEMENT	5287-1	2019-06-28	2019-06-28	FLYING M TRUCK STOP	83.47	CAD	83.47	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					176.78	CAD	176.78	CAD							
SOLID WASTE MANAGEMENT	5280-1	2019-06-18	2019-06-18	FLYING M TRUCK STOP	20.05	CAD	20.05	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					20.05	CAD	20.05	CAD							
FIRE SERVICES	5267-2	2019-06-02	2019-06-02	SPEEDWAY 03612 100	47.26	CAD	34.00	USD	4230	BUSINESS TRAV - OTHER EXPENSES	FR0026	HUSAR-PROVINCE	5542	"Fuel Dispenser, Automated"	FUEL - FEMA SESSION
FIRE SERVICES	5268-1	2019-06-02	2019-06-03	ONROUTE #01161	76.59	CAD	76.59	CAD	4230	BUSINESS TRAV - OTHER EXPENSES	FR0026	HUSAR-PROVINCE	5542	"Fuel Dispenser, Automated"	FUEL - FEMA SESSION
