Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5441-1	2020-01-20	2020-01-22	PEARSON MART ESSO	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL 87.183L @$1.147/L
					100.00	CAD	100.00	CAD							
SOLID WASTE MANAGEMENT	5433-1	2020-01-08	2020-01-10	PETROCAN	92.43	CAD	92.43	CAD	2260	GASOLINE	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
SOLID WASTE MANAGEMENT	5439-1	2020-01-17	2020-01-20	PETROCAN	104.79	CAD	104.79	CAD	2260	GASOLINE	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
					197.22	CAD	197.22	CAD							
SOLID WASTE MANAGEMENT	5430-1	2020-01-06	2020-01-07	FLYING M TRUCK STOP	100.19	CAD	100.19	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					100.19	CAD	100.19	CAD							
SOLID WASTE MANAGEMENT	5436-1	2020-01-14	2020-01-15	FLYING M TRUCK STOP	83.40	CAD	83.40	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					83.40	CAD	83.40	CAD							
SOLID WASTE MANAGEMENT	5425-1	2019-12-30	2020-01-01	PETROCAN	90.49	CAD	90.49	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE
SOLID WASTE MANAGEMENT	5434-1	2020-01-10	2020-01-13	PETROCAN	70.18	CAD	70.18	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE
SOLID WASTE MANAGEMENT	5439-2	2020-01-17	2020-01-20	PIONEER # 345	72.95	CAD	72.95	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE
SOLID WASTE MANAGEMENT	5445-1	2020-01-27	2020-01-28	PIONEER # 345	83.24	CAD	83.24	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE
					316.86	CAD	316.86	CAD							
TORONTO PARAMEDIC SERVICES	5433-2	2020-01-08	2020-01-10	ONROUTE #01162	93.72	CAD	93.72	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL 83.398L @ $1.259/L
TORONTO PARAMEDIC SERVICES	5433-3	2020-01-08	2020-01-10	ONROUTE #01162	11.28	CAD	11.28	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	(REFLEX WWAF)PLEASE SEE BATCH ID 5433-2 FOR FUEL
					105.00	CAD	105.00	CAD							
SOLID WASTE MANAGEMENT	5433-4	2020-01-08	2020-01-10	PETROCAN	74.16	CAD	74.16	CAD	2260	GASOLINE	CSW930-03-01	KEELE VALLEY SOGR	5542	"Fuel Dispenser, Automated"	GASOLINE CITY USE
SOLID WASTE MANAGEMENT	5448-1	2020-01-29	2020-01-31	PETROCAN	67.96	CAD	67.96	CAD	2260	GASOLINE	CSW930-03-01	KEELE VALLEY SOGR	5542	"Fuel Dispenser, Automated"	GASOLINE CITY USE
					142.12	CAD	142.12	CAD							
"PARKS, FORESTRY & RECREATION"	5441-2	2020-01-21	2020-01-22	WATER AND ICE NORTH AM	378.55	CAD	378.55	CAD	2535	PLUMBING SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	ORP PROBE WITH 10' CABLE
					378.55	CAD	378.55	CAD							
"PARKS, FORESTRY & RECREATION"	5430-2	2020-01-06	2020-01-07	METRO #493	116.63	CAD	116.63	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	"CRACKERS, CHKN BREAST"
"PARKS, FORESTRY & RECREATION"	5433-5	2020-01-09	2020-01-10	SAM'S NO FRILLS #3663	217.89	CAD	217.89	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	"GRND BEEF, FRUITS, CRACKERS"
"PARKS, FORESTRY & RECREATION"	5435-1	2020-01-13	2020-01-14	SAM'S NO FRILLS #3663	261.08	CAD	261.08	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	"CRANBERRY JUICE, SPINACH"
"PARKS, FORESTRY & RECREATION"	5440-1	2020-01-20	2020-01-21	SAM'S NO FRILLS #3663	456.63	CAD	456.63	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	"CHKN BROTH, CHEESE, GRAPES"
"PARKS, FORESTRY & RECREATION"	5440-2	2020-01-20	2020-01-21	G & G ELECTRONICS	993.27	CAD	993.27	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	7629	"Appliance Repair Shops, Electrical and S"	TV
"PARKS, FORESTRY & RECREATION"	5444-1	2020-01-26	2020-01-27	METRO #493	69.03	CAD	69.03	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	LAUNDRY SOAP
"PARKS, FORESTRY & RECREATION"	5445-2	2020-01-27	2020-01-28	SAM'S NO FRILLS #3663	9.00	CAD	9.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	BERRIES
"PARKS, FORESTRY & RECREATION"	5445-3	2020-01-27	2020-01-28	SAM'S NO FRILLS #3663	201.97	CAD	201.97	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	"MILK, CRACKER, BERRIES"
					"2,325.50"	CAD	"2,325.50"	CAD							
SOLID WASTE MANAGEMENT	5447-1	2020-01-28	2020-01-30	CDN TIRE STORE #00187	101.68	CAD	101.68	CAD	3085	M & E - AIR CONDITIONING	SW0739	MATERIAL RECYCLING FACILITY - ARROW ROAD	5200	Home Supply Warehouse	FILTER FOR STAFF OFFICE AT CONTRACTOR'S SITE
					101.68	CAD	101.68	CAD							
FLEET SERVICES	5436-2	2020-01-13	2020-01-15	MTO RUS DRIVER CERT PR	"4,300.00"	CAD	"4,300.00"	CAD	4991	PAYMENTS TO PROVINCE	FL4001	FLEET SAFETY & TRAINING	9399	Government Services - Not Elsewhere Clas	P1 DCP CHARGE
FLEET SERVICES	5438-1	2020-01-15	2020-01-17	MTO RUS PRIS	5.00	CAD	5.00	CAD	4991	PAYMENTS TO PROVINCE	FL4001	FLEET SAFETY & TRAINING	9399	Government Services - Not Elsewhere Clas	P1 MTO CVOR QUERY FEE
FLEET SERVICES	5443-1	2020-01-23	2020-01-24	THE CITY OF MISSISSAUG	325.00	CAD	325.00	CAD	4517	PROV OFFENCES FINES	FL4001	FLEET SAFETY & TRAINING	9222	Fines	P1 RED LIGHT TICKET TORWAT 061130
FLEET SERVICES	5443-2	2020-01-23	2020-01-24	TERANET PAY TICKETS	3.00	CAD	3.00	CAD	4517	PROV OFFENCES FINES	FL4001	FLEET SAFETY & TRAINING	9222	Fines	P1 TPA MEETING PARKING
FLEET SERVICES	5446-1	2020-01-28	2020-01-29	UPARK CORP. - CHURCH L	7.00	CAD	7.00	CAD	4770	PARKING EXPENSES (INTOWN)	FL4001	FLEET SAFETY & TRAINING	7523	Automobile Parking Lots and Garages	P1 TPA MEETING PARKING
					"4,640.00"	CAD	"4,640.00"	CAD							
TORONTO WATER	5429-1	2020-01-02	2020-01-06	WEF MAIN	131.94	CAD	99.00	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	8699	"Organizations, Membership - Not Elsewher"	E-BOOK GUIDELINES FOR SAMPLING
TORONTO WATER	5431-1	2020-01-07	2020-01-08	-FEDEX- 90768156	7.91	CAD	7.91	CAD	4815	COURIER SERVICES	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	4215	"Courier Services - Air & Ground, Freight"	CLEARANCE ENTRY FEE
TORONTO WATER	5438-2	2020-01-15	2020-01-17	BELL EXPRESSVU COMMERC	56.50	CAD	56.50	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	TW4022	WW TREATMT:ASHBRIDGES BAY TP-LIQUIDS	4812	Telecommunication Equipment Including Te	SERVICE CHARGE STAELITE INSTALLATION
TORONTO WATER	5439-3	2020-01-15	2020-01-20	QX	395.50	CAD	395.50	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	TW4022	WW TREATMT:ASHBRIDGES BAY TP-LIQUIDS	1731	Electrical Contractors	INSTALLATION OF TWO RECEIVERS IN SUPERVISOR LUNCH ROOM AND LARGE BOARDROOM
TORONTO WATER	5439-4	2020-01-17	2020-01-20	SHOPPERS DRUG MART #12	12.49	CAD	12.49	CAD	4815	COURIER SERVICES	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	9402	Postal Services - Government Only	REGISTERED LETTER COURIER SERVICE
TORONTO WATER	5439-5	2020-01-16	2020-01-20	QX	282.50	CAD	282.50	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	TW4022	WW TREATMT:ASHBRIDGES BAY TP-LIQUIDS	1731	Electrical Contractors	INSTALLATION OF EXTRA RECEIVER ABTP BOARDROOM
TORONTO WATER	5442-1	2020-01-21	2020-01-23	CDN TIRE STORE #00654	50.79	CAD	50.79	CAD	2610	KITCHEN SUPPLIES	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5200	Home Supply Warehouse	KETTLE AND DEODORISER
TORONTO WATER	5443-3	2020-01-22	2020-01-24	BELL EXPRESSVU COMMERC	-56.50	CAD	-56.50	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	TW4022	WW TREATMT:ASHBRIDGES BAY TP-LIQUIDS	4812	Telecommunication Equipment Including Te	INSTALLATION SERVICE CHARGE REFUND
					881.13	CAD	749.19	CAD							
							99.00	USD							
TRANSPORTATION SERVICES	5427-1	2020-01-01	2020-01-03	INSTORAGE #3021	589.48	CAD	589.48	CAD	4416	"TRANSFER, HAULAGE AND STORAGE"	TP0100	"ROADWAY SURFACE REPAIR-D1,A1"	5999	Miscellaneous and Specialty Retail Store	STORAGE UNIT FOR LABOUR DISRUPTION
					589.48	CAD	589.48	CAD							
"PARKS, FORESTRY & RECREATION"	5434-9	2020-01-10	2020-01-13	VALLEYVIEW GARDENS	459.40	CAD	459.40	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5261	Lawn and Garden Supply Stores	TROPICAL PLANTS
"PARKS, FORESTRY & RECREATION"	5435-2	2020-01-13	2020-01-14	VALLEYVIEW GARDENS	622.53	CAD	622.53	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5261	Lawn and Garden Supply Stores	"PLANTER, PLANTER CADDY"
"PARKS, FORESTRY & RECREATION"	5436-3	2020-01-14	2020-01-15	SHERIDAN NURSERIES WHI	14.68	CAD	14.68	CAD	2470	FERTILIZERS	P00272	E-SOUTH2-TURF&HORT	5261	Lawn and Garden Supply Stores	TRANSPLANT FERTILIZER
