Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5586-1	2020-07-30	2020-08-03	PETROCAN	20.00	CAD	20.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL 19.065 L @$1.049/L
					20.00	CAD	20.00	CAD							
TORONTO PARAMEDIC SERVICES	5598-1	2020-08-16	2020-08-18	SHELL	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL 95.330L @$1.049/L
					100.00	CAD	100.00	CAD							
SOLID WASTE MANAGEMENT	5586-2	2020-07-31	2020-08-03	PETROCAN	52.34	CAD	52.34	CAD	2260	GASOLINE	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
SOLID WASTE MANAGEMENT	5591-1	2020-08-05	2020-08-07	PETROCAN	81.88	CAD	81.88	CAD	2260	GASOLINE	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
SOLID WASTE MANAGEMENT	5600-1	2020-08-18	2020-08-20	PETROCAN	91.40	CAD	91.40	CAD	2260	GASOLINE	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
					225.62	CAD	225.62	CAD							
SOLID WASTE MANAGEMENT	5592-1	2020-08-07	2020-08-10	FLYING M TRUCK STOP	74.80	CAD	74.80	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					74.80	CAD	74.80	CAD							
SOLID WASTE MANAGEMENT	5605-1	2020-08-26	2020-08-27	FLYING M TRUCK STOP	89.23	CAD	89.23	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					89.23	CAD	89.23	CAD							
SOLID WASTE MANAGEMENT	5586-3	2020-07-31	2020-08-03	PETROCAN	45.30	CAD	45.30	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE
SOLID WASTE MANAGEMENT	5591-2	2020-08-05	2020-08-07	PETROCAN	23.05	CAD	23.05	CAD	2280	DIESEL - CLEAR	CSW930-01-01	BEARE ROAD SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL-BEARE RD HE
SOLID WASTE MANAGEMENT	5592-2	2020-08-06	2020-08-10	PETROCAN	33.27	CAD	33.27	CAD	2280	DIESEL - CLEAR	CSW930-01-01	BEARE ROAD SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL BEARE RD HE
