Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5735-1	2021-02-15	2021-02-17	DEREK ROBERTS ESSO	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL 86.281L@$1.159/L
					100.00	CAD	100.00	CAD							
SOLID WASTE MANAGEMENT	5733-1	2021-02-12	2021-02-15	FLYING M TRUCK STOP	55.80	CAD	55.80	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					55.80	CAD	55.80	CAD							
SOLID WASTE MANAGEMENT	5733-2	2021-02-12	2021-02-15	FLYING M TRUCK STOP	66.00	CAD	66.00	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					66.00	CAD	66.00	CAD							
SOLID WASTE MANAGEMENT	5738-1	2021-02-18	2021-02-22	PETROCAN	18.01	CAD	18.01	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL-CITY USE
					18.01	CAD	18.01	CAD							
SOLID WASTE MANAGEMENT	5730-1	2021-02-08	2021-02-10	PETROCAN	55.50	CAD	55.50	CAD	2260	GASOLINE	CSW930-02-01	BROCK WEST SOGR	5541	Service Stations (with or without Ancill	GASOLINE
					55.50	CAD	55.50	CAD							
"PARKS, FORESTRY & RECREATION"	5730-2	2021-02-09	2021-02-10	AMAZON.CA WP0OD3G23	259.16	CAD	259.16	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	4816	Computer Network/Information Services	HOT HANDS TOE WARMERS FOR HIGH PARK RINK
					259.16	CAD	259.16	CAD							
SOLID WASTE MANAGEMENT	5736-1	2021-02-17	2021-02-18	RECYCLING MARKETS LIMI	592.41	CAD	455.00	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	SW0739	MATERIAL RECYCLING FACILITY - ARROW ROAD	7399	Business Services - Not Elsewhere Classi	one year subscription to market index for revenue of recyclables
					592.41	CAD	455.00	USD							
TORONTO WATER	5723-1	2021-02-02	2021-02-02	GUNNEBO CANADA	349.16	CAD	349.16	CAD	4463	CONTRACTED SERVICES - LOCKING SYSTEMS	TW4022	WW TREATMT:ASHBRIDGES BAY TP-LIQUIDS	7393	"Detective Agencies, Protective Agencies,"	RE-KEYING MEDECO XT LOCK
TORONTO WATER	5725-1	2021-02-03	2021-02-04	SHOPPERS DRUG MART #12	13.59	CAD	13.59	CAD	4815	COURIER SERVICES	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	9402	Postal Services - Government Only	REGISTERED MAIL
TORONTO WATER	5738-2	2021-02-21	2021-02-22	COSTCO WHOLESALE W159	129.94	CAD	129.94	CAD	2010	STATIONERY AND OFFICE SUPPLIES	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5300	Wholesale Clubs	DESK
					492.69	CAD	492.69	CAD							
"PARKS, FORESTRY & RECREATION"	5722-1	2021-01-29	2021-02-01	THE HOME DEPOT #7107	270.47	CAD	270.47	CAD	2710	GENERAL HARDWARE	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	GRINDER DISCS
					270.47	CAD	270.47	CAD							
FACILITIES MANAGEMENT	5722-2	2021-01-28	2021-02-01	YORKLAND CONTROLS LIMI	478.19	CAD	478.19	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61661377	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	CONTROLLER
FACILITIES MANAGEMENT	5722-3	2021-01-29	2021-02-01	THE MASTER GROUP CRANF	62.51	CAD	62.51	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61662330	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5074	Plumbing and Heating Equipment	PARTS USED
