Division,Batch-Transaction ID,Transaction Date,Card Posting Dt,Merchant Name,Transaction Amt.,Trx.Currency,Original Amount,Original Currency,G/L Account,Exp Type Desc,Cost Center / WBS Element / Order,Cost Center / WBS Element / Order Description,Merchant Type,Merchant Type Description,Purpose
SOLID WASTE MANAGEMENT,5746-1,2021-03-02,2021-03-04,PETROCAN,75.00,CAD,75.00,CAD,2260,GASOLINE,CSW930-03-01,KEELE VALLEY SOGR,5541,Service Stations (with or without Ancill,GASOLINE-CITY USE
,,,,,75.00,CAD,75.00,CAD,,,,,,,
SOLID WASTE MANAGEMENT,5756-1,2021-03-15,2021-03-17,PETROCAN,39.00,CAD,39.00,CAD,2280,DIESEL - CLEAR,CSW930-03-01,KEELE VALLEY SOGR,5541,Service Stations (with or without Ancill,DIESEL FUEL -CITY USE
SOLID WASTE MANAGEMENT,5759-1,2021-03-19,2021-03-22,PETROCAN,49.00,CAD,49.00,CAD,2280,DIESEL - CLEAR,CSW930-03-01,KEELE VALLEY SOGR,5541,Service Stations (with or without Ancill,DIESEL FUEL-CITY USE
,,,,,88.00,CAD,88.00,CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5754-1,2021-03-11,2021-03-15,THE HOME DEPOT #7080,64.21,CAD,64.21,CAD,2730,LOCKS,P06885,TECHNICAL TRADES SERVICES - 50 BOOTH,5200,Home Supply Warehouse,**MORE**  68 KEY
"PARKS, FORESTRY & RECREATION",5764-1,2021-03-26,2021-03-29,JJ DOWNS INDUSTRIAL,286.48,CAD,286.48,CAD,2535,PLUMBING SUPPLIES,P06885,TECHNICAL TRADES SERVICES - 50 BOOTH,5085,Industrial Supplies Not Elsewhere Classi,POLY TUBINGS
,,,,,350.69,CAD,350.69,CAD,,,,,,,
SOLID WASTE MANAGEMENT,5745-1,2021-03-02,2021-03-03,UDEMY ONLINE COURSES,17.99,CAD,17.99,CAD,4310,TRAINING & DEVELOPMENT - EXTERNAL,SW0739,MATERIAL RECYCLING FACILITY - ARROW ROAD,8299,Educational Services,COMPREHENSIVE TRAINING FOR POWER BI FOR CREATING REPORTS
SOLID WASTE MANAGEMENT,5746-2,2021-03-03,2021-03-04,TIM HORTONS #2972,70.00,CAD,70.00,CAD,2740,"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP",SW0739,MATERIAL RECYCLING FACILITY - ARROW ROAD,5814,Quick Payment Service - Fast-Food Restau,PRIZES FOR BLACK HISTORY MONTH ACTIVITIES
SOLID WASTE MANAGEMENT,5748-1,2021-03-03,2021-03-05,A DIFFERENT BOOKLIST,25.00,CAD,25.00,CAD,2740,"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP",SW0739,MATERIAL RECYCLING FACILITY - ARROW ROAD,5942,Book Stores,PRIZE FOR BLACK HISTORY  MONTH ACTIVITY
,,,,,112.99,CAD,112.99,CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5744-1,2021-03-01,2021-03-02,PAUL WOLF ELECTRIC & L,734.73,CAD,734.73,CAD,2575,ELECTRICAL SUPPLIES,P12081,SOUTH-GENERAL-SPECIALIZED MAINT,5065,Electrical Parts and Equipment,BULBS
"PARKS, FORESTRY & RECREATION",5752-1,2021-03-10,2021-03-11,PAUL WOLF ELECTRIC & L,116.88,CAD,116.88,CAD,2575,ELECTRICAL SUPPLIES,P12081,SOUTH-GENERAL-SPECIALIZED MAINT,5065,Electrical Parts and Equipment,"FUSES, TECK CABLE"
,,,,,851.61,CAD,851.61,CAD,,,,,,,
TORONTO WATER,5753-1,2021-03-11,2021-03-12,STAPLES STORE #26,45.15,CAD,45.15,CAD,2010,STATIONERY AND OFFICE SUPPLIES,TW4015,WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.,5943,"Office, School Supply, and Stationery St",MOUSE PADS
,,,,,45.15,CAD,45.15,CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5753-2,2021-03-10,2021-03-12,THE HOME DEPOT #7107,50.00,CAD,50.00,CAD,4520,RENTAL OF MACHINERY AND EQUIPMENT,P00272,E-SOUTH2-TURF&HORT,5200,Home Supply Warehouse,DEPOSIT
"PARKS, FORESTRY & RECREATION",5753-3,2021-03-10,2021-03-12,THE HOME DEPOT #7107,45.18,CAD,45.18,CAD,3080,M & E - HAND TOOLS,P00272,E-SOUTH2-TURF&HORT,5200,Home Supply Warehouse,DW FTQ RA
"PARKS, FORESTRY & RECREATION",5754-2,2021-03-12,2021-03-15,THE HOME DEPOT #7107,-4.80,CAD,-4.80,CAD,4520,RENTAL OF MACHINERY AND EQUIPMENT,P00272,E-SOUTH2-TURF&HORT,5200,Home Supply Warehouse,DIGGER DEPOSIT BALANCE REFUND
"PARKS, FORESTRY & RECREATION",5754-3,2021-03-12,2021-03-15,URBAN GREEN BUILDING &,423.39,CAD,423.39,CAD,2770,GRAVEL,P00272,E-SOUTH2-TURF&HORT,7299,Other Services (Not Elsewhere Classified,GRAVEL
"PARKS, FORESTRY & RECREATION",5758-1,2021-03-17,2021-03-19,THE HOME DEPOT #7107,50.00,CAD,50.00,CAD,4520,RENTAL OF MACHINERY AND EQUIPMENT,P00272,E-SOUTH2-TURF&HORT,5200,Home Supply Warehouse,DEPOSIT
"PARKS, FORESTRY & RECREATION",5758-2,2021-03-17,2021-03-19,THE HOME DEPOT #7107,57.09,CAD,57.09,CAD,2710,GENERAL HARDWARE,P00272,E-SOUTH2-TURF&HORT,5200,Home Supply Warehouse,WIREMESH
"PARKS, FORESTRY & RECREATION",5758-3,2021-03-17,2021-03-19,THE HOME DEPOT #7107,-3.67,CAD,-3.67,CAD,4520,RENTAL OF MACHINERY AND EQUIPMENT,P00272,E-SOUTH2-TURF&HORT,5200,Home Supply Warehouse,MIXER DEPOSIT BALANCE REFUND
"PARKS, FORESTRY & RECREATION",5763-1,2021-03-25,2021-03-26,RONA # 55140,23.53,CAD,23.53,CAD,2710,GENERAL HARDWARE,P00272,E-SOUTH2-TURF&HORT,5251,Hardware Stores,PLASTIC PAILS
"PARKS, FORESTRY & RECREATION",5764-2,2021-03-25,2021-03-29,SHOPPER'S DRUG MART #,4.51,CAD,4.51,CAD,2570,JANITORIAL SUPPLIES,P00272,E-SOUTH2-TURF&HORT,5912,"Drug Stores, Pharmacies",BLEACH
,,,,,645.23,CAD,645.23,CAD,,,,,,,
FACILITIES MANAGEMENT,5743-1,2021-02-26,2021-03-01,THE MASTER GROUP CRANF,102.30,CAD,102.30,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61663574,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5074,Plumbing and Heating Equipment,CRANKCASE HEATER
FACILITIES MANAGEMENT,5743-2,2021-02-25,2021-03-01,UNITED REFRIGERATION,70.81,CAD,70.81,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61663574,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5065,Electrical Parts and Equipment,PARTS 2
FACILITIES MANAGEMENT,5743-3,2021-02-26,2021-03-01,YORKLAND CONTROLS LIMI,623.86,CAD,623.86,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61670174,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5074,Plumbing and Heating Equipment,GAS VALVE
FACILITIES MANAGEMENT,5743-4,2021-02-26,2021-03-01,YORKLAND CONTROLS LIMI,"1,030.55",CAD,"1,030.55",CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61660760,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5074,Plumbing and Heating Equipment,3 WAY VALVE WITH ACTUATOR
FACILITIES MANAGEMENT,5744-2,2021-03-01,2021-03-02,THE MASTER GROUP CRANF,48.79,CAD,48.79,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61672202,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5074,Plumbing and Heating Equipment,PARTS RECEIPT
FACILITIES MANAGEMENT,5745-2,2021-03-02,2021-03-03,ELITE PLUMBING & HEATI,129.58,CAD,129.58,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61661029,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5074,Plumbing and Heating Equipment,PIPING MATERIALS
FACILITIES MANAGEMENT,5746-3,2021-03-03,2021-03-04,ELITE PLUMBING & HEATI,26.23,CAD,26.23,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61661029,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5074,Plumbing and Heating Equipment,PIPING MATERIAL
FACILITIES MANAGEMENT,5749-1,2021-03-05,2021-03-08,WESTBURNE ONTARIO,105.13,CAD,105.13,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61669264,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5065,Electrical Parts and Equipment,DISCONNECT SWITCH
FACILITIES MANAGEMENT,5750-1,2021-03-08,2021-03-09,E H PRICE SALES WOODBR,"1,079.15",CAD,"1,079.15",CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61675473,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5085,Industrial Supplies Not Elsewhere Classi,PARTS
FACILITIES MANAGEMENT,5752-2,2021-03-08,2021-03-11,APPLIED INDUSTRIAL TEC,162.18,CAD,162.18,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61675467,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5085,Industrial Supplies Not Elsewhere Classi,Belts
FACILITIES MANAGEMENT,5755-1,2021-03-15,2021-03-16,TORONTO PARKING AUTHOR,4.00,CAD,4.00,CAD,4770,PARKING EXPENSES (INTOWN),61677178,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,7523,Automobile Parking Lots and Garages,PARKING RECEIPT
FACILITIES MANAGEMENT,5755-2,2021-03-15,2021-03-16,HTS ENGINEERING LTD.,213.77,CAD,213.77,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61677178,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5074,Plumbing and Heating Equipment,MOTOR
FACILITIES MANAGEMENT,5756-2,2021-03-11,2021-03-17,APPLIED INDUSTRIAL TEC,117.41,CAD,117.41,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61676798,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5085,Industrial Supplies Not Elsewhere Classi,PULLEY
FACILITIES MANAGEMENT,5756-3,2021-03-12,2021-03-17,APPLIED INDUSTRIAL TEC,146.81,CAD,146.81,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61672723,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5085,Industrial Supplies Not Elsewhere Classi,BELTS
FACILITIES MANAGEMENT,5759-2,2021-03-19,2021-03-22,THE MASTER GROUP CRANF,316.59,CAD,316.59,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61678236,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5074,Plumbing and Heating Equipment,THERMOSTAT WITH REMOTE SENSOR
FACILITIES MANAGEMENT,5761-1,2021-03-23,2021-03-24,THE MASTER GROUP CRANF,226.41,CAD,226.41,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61678236,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5074,Plumbing and Heating Equipment,HI LIMIT ASSEMBLY
FACILITIES MANAGEMENT,5764-3,2021-03-24,2021-03-29,APPLIED INDUSTRIAL TEC,100.81,CAD,100.81,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61672198,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5085,Industrial Supplies Not Elsewhere Classi,BELTS
FACILITIES MANAGEMENT,5766-1,2021-03-29,2021-03-31,SCARBORO PUMP MANUFACT,"1,310.80",CAD,"1,310.80",CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61675092,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5074,Plumbing and Heating Equipment,PUMP ASSEMBLY REBUILD
,,,,,"5,815.18",CAD,"5,815.18",CAD,,,,,,,
FIRE SERVICES,5755-3,2021-03-15,2021-03-16,IN  AJW ENGINEERING LT,"1,864.50",CAD,"1,864.50",CAD,4424,CONTRACTED SERVICES - GENERAL,FR0025,MECHANICAL MAINT-VEHICLE MAINT,7399,Business Services - Not Elsewhere Classi,ENGINEERING REVIEW OF HEAVY TRUCK
FIRE SERVICES,5759-3,2021-03-18,2021-03-22,MTO RUS-SO NORTH YORK,32.00,CAD,32.00,CAD,4830,PERMIT & LICENSE FEES,FR0025,MECHANICAL MAINT-VEHICLE MAINT,9399,Government Services - Not Elsewhere Clas,FEES TO LICENSE UNIT AD33480
FIRE SERVICES,5761-2,2021-03-23,2021-03-24,NORTH YORK TROPHIES,"2,663.98",CAD,"2,663.98",CAD,2790,PRESENTATION/PROMOTIONAL ITEMS,FR0045,OPERATIONS - OTHER EXPENSES,5999,Miscellaneous and Specialty Retail Store,CUSTOM SHIELD DESIGN PLAQUES
,,,,,"4,560.48",CAD,"4,560.48",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5752-3,2021-03-10,2021-03-11,NOBLE 1038,337.99,CAD,337.99,CAD,2535,PLUMBING SUPPLIES,P07697,CUMMER COMPLEX-OPERATIONS,5251,Hardware Stores,FITTINGS AND HARDWARE
"PARKS, FORESTRY & RECREATION",5752-4,2021-03-10,2021-03-11,NOBLE 1038,37.73,CAD,37.73,CAD,2535,PLUMBING SUPPLIES,P07697,CUMMER COMPLEX-OPERATIONS,5251,Hardware Stores,DROP IN ANCHOR
"PARKS, FORESTRY & RECREATION",5754-4,2021-03-12,2021-03-15,NOBLE 1039,28.50,CAD,28.50,CAD,2535,PLUMBING SUPPLIES,P07697,CUMMER COMPLEX-OPERATIONS,5251,Hardware Stores,NUTS AND WASHERS
"PARKS, FORESTRY & RECREATION",5757-1,2021-03-17,2021-03-18,JJ DOWNS INDUSTRIAL,84.75,CAD,84.75,CAD,2535,PLUMBING SUPPLIES,P07697,CUMMER COMPLEX-OPERATIONS,5085,Industrial Supplies Not Elsewhere Classi,CEMENT PIPE COUPLING
"PARKS, FORESTRY & RECREATION",5757-2,2021-03-17,2021-03-18,NOBLE 1039,86.98,CAD,86.98,CAD,2535,PLUMBING SUPPLIES,P07697,CUMMER COMPLEX-OPERATIONS,5251,Hardware Stores,HARDWARE FOR HANGERS
"PARKS, FORESTRY & RECREATION",5758-4,2021-03-18,2021-03-19,CENTENNIAL PLUMBING SU,157.40,CAD,157.40,CAD,2535,PLUMBING SUPPLIES,P07697,CUMMER COMPLEX-OPERATIONS,1711,"Air Conditioning, Heating, and Plumbing",COUPLINGS
"PARKS, FORESTRY & RECREATION",5758-5,2021-03-18,2021-03-19,CENTENNIAL PLUMBING SU,44.02,CAD,44.02,CAD,2535,PLUMBING SUPPLIES,P07697,CUMMER COMPLEX-OPERATIONS,1711,"Air Conditioning, Heating, and Plumbing",COUPLING
,,,,,777.37,CAD,777.37,CAD,,,,,,,
MUNICIPAL LICENSING & STANDARDS,5748-2,2021-03-04,2021-03-05,MUNICIPAL LAW ENFORCEM,"2,069.00",CAD,"2,069.00",CAD,4760,MEMBERSHIP FEES,MS1000,OFF. OF THE EXECUTIVE DIRECTOR,8398,"Organizations, Charitable and Social Ser",2021 MLEO ANNUAL MEMBERSHIP
MUNICIPAL LICENSING & STANDARDS,5751-2,2021-03-09,2021-03-10,YORK U-OSGOODE PROF DE,"4,235.85",CAD,"4,235.85",CAD,4310,TRAINING & DEVELOPMENT - EXTERNAL,MS1011,MLS WORKFORCE PLANNING & DEVELOPMENT,8220,"Colleges, Universities, Professional Sch",ML&S TESTIMONY SKILLS WORKSHOP . OSGOODE HALL
,,,,,"6,304.85",CAD,"6,304.85",CAD,,,,,,,
FACILITIES MANAGEMENT,5746-4,2021-03-03,2021-03-04,APPLEBY LOCK,135.60,CAD,135.60,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61675147,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,7399,Business Services - Not Elsewhere Classi,KEYS
FACILITIES MANAGEMENT,5748-3,2021-03-05,2021-03-05,ULINE,235.53,CAD,235.53,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61675511,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5964,Direct Marketing - Catalog Merchants,"30"" CONVEX SAFETY MIRROR-OUTDOOR"
FACILITIES MANAGEMENT,5749-3,2021-03-05,2021-03-08,LOCK-UP SERVICES,"2,281.70",CAD,"2,281.70",CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61669660,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,7299,Other Services (Not Elsewhere Classified,REPLACEMENT OF GEARBOX AND MOTOR
FACILITIES MANAGEMENT,5754-5,2021-03-11,2021-03-15,THE HOME DEPOT #7080,66.51,CAD,66.51,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61676742,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5200,Home Supply Warehouse,METAL DOOR
FACILITIES MANAGEMENT,5754-6,2021-03-11,2021-03-15,THE HOME DEPOT #7080,78.44,CAD,78.44,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61660206,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5200,Home Supply Warehouse,**MORE**  PL MAX
FACILITIES MANAGEMENT,5754-7,2021-03-11,2021-03-15,RITI GLASS & MIRROR,180.80,CAD,180.80,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61676197,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5714,"Drapery, Upholstery, and Window Covering",GLASS
FACILITIES MANAGEMENT,5754-8,2021-03-11,2021-03-15,EXTRUDE-A-TRIM INC.,293.44,CAD,293.44,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61669098,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5039,Construction Materials Not Elsewhere Cla,ALUMINUM TRIM FOR PLEXIGLASS
FACILITIES MANAGEMENT,5756-4,2021-03-16,2021-03-17,LOCK-UP SERVICES,"1,048.98",CAD,"1,048.98",CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61666223,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,7299,Other Services (Not Elsewhere Classified,REPAIR DOOR EXTRA INCLUDED AS SHOWN
FACILITIES MANAGEMENT,5756-5,2021-03-16,2021-03-17,LOCK-UP SERVICES,824.56,CAD,824.56,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61675261,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,7299,Other Services (Not Elsewhere Classified,AUTOMATIC OPERATOR UNRESPONSIVE
FACILITIES MANAGEMENT,5757-4,2021-03-17,2021-03-18,LOCK-UP SERVICES,122.89,CAD,122.89,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61677185,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,7299,Other Services (Not Elsewhere Classified,EMERGENCY AFTER HRS CALL
,,,,,"5,268.45",CAD,"5,268.45",CAD,,,,,,,
TORONTO WATER,5759-4,2021-03-22,2021-03-22,APPLE.COM/BILL,9.03,CAD,9.03,CAD,3420,COMPUTERS - SOFTWARE,TW2060,D&C: WASTEWATER & STORMWATER PUMPING,5735,Record Shops,MICROSOFT EXCEL SOFTWARE LICENCE FEE
,,,,,9.03,CAD,9.03,CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5746-5,2021-03-03,2021-03-04,SUTTON'S DRICOCRETE,101.70,CAD,101.70,CAD,2770,GRAVEL,P00427,PRN - CENTRALIZED PARKS CONSTRUCTION OPS,5261,Lawn and Garden Supply Stores,SCREENINGS
"PARKS, FORESTRY & RECREATION",5748-4,2021-03-04,2021-03-05,SUTTON'S DRICOCRETE,203.40,CAD,203.40,CAD,2770,GRAVEL,P00427,PRN - CENTRALIZED PARKS CONSTRUCTION OPS,5261,Lawn and Garden Supply Stores,SCREENINGS
"PARKS, FORESTRY & RECREATION",5756-6,2021-03-16,2021-03-17,BOLTS PLUS,22.37,CAD,22.37,CAD,2710,GENERAL HARDWARE,P00427,PRN - CENTRALIZED PARKS CONSTRUCTION OPS,5251,Hardware Stores,BOLTS
"PARKS, FORESTRY & RECREATION",5759-5,2021-03-19,2021-03-22,ROMA FENCE LTD,379.00,CAD,379.00,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,P00427,PRN - CENTRALIZED PARKS CONSTRUCTION OPS,5211,"Building Materials, Lumber Stores",FENCING PARTS
"PARKS, FORESTRY & RECREATION",5764-5,2021-03-26,2021-03-29,MILLWICK PAINT & PAPER,275.67,CAD,275.67,CAD,2715,PAINT SUPPLIES,P00427,PRN - CENTRALIZED PARKS CONSTRUCTION OPS,5231,"Glass, Paint, Wallpaper Stores",PAINT
"PARKS, FORESTRY & RECREATION",5764-6,2021-03-26,2021-03-29,NAPA WOODBRIDGE #759,23.59,CAD,23.59,CAD,2120,PARTS - MACHINERY & EQUIPMENT,P00427,PRN - CENTRALIZED PARKS CONSTRUCTION OPS,5533,"Automotive Parts, Accessories Stores",WIPER
,,,,,"1,005.73",CAD,"1,005.73",CAD,,,,,,,
