Division 	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
SOLID WASTE MANAGEMENT	5831-1	2021-06-24	2021-06-25	FLYING M TRUCK STOP	107.84	CAD	107.84	2260	GASOLINE	CAD	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	GASOLINE
					107.84	CAD	107.84			CAD					
SOLID WASTE MANAGEMENT	5817-1	2021-06-03	2021-06-07	PETROCAN	36.00	CAD	36.00	2280	DIESEL - CLEAR	CAD	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL CITY USE
SOLID WASTE MANAGEMENT	5821-1	2021-06-09	2021-06-11	PETROCAN	70.00	CAD	70.00	2280	DIESEL - CLEAR	CAD	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL-CITY USE
SOLID WASTE MANAGEMENT	5821-2	2021-06-09	2021-06-11	PETROCAN	42.22	CAD	42.22	2280	DIESEL - CLEAR	CAD	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL CITY USE
SOLID WASTE MANAGEMENT	5827-1	2021-06-17	2021-06-21	PETROCAN	70.08	CAD	70.08	2280	DIESEL - CLEAR	CAD	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL CITY USE
SOLID WASTE MANAGEMENT	5829-1	2021-06-22	2021-06-23	PIONEER # 345	70.00	CAD	70.00	2280	DIESEL - CLEAR	CAD	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL CITY USE
					288.30	CAD	288.30			CAD					
"PARKS, FORESTRY & RECREATION"	5812-1	2021-05-31	2021-06-01	WATER AND ICE NORTH AM	440.81	CAD	440.81	2710	GENERAL HARDWARE	CAD	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	EYE BOLT
"PARKS, FORESTRY & RECREATION"	5825-1	2021-06-15	2021-06-17	BRAFASCO / MISSISSAUGA	581.96	CAD	581.96	2710	GENERAL HARDWARE	CAD	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5085	Industrial Supplies Not Elsewhere Classi	WALL ANCHORS
"PARKS, FORESTRY & RECREATION"	5826-1	2021-06-16	2021-06-18	THE HOME DEPOT #7080	73.28	CAD	73.28	2999	MISCELLANEOUS MATERIALS & SUPPLIES	CAD	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5200	Home Supply Warehouse	JB WATERWELD
"PARKS, FORESTRY & RECREATION"	5827-2	2021-06-18	2021-06-21	WATER AND ICE NORTH AM	550.93	CAD	550.93	2710	GENERAL HARDWARE	CAD	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	EYE BOLTS
"PARKS, FORESTRY & RECREATION"	5832-1	2021-06-25	2021-06-28	NOBLE 1017	28.44	CAD	28.44	2535	PLUMBING SUPPLIES	CAD	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5251	Hardware Stores	POOL PIPING PLUGS
"PARKS, FORESTRY & RECREATION"	5833-1	2021-06-28	2021-06-29	JJ DOWNS INDUSTRIAL	108.65	CAD	108.65	2535	PLUMBING SUPPLIES	CAD	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5085	Industrial Supplies Not Elsewhere Classi	VALVES
					"1,784.07"	CAD	"1,784.07"			CAD					
"PARKS, FORESTRY & RECREATION"	5827-3	2021-06-17	2021-06-21	THE HOME DEPOT #7129	76.72	CAD	76.72	2999	MISCELLANEOUS MATERIALS & SUPPLIES	CAD	P10310	FALSTAFF-PRGM SUPPORT	5200	Home Supply Warehouse	**MORE**  DIGZ 10 PR
"PARKS, FORESTRY & RECREATION"	5831-2	2021-06-24	2021-06-25	AMZN MKTP CA 218UP06D0	45.98	CAD	45.98	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	CAD	P10310	FALSTAFF-PRGM SUPPORT	4816	Computer Network/Information Services	"LEARNING CALENDAR, WEATHER CHART"
"PARKS, FORESTRY & RECREATION"	5831-3	2021-06-25	2021-06-25	AMZN MKTP CA 215SW5DT0	105.95	CAD	105.95	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	CAD	P10310	FALSTAFF-PRGM SUPPORT	4816	Computer Network/Information Services	BULLETIN BOARD BOARDERS
"PARKS, FORESTRY & RECREATION"	5831-4	2021-06-25	2021-06-25	AMAZON.CA 213DP4H92	63.86	CAD	63.86	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	CAD	P10310	FALSTAFF-PRGM SUPPORT	4816	Computer Network/Information Services	SCALPED BOARDERS
"PARKS, FORESTRY & RECREATION"	5832-2	2021-06-25	2021-06-28	AMAZON.CA 2133C1S00	82.98	CAD	82.98	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	CAD	P10310	FALSTAFF-PRGM SUPPORT	4816	Computer Network/Information Services	SEASONAL BOARDERS
"PARKS, FORESTRY & RECREATION"	5832-3	2021-06-26	2021-06-28	AMZN MKTP CA 215CQ17P0	283.48	CAD	283.48	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	CAD	P10310	FALSTAFF-PRGM SUPPORT	4816	Computer Network/Information Services	"WALL DECAL, MULTIPLICATION TABLE"
"PARKS, FORESTRY & RECREATION"	5832-4	2021-06-26	2021-06-28	AMZN MKTP CA 299MJ7NK1	92.51	CAD	92.51	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	CAD	P10310	FALSTAFF-PRGM SUPPORT	4816	Computer Network/Information Services	SWIMWAY STANDARD NOODLES
"PARKS, FORESTRY & RECREATION"	5833-2	2021-06-28	2021-06-29	WF/WAYFAIR3600970461	716.40	CAD	716.40	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	CAD	P10310	FALSTAFF-PRGM SUPPORT	5712	"Equipment, Furniture, and Home Furnishin"	HANGING MATS
"PARKS, FORESTRY & RECREATION"	5833-3	2021-06-29	2021-06-29	AMZN MKTP CA 2140U4782	38.34	CAD	38.34	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	CAD	P10310	FALSTAFF-PRGM SUPPORT	4816	Computer Network/Information Services	HAWAIAN PARTY DECORATIONS
"PARKS, FORESTRY & RECREATION"	5833-4	2021-06-29	2021-06-29	AMZN MKTP CA 214LX9YR0	19.80	CAD	19.80	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	CAD	P10310	FALSTAFF-PRGM SUPPORT	4816	Computer Network/Information Services	COTTON BALLS
