Division 	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5843-1	2021-07-09	2021-07-12	00110 MACS CONV. STORE	99.99	CAD	99.99	CAD	2260	GASOLINE	B41000	OPERATION&MAINTENANCE OF GARAGE	5541	Service Stations (with or without Ancill	FUEL 75.237@$1.329/L
					99.99	CAD	99.99	CAD							
SOLID WASTE MANAGEMENT	5846-1	2021-07-14	2021-07-15	FLYING M TRUCK STOP	107.40	CAD	107.40	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
SOLID WASTE MANAGEMENT	5856-1	2021-07-27	2021-07-29	MOBIL MART ST THOMAS	78.46	CAD	78.46	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					185.86	CAD	185.86	CAD							
SOLID WASTE MANAGEMENT	5851-1	2021-07-20	2021-07-22	PETROCAN	10.74	CAD	10.74	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL -CITY USE
SOLID WASTE MANAGEMENT	5855-1	2021-07-26	2021-07-28	PETROCAN	26.65	CAD	26.65	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL
SOLID WASTE MANAGEMENT	5856-2	2021-07-27	2021-07-29	PETROCAN	26.59	CAD	26.59	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL-CITY USE
					63.98	CAD	63.98	CAD							
"PARKS, FORESTRY & RECREATION"	5846-2	2021-07-14	2021-07-15	WATER AND ICE NORTH AM	"1,431.71"	CAD	"1,431.71"	CAD	2710	GENERAL HARDWARE	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	CHLORINE PUMP
"PARKS, FORESTRY & RECREATION"	5855-2	2021-07-27	2021-07-28	WATER AND ICE NORTH AM	669.78	CAD	669.78	CAD	2710	GENERAL HARDWARE	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	EYE BALLS AND SKIM LID
"PARKS, FORESTRY & RECREATION"	5857-1	2021-07-29	2021-07-30	JJ DOWNS INDUSTRIAL	450.95	CAD	450.95	CAD	2535	PLUMBING SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5085	Industrial Supplies Not Elsewhere Classi	PLASTIC FITTING
"PARKS, FORESTRY & RECREATION"	5857-2	2021-07-29	2021-07-30	WATER AND ICE NORTH AM	"1,348.09"	CAD	"1,348.09"	CAD	2710	GENERAL HARDWARE	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	SIDE FLOW METER
