Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	1827-1	01-23-2012	01-24-2012	IKEA ETOBICOKE	90.35	CAD	90.35	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0091	HS-MH-PRS-FORT YORK	5712	"Equipment, Furniture, and Home Furnishin"	PICTURE FRAMES FOR A WEDDING SHOW - MARKETING	
					90.35	CAD	90.35	CAD								
"PARKS, FORESTRY & RECREATION"	1808-1	01-09-2012	01-10-2012	NOFRILLS VITO'S #3936	11.13	CAD	11.13	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05845	BARBARA FRUM-ARTS-VI	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR COOKING PROGRAM	
"PARKS, FORESTRY & RECREATION"	1818-1	01-16-2012	01-17-2012	NOFRILLS VITO'S #3936	36.45	CAD	36.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05845	BARBARA FRUM-ARTS-VI	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR COOKING PROGRAM	
"PARKS, FORESTRY & RECREATION"	1823-1	01-19-2012	01-20-2012	LONG   MCQUADE	163.97	CAD	163.97	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05845	BARBARA FRUM-ARTS-VI	7399	Business Services - Not Elsewhere Classi	MUSIC BOOKS	
					211.55	CAD	211.55	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1806-1	01-06-2012	01-09-2012	NOFRILLS ROB S  1397	43.71	CAD	43.71	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	*****	MULTIPLE COST CENTRES ASSIGNED	5411	"Grocery Stores, Supermarkets"	*****	
ECONOMIC DEVELOPMENT & CULTURE	1813-1	01-12-2012	01-13-2012	NOFRILLS ROB S  1397	13.79	CAD	13.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"SUPPLY FOR WINTER FUN DAY-POTATO,SOUR CREAM,ONION"	
ECONOMIC DEVELOPMENT & CULTURE	1816-1	01-14-2012	01-16-2012	NOFRILLS ROB S  1397	13.15	CAD	13.15	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	*****	
					70.65	CAD	70.65	CAD								
"PARKS, FORESTRY & RECREATION"	1802-1	01-05-2012	01-06-2012	ALLIANCE CINEMAS   QPS	299.50	CAD	299.50	CAD	4118	TICKETS AND ADMISSION FEES	P03463	MAIN SQ-HOLIDAY CAMP	7832	Motion Picture Theaters	MOVIE ADMISSION - CAMP TRIP	
					299.50	CAD	299.50	CAD								
"PARKS, FORESTRY & RECREATION"	1801-1	01-04-2012	01-05-2012	ALPINE LAWN   GARDEN E	38.63	CAD	38.63	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00264	E-CENTRAL2-TURF&HORT	5261	Lawn and Garden Supply Stores	CARBURETOR	
"PARKS, FORESTRY & RECREATION"	1816-2	01-13-2012	01-16-2012	PUROLATOR 10380897	44.59	CAD	44.59	CAD	4815	COURIER SERVICES	P12856	RAVWTRMAINT	4215	"Courier Services - Air & Ground, Freight"	COURIER SERVICE	
"PARKS, FORESTRY & RECREATION"	1823-2	01-19-2012	01-20-2012	BEST BUY CANADA #943	56.48	CAD	56.48	CAD	3020	M & E - COMMUNICATIONS	P12856	RAVWTRMAINT	5732	Electronic Sales	CAR CHARGER	
					139.70	CAD	139.70	CAD								
"PARKS, FORESTRY & RECREATION"	1830-1	01-23-2012	01-25-2012	MR METAL(ETOBICOKE) IN	71.51	CAD	71.51	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	HR ANGLE 188X1500	
"PARKS, FORESTRY & RECREATION"	1832-1	01-25-2012	01-26-2012	CHAUNCEY BUILDERS SUPP	90.34	CAD	90.34	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5211	"Building Materials, Lumber Stores"	POWER LOCK BOLT	
"PARKS, FORESTRY & RECREATION"	1832-2	01-25-2012	01-26-2012	LINDE CANADA - ETOBICO	9.72	CAD	9.72	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12017	SOUTH GENERAL-PKS TE	5072	Hardware Equipment and Supplies	LENS ANTI SPATTER	
"PARKS, FORESTRY & RECREATION"	1833-1	01-26-2012	01-27-2012	METAL SUPERMARKETS (ET	36.64	CAD	36.64	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	HOT ROLLED ANGEL	
"PARKS, FORESTRY & RECREATION"	1835-1	01-26-2012	01-30-2012	PACIFIC FASTENERS (198	20.88	CAD	20.88	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5251	Hardware Stores	6 1/2-13X23/4 WEDGE	
"PARKS, FORESTRY & RECREATION"	1835-2	01-26-2012	01-30-2012	SPEED FASTENING SYSTEM	27.45	CAD	27.45	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5712	"Equipment, Furniture, and Home Furnishin"	CFD BIT PRENTICE 5/8X 1/2	
"PARKS, FORESTRY & RECREATION"	1837-1	01-26-2012	01-31-2012	HONIG INDUSTRIAL EQUIP	305.01	CAD	305.01	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5969	Direct Marketing - Other Direct Marketer	"BANDSAW BLADE, DRILL SET"	
					561.55	CAD	561.55	CAD								
"PARKS, FORESTRY & RECREATION"	1794-1	12-30-2011	01-03-2012	THE HOME DEPOT #7011	456.64	CAD	456.64	CAD	3099	GENERAL EQUIPMENT	P10910	CENTENNIAL SKI CTR-O	5200	Home Supply Warehouse	FRIDGE	
"PARKS, FORESTRY & RECREATION"	1809-1	01-10-2012	01-11-2012	TORBRAM ELECTRIC SUPPL	116.72	CAD	116.72	CAD	2575	ELECTRICAL SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5065	Electrical Parts and Equipment	FUSES	
"PARKS, FORESTRY & RECREATION"	1809-2	01-10-2012	01-11-2012	STAPLES STORE #11	204.10	CAD	204.10	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5943	"Office, School Supply, and Stationery St"	"CORKBOARDS, ORGANIZERS"	
"PARKS, FORESTRY & RECREATION"	1809-3	01-10-2012	01-11-2012	LOWES #03096*	198.09	CAD	198.09	CAD	2535	PLUMBING SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1812-1	01-11-2012	01-12-2012	IKEA ETOBICOKE	900.60	CAD	900.60	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P10910	CENTENNIAL SKI CTR-O	5712	"Equipment, Furniture, and Home Furnishin"	OFFICE CHAIRS	
"PARKS, FORESTRY & RECREATION"	1812-2	01-11-2012	01-12-2012	LOWES #03096*	756.57	CAD	756.57	CAD	3099	GENERAL EQUIPMENT	P10910	CENTENNIAL SKI CTR-O	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	1813-2	01-11-2012	01-13-2012	THE HOME DEPOT #7011	70.29	CAD	70.29	CAD	2535	PLUMBING SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5200	Home Supply Warehouse	*****	
