Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
"PARKS, FORESTRY & RECREATION"	1949-1	04-16-2012	04-17-2012	NOFRILLS VITO'S #3936	25.90	CAD	25.90	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	SPRING REC PROGRAM	
"PARKS, FORESTRY & RECREATION"	1957-1	04-23-2012	04-24-2012	NOFRILLS VITO'S #3936	33.94	CAD	33.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	SPRING REC PROGRAM	
					59.84	CAD	59.84	CAD								
ECONOMIC DEVELOPMENT & CULTURE	1936-1	04-04-2012	04-05-2012	NOFRILLS ROB S  1397	20.37	CAD	20.37	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	EGGS FOR EASTER PROGRAMS	
ECONOMIC DEVELOPMENT & CULTURE	1953-1	04-17-2012	04-19-2012	SHOPPERSDRUGMART1281	11.96	CAD	11.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5912	"Drug Stores, Pharmacies"	BUTTERFOR PUBLIC PROGRAMS	
ECONOMIC DEVELOPMENT & CULTURE	1953-2	04-17-2012	04-19-2012	SHOPPERSDRUGMART1281	11.96	CAD	11.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5912	"Drug Stores, Pharmacies"	BUTTERFOR PUBLIC PROGRAMS	
ECONOMIC DEVELOPMENT & CULTURE	1953-3	04-17-2012	04-19-2012	SHOPPERSDRUGMART1281	11.96	CAD	11.96	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5912	"Drug Stores, Pharmacies"	BUTTERFOR PUBLIC PROGRAMS	
ECONOMIC DEVELOPMENT & CULTURE	1956-1	04-21-2012	04-23-2012	NOFRILLS ROB S  1397	10.45	CAD	10.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	*****	MULTIPLE COST CENTRES OR WBS ELEMENTS	5411	"Grocery Stores, Supermarkets"	*****	
					66.70	CAD	66.70	CAD								
PUBLIC HEALTH	1929-1	04-02-2012	04-03-2012	STAPLES STORE #214	20.48	CAD	20.48	CAD	2010	STATIONERY AND OFFICE SUPPLIES	PH3515	IP/SAP	5943	"Office, School Supply, and Stationery St"	STATIONARY - LARGE MEETING NOTES	
					20.48	CAD	20.48	CAD								
"PARKS, FORESTRY & RECREATION"	1938-1	04-05-2012	04-09-2012	REMENYI MUSIC   BOOKS	72.35	CAD	72.35	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P12116	MAIN SQ CC-ARTS VISL	5733	"Music Stores - Musical Instruments, Pian"	PIANO BOOKS	
"PARKS, FORESTRY & RECREATION"	1948-1	04-13-2012	04-16-2012	J   J CRAFTS	266.18	CAD	266.18	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P12116	MAIN SQ CC-ARTS VISL	5970	"Artist Supply Stores, Craft Shops"	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	1965-1	04-27-2012	04-30-2012	REMENYI MUSIC   BOOKS	21.83	CAD	21.83	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	P12116	MAIN SQ CC-ARTS VISL	5733	"Music Stores - Musical Instruments, Pian"	PIANO BOOKS	
					360.36	CAD	360.36	CAD								
"PARKS, FORESTRY & RECREATION"	1928-1	03-27-2012	04-02-2012	PACIFIC FASTENERS (198	48.83	CAD	48.83	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5251	Hardware Stores	"HOSE, CLAMP, BOLTS"	
"PARKS, FORESTRY & RECREATION"	1940-1	03-30-2012	04-10-2012	PACIFIC FASTENERS (198	43.23	CAD	43.23	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5251	Hardware Stores	TEST	
"PARKS, FORESTRY & RECREATION"	1940-2	04-04-2012	04-10-2012	PACIFIC FASTENERS (198	12.43	CAD	12.43	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5251	Hardware Stores	BOLTS	
"PARKS, FORESTRY & RECREATION"	1948-2	04-13-2012	04-16-2012	LINDE CANADA - ETOBICO	67.97	CAD	67.97	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5072	Hardware Equipment and Supplies	ELECTRODE 3/32 6011 HOBART	
"PARKS, FORESTRY & RECREATION"	1960-1	04-20-2012	04-25-2012	PRAXAIR #756	73.46	CAD	73.46	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	7692	Welding Repair	MIG LINER 42-4045-15 15	
"PARKS, FORESTRY & RECREATION"	1961-1	04-24-2012	04-26-2012	CTF SUPPLY (11)	24.84	CAD	24.84	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5085	Industrial Supplies Not Elsewhere Classi	MAGNETIC TOLLBOX LEVEL	
"PARKS, FORESTRY & RECREATION"	1962-1	04-25-2012	04-27-2012	MR METAL(ETOBICOKE) IN	49.84	CAD	49.84	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	"HR ROUND .375 QTY 1X 108.0"""	
"PARKS, FORESTRY & RECREATION"	1962-2	04-25-2012	04-27-2012	COLVILLE FASTENERS LTD	90.51	CAD	90.51	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5085	Industrial Supplies Not Elsewhere Classi	ZIRCONIA SANDING DISKS	
					411.11	CAD	411.11	CAD								
"PARKS, FORESTRY & RECREATION"	1936-2	04-04-2012	04-05-2012	STAPLES STORE #2	194.89	CAD	194.89	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00632	CENTENNIAL PK-PKS MA	5943	"Office, School Supply, and Stationery St"		
