Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	2102-1	08-01-2012	08-02-2012	ALBION GOLF CARS	508.50	CAD	508.50	CAD	4510	RENTAL OF VEHICLES AND EQUIPMENT	AH0091	HS-MH-PRS-FORT YORK	4789	Transportation Services-Not Elsewhere Cl	RENTAL GOLF CAR FOR SPECIAL EVENTS AT FORT YORK	
ECONOMIC DEVELOPMENT & CULTURE	2105-1	08-02-2012	08-03-2012	METRO #720	207.16	CAD	207.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR VOLUNTEERS FOR SIMCOE DAY EVENTS	
ECONOMIC DEVELOPMENT & CULTURE	2110-1	08-06-2012	08-07-2012	METRO #720	486.18	CAD	486.18	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0101	HS-MH-PUB-FORT YORK	5411	"Grocery Stores, Supermarkets"	"FOOD FOR VOLUNTEERS-DELI,CHEESE,FRUIT TRAYS"	
ECONOMIC DEVELOPMENT & CULTURE	2134-1	08-20-2012	08-22-2012	MONAGUE NATIVE CRAFTS	"1,381.14"	CAD	"1,381.14"	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0117	HS-MH-RET-FORT YORK	5099	Durable Goods Not Elsewhere Classified	SOUVENIRS FOR RE-SALE IN GIFT SHOP	
					"2,582.98"	CAD	"2,582.98"	CAD								
"PARKS, FORESTRY & RECREATION"	2105-2	08-02-2012	08-03-2012	TORONTO ZOO-ADMISSIONS	593.00	CAD	593.00	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P09686	BARBARA FRUM-INSTRL	7996	"Amusement Parks, Carnivals, Circuses, Fo"		
"PARKS, FORESTRY & RECREATION"	2109-1	08-03-2012	08-06-2012	HARKEL OFFICE FURNITUR	37.29	CAD	37.29	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P09686	BARBARA FRUM-INSTRL	5021	Office and Commercial Furniture	REPLACEMENT ARM CAPS	
"PARKS, FORESTRY & RECREATION"	2112-1	08-03-2012	08-08-2012	JACK WATSON SPORTS INC	27.06	CAD	27.06	CAD	2820	MEDICAL & DENTAL SUPPLIES	P04656	GRANDRAVINE-SUMR CAM	5941	Sporting Goods Stores	COLD PACKS FOR CAMPS	
"PARKS, FORESTRY & RECREATION"	2116-1	08-08-2012	08-09-2012	NOFRILLS VITO'S #3936	71.64	CAD	71.64	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04656	GRANDRAVINE-SUMR CAM	5411	"Grocery Stores, Supermarkets"	FOOD FOR PROGRAM	
					728.99	CAD	728.99	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2109-2	08-03-2012	08-06-2012	PIZZA PIZZA 033	48.28	CAD	48.28	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5814	Quick Payment Service - Fast-Food Restau	LUNCH FOR SUMMER CAMP CAMPERS	
ECONOMIC DEVELOPMENT & CULTURE	2116-2	08-08-2012	08-09-2012	NOFRILLS ROB S  1397	11.37	CAD	11.37	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	SNACKS FOR SUMMR CAMP CAMPERS	
ECONOMIC DEVELOPMENT & CULTURE	2121-1	08-13-2012	08-14-2012	NOFRILLS ROB S  1397	7.91	CAD	7.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	SNACKS FOR SUMMR CAMP CAMPERS	
ECONOMIC DEVELOPMENT & CULTURE	2131-1	08-17-2012	08-20-2012	PIZZA PIZZA 033	62.12	CAD	62.12	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5814	Quick Payment Service - Fast-Food Restau	LUNCH FOR SUMMER CAMP CAMPERS	
ECONOMIC DEVELOPMENT & CULTURE	2140-1	08-24-2012	08-27-2012	PIZZA PIZZA 033	62.12	CAD	62.12	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5814	Quick Payment Service - Fast-Food Restau	LUNCH FOR SUMMER CAMP CAMPERS	
					191.80	CAD	191.80	CAD								
PUBLIC HEALTH	2144-1	08-28-2012	08-29-2012	STAPLES STORE #228	608.17	CAD	608.17	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	PH3614	SCHOOL AGED CHILDREN	5943	"Office, School Supply, and Stationery St"	LARGE POSTERS FOR SCHOOL PHNS	
					608.17	CAD	608.17	CAD								
"PARKS, FORESTRY & RECREATION"	2102-2	08-01-2012	08-02-2012	TORONTO ZOO-ADMISSIONS	217.00	CAD	217.00	CAD	4118	TICKETS AND ADMISSION FEES	P12113	MAIN SQ CC-SUMMER CA	7996	"Amusement Parks, Carnivals, Circuses, Fo"	SPORTS CAMP TRIP	
"PARKS, FORESTRY & RECREATION"	2102-3	08-01-2012	08-02-2012	TORONTO ZOO-ADMISSIONS	355.00	CAD	355.00	CAD	4118	TICKETS AND ADMISSION FEES	P12113	MAIN SQ CC-SUMMER CA	7996	"Amusement Parks, Carnivals, Circuses, Fo"	SPORTS CAMP TRIP	
