Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
PUBLIC HEALTH	2294-1	12-14-2012	12-17-2012	PAYPAL *MEGRD	"2,447.21"	CAD	"2,447.21"	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	PH3071	MATERNAL INFANT HEAL	8999	Professional Services - Not Elsewhere Cl	"RECREATIONAL/EDUC.SUPPLIES.,#1172-3138-4096-6714"	
					"2,447.21"	CAD	"2,447.21"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2273-1	11-30-2012	12-03-2012	DATA GROUP - AR	312.00	CAD	312.00	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	2741	Miscellaneous Publishing and Printing	PARKING TAGS FOR FORT YORK PARKING LOT	
ECONOMIC DEVELOPMENT & CULTURE	2280-1	12-06-2012	12-06-2012	ULINE	"2,634.60"	CAD	"2,634.60"	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	5964	Direct Marketing - Catalog Merchants	*****	
ECONOMIC DEVELOPMENT & CULTURE	2294-2	12-14-2012	12-17-2012	TRAVERS COMMUNICATIONS	"1,921.00"	CAD	"1,921.00"	CAD	3020	M & E - COMMUNICATIONS	AH0101	HS-MH-PUB-FORT YORK	4812	Telecommunication Equipment Including Te	PORTABLE RADIOS FOR SITE PROGRAMMING	
					"4,867.60"	CAD	"4,867.60"	CAD								
"PARKS, FORESTRY & RECREATION"	2279-1	12-04-2012	12-05-2012	MICHAELS STORE #3621	245.01	CAD	245.01	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13348	AIR OPS-SHERBOURNE	5945	"Game, Toy, and Hobby Shops"	CRAFT SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2279-2	12-03-2012	12-05-2012	CDN TIRE STORE #00030	166.10	CAD	166.10	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13347	GENINT&CLB - WARDEN	5200	Home Supply Warehouse	CHRISTMAS TREE DECORATIONS	
"PARKS, FORESTRY & RECREATION"	2279-3	12-04-2012	12-05-2012	LOWES #03201*	19.18	CAD	19.18	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13347	GENINT&CLB - WARDEN	5200	Home Supply Warehouse	HL TREE TOPPER BOW - GOLD AST	
"PARKS, FORESTRY & RECREATION"	2280-2	12-05-2012	12-06-2012	NOFRILLS TOMS 775	18.52	CAD	18.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13348	AIR OPS-SHERBOURNE	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR MAKING ICE CREAM	
"PARKS, FORESTRY & RECREATION"	2280-3	12-05-2012	12-06-2012	THE DOLLAR STORE   BEY	37.34	CAD	37.34	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13348	AIR OPS-SHERBOURNE	5310	Discount Stores	DECORATIONS AND LOOT BAGS	
"PARKS, FORESTRY & RECREATION"	2283-1	12-05-2012	12-07-2012	METRO #853	81.52	CAD	81.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13348	AIR OPS-SHERBOURNE	5411	"Grocery Stores, Supermarkets"	"BREAKFAST -JUICE,BUTTER,SYRUP,CANDY,UTENSILS"	
"PARKS, FORESTRY & RECREATION"	2290-1	12-12-2012	12-13-2012	LOBLAWS #1001	37.15	CAD	37.15	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUP	5411	"Grocery Stores, Supermarkets"	GROCERIES	
					604.82	CAD	604.82	CAD								
"PARKS, FORESTRY & RECREATION"	2274-1	12-03-2012	12-04-2012	NOFRILLS VITO'S #3936	113.85	CAD	113.85	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR COOKING CLASS	
"PARKS, FORESTRY & RECREATION"	2286-1	12-10-2012	12-11-2012	NOFRILLS VITO'S #3936	104.04	CAD	104.04	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	GROCERIES FOR COOKING CLASS	
					217.89	CAD	217.89	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2280-4	12-05-2012	12-06-2012	LOBLAW MLG #1007	39.65	CAD	39.65	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	*****	
ECONOMIC DEVELOPMENT & CULTURE	2285-1	12-09-2012	12-10-2012	TAP PHONG TRADING CO.	26.85	CAD	26.85	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUB-COLBORNE L	5046	Commercial Equipment Not Elsewhere Class	GLASS BOWLS FOR XMAS WORKSHOPS	
ECONOMIC DEVELOPMENT & CULTURE	2300-1	12-20-2012	12-21-2012	NOFRILLS ROB S  1397	17.88	CAD	17.88	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUB-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"BAKING SUPPLIES FOR PROGRAMS:MOLASSES,CINNAMON"	
					84.38	CAD	84.38	CAD								
"PARKS, FORESTRY & RECREATION"	2304-1	12-21-2012	12-27-2012	CDN TIRE STORE #00192	56.49	CAD	56.49	CAD	3080	M & E - HAND TOOLS	P12856	RAVWTRMAINT	5200	Home Supply Warehouse	STANLEY 99 PC PR	
					56.49	CAD	56.49	CAD								
"PARKS, FORESTRY & RECREATION"	2286-2	12-10-2012	12-11-2012	CHAUNCEY BUILDERS SUPP	39.52	CAD	39.52	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TE	5211	"Building Materials, Lumber Stores"	SLEEVE ANCHOR	
"PARKS, FORESTRY & RECREATION"	2288-1	12-10-2012	12-12-2012	MR METAL(ETOBICOKE) IN	79.66	CAD	79.66	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	HR PIPE	
"PARKS, FORESTRY & RECREATION"	2292-1	12-12-2012	12-14-2012	MR METAL(ETOBICOKE) IN	56.10	CAD	56.10	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TE	5051	Metal Service Centers and Offices	HR PLATE	
"PARKS, FORESTRY & RECREATION"	2304-2	12-21-2012	12-27-2012	CDN TIRE STORE #00654	101.69	CAD	101.69	CAD	3080	M & E - HAND TOOLS	P12017	SOUTH GENERAL-PKS TE	5200	Home Supply Warehouse	DEWALT GRINDER	
					276.97	CAD	276.97	CAD								
"PARKS, FORESTRY & RECREATION"	2273-2	11-28-2012	12-03-2012	CHAIN SAW CLINIC LTD	102.79	CAD	102.79	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5722	Household Appliance Stores	SAW CHAINS	
"PARKS, FORESTRY & RECREATION"	2273-3	11-30-2012	12-03-2012	LOWES #03096*	87.60	CAD	87.60	CAD	2715	PAINT SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2273-4	11-30-2012	12-03-2012	CARQUEST REXDALE	989.38	CAD	989.38	CAD	2135	PARTS - TIRES/TUBES	P10910	CENTENNIAL SKI CTR-O	5533	"Automotive Parts, Accessories Stores"	TIRES - SNOW MAKERS	
"PARKS, FORESTRY & RECREATION"	2274-2	12-03-2012	12-04-2012	OMNIFLEX HOSE   EQUIPM	137.70	CAD	137.70	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00656	CENTENNIAL PK-PGM SU	5085	Industrial Supplies Not Elsewhere Classi	HYDRAULIC HOSES	
"PARKS, FORESTRY & RECREATION"	2274-3	11-30-2012	12-04-2012	CDN TIRE STORE #00152	55.34	CAD	55.34	CAD	3080	M & E - HAND TOOLS	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	PRY BARS	
"PARKS, FORESTRY & RECREATION"	2279-4	12-04-2012	12-05-2012	CARQUEST REXDALE	415.34	CAD	415.34	CAD	2401	LUBRICANTS	P10910	CENTENNIAL SKI CTR-O	5533	"Automotive Parts, Accessories Stores"	GREASE FOR LIFTS	
"PARKS, FORESTRY & RECREATION"	2280-5	12-04-2012	12-06-2012	BRAFASCO / MISSISSAUGA	65.85	CAD	65.85	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5085	Industrial Supplies Not Elsewhere Classi	NUTS & WASHERS	
"PARKS, FORESTRY & RECREATION"	2286-3	12-10-2012	12-11-2012	CARQUEST REXDALE	823.77	CAD	823.77	CAD	3099	GENERAL EQUIPMENT	P00656	CENTENNIAL PK-PGM SU	5533	"Automotive Parts, Accessories Stores"	DIESEL PUMP	
"PARKS, FORESTRY & RECREATION"	2290-2	12-11-2012	12-13-2012	CDN TIRE STORE #00152	112.99	CAD	112.99	CAD	3080	M & E - HAND TOOLS	P10910	CENTENNIAL SKI CTR-O	5200	Home Supply Warehouse	HAND TOOLS	
"PARKS, FORESTRY & RECREATION"	2290-3	12-10-2012	12-13-2012	BUNNING SPLICING   RIG	734.50	CAD	734.50	CAD	2730	LOCKS	P10910	CENTENNIAL SKI CTR-O	5085	Industrial Supplies Not Elsewhere Classi	CHAIN	
"PARKS, FORESTRY & RECREATION"	2292-2	12-13-2012	12-14-2012	NEDCO CENTRAL	410.29	CAD	410.29	CAD	2575	ELECTRICAL SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5065	Electrical Parts and Equipment	"GUY GUARDS, LIGHTS"	
"PARKS, FORESTRY & RECREATION"	2292-3	12-12-2012	12-14-2012	CDN TIRE STORE #00070	140.81	CAD	140.81	CAD	3080	M & E - HAND TOOLS	P10910	CENTENNIAL SKI CTR-O	5200	Home Supply Warehouse	SOCKET SET	
"PARKS, FORESTRY & RECREATION"	2295-1	12-17-2012	12-18-2012	LAKESHORE LUMBER	316.40	CAD	316.40	CAD	2775	ASPHALT	P00656	CENTENNIAL PK-PGM SU	5251	Hardware Stores	ASPHALT COLD PATCH	
"PARKS, FORESTRY & RECREATION"	2299-1	12-19-2012	12-20-2012	KIPLING CAR WASH	141.25	CAD	141.25	CAD	4437	WASHES-LICENSED MOBILE EQUIP.	P00656	CENTENNIAL PK-PGM SU	7542	Car Washes	TRUCK CLEANING	
"PARKS, FORESTRY & RECREATION"	2299-2	12-18-2012	12-20-2012	HITCH CITY	82.77	CAD	82.77	CAD	2199	MISCELLANEOUS PARTS	P00656	CENTENNIAL PK-PGM SU	5533	"Automotive Parts, Accessories Stores"	SNOWPLOW PARTS	
"PARKS, FORESTRY & RECREATION"	2299-3	12-19-2012	12-20-2012	LOWES #03096*	225.79	CAD	225.79	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P10910	CENTENNIAL SKI CTR-O	5200	Home Supply Warehouse	*****	
"PARKS, FORESTRY & RECREATION"	2302-1	12-20-2012	12-24-2012	CDN TIRE STORE #00242	-135.59	CAD	-135.59	CAD	2540	HEATING & AIR CONDITIONING SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	REFUND - CAR HEATER	
"PARKS, FORESTRY & RECREATION"	2302-2	12-20-2012	12-24-2012	BUNNING SPLICING   RIG	218.04	CAD	218.04	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5085	Industrial Supplies Not Elsewhere Classi	EYE SCREWS	
"PARKS, FORESTRY & RECREATION"	2302-3	12-20-2012	12-24-2012	CDN TIRE STORE #00242	135.59	CAD	135.59	CAD	2540	HEATING & AIR CONDITIONING SUPPLIES	P00656	CENTENNIAL PK-PGM SU	5200	Home Supply Warehouse	CAR HEATER	
