Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre /  WBS Element	Cost Centre /  WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
PUBLIC HEALTH	2449-1	04-10-2013	04-11-2013	YORK U-SCHULICH EEC WE	"2,254.35"	CAD	"2,254.35"	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	PH3071	MATERNAL INFANT HEAL	8220	"Colleges, Universities, Professional Sch"	"TRAINING & DEVELOPMENT-EXTERNAL, INV#SEEC38050"	
					"2,254.35"	CAD	"2,254.35"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2443-1	04-05-2013	04-08-2013	STRONCO SHOW SERVICES	508.50	CAD	508.50	CAD	4410	CONTRACTED SERVICES - ELECTRICAL	AH0052	HS-MH-BOA-METRO HALL	1731	Electrical Contractors	ELECTRICAL HOOK-UPS FOR EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2455-1	04-11-2013	04-15-2013	NATURE'S CALL	"2,022.70"	CAD	"2,022.70"	CAD	4590	RENTAL - OTHER	AH0052	HS-MH-BOA-METRO HALL	4900	"Utilities - Electric, Gas, Sanitary, Wat"	RENTAL OF PORTABLE TOILETS FOR EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2462-1	04-18-2013	04-19-2013	ALBION GOLF CARS	395.50	CAD	395.50	CAD	4590	RENTAL - OTHER	AH0052	HS-MH-BOA-METRO HALL	4789	Transportation Services-Not Elsewhere Cl	RENTAL OF GOLF CART FOR EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2473-1	04-25-2013	04-29-2013	METALWORKS PRODUCTIONS	"2,938.00"	CAD	"2,938.00"	CAD	4590	RENTAL - OTHER	AH0052	HS-MH-BOA-METRO HALL	8249	"Schools, Trade and Vocational"	RENTAL OF STAGE FOR EVENT	
ECONOMIC DEVELOPMENT & CULTURE	2473-2	04-26-2013	04-29-2013	WESTBURY NATIONAL SHOW	655.40	CAD	655.40	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	AH0052	HS-MH-BOA-METRO HALL	7394	"Equipment Rental and Leasing Services, F"	RENTAL OF PA SYSTEM FOR EVENT	
					"6,520.10"	CAD	"6,520.10"	CAD								
"PARKS, FORESTRY & RECREATION"	2441-1	04-03-2013	04-05-2013	METRO #800	115.38	CAD	115.38	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13347	GENINT&CLB - WARDEN	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2451-1	04-10-2013	04-12-2013	METRO #800	58.13	CAD	58.13	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13347	GENINT&CLB - WARDEN	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2455-2	04-12-2013	04-15-2013	MARCHANT'S SCHOOL SPOR	162.27	CAD	162.27	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13347	GENINT&CLB - WARDEN	5941	Sporting Goods Stores	"BASKETBALLS,SCOREBOARD,POSSESSION MARKER"	
"PARKS, FORESTRY & RECREATION"	2462-2	04-17-2013	04-19-2013	METRO #800	113.84	CAD	113.84	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13347	GENINT&CLB - WARDEN	5411	"Grocery Stores, Supermarkets"	COOKING & SCIENCE PRGM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2479-1	05-01-2013	05-02-2013	RCSS SCARBOROUGH #2809	85.68	CAD	85.68	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13347	GENINT&CLB - WARDEN	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2481-1	05-01-2013	05-03-2013	METRO #35	3.51	CAD	3.51	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13347	GENINT&CLB - WARDEN	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM SUPPLIES	
					538.81	CAD	538.81	CAD								
"PARKS, FORESTRY & RECREATION"	2445-1	04-08-2013	04-09-2013	LONG   MCQUADE	49.31	CAD	49.31	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05874	GRANDRAVINE-ARTS-VIS	7399	Business Services - Not Elsewhere Classi	SPRING SESSION MUSIC BOOKS	
"PARKS, FORESTRY & RECREATION"	2447-1	04-08-2013	04-10-2013	NOFRILLS VITO'S #3936	16.00	CAD	16.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR PGRM	
"PARKS, FORESTRY & RECREATION"	2456-1	04-15-2013	04-16-2013	PRICE CHOPPER #7984QPS	39.32	CAD	39.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR PGRM	
"PARKS, FORESTRY & RECREATION"	2467-1	04-22-2013	04-23-2013	NOFRILLS VITO'S #3936	30.66	CAD	30.66	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VIS	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES FOR PGRM	
