Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose	
PUBLIC HEALTH	2708-1	2013-10-09	2013-10-11	WAL-MART ECOMM #8514	277.98	CAD	277.98	CAD	3310	FURNISHINGS	PH3071	MATERNAL INFANT HEAL	5310	Discount Stores	FURNISHINGS	
					277.98	CAD	277.98	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2721-1	2013-10-21	2013-10-23	CLIFFORD'S HAULAGE LTD	"1,206.27"	CAD	"1,206.27"	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	4214	"Motor Freight Carriers, Trucking - Local"	TOP DRESSING FOR GARRISON COMMON	
ECONOMIC DEVELOPMENT & CULTURE	2727-1	2013-10-25	2013-10-28	CLIFFORD'S HAULAGE LTD	"1,206.28"	CAD	"1,206.28"	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	AH0101	HS-MH-PUB-FORT YORK	4214	"Motor Freight Carriers, Trucking - Local"	TOP DRESSING FOR GARRISON COMMON - SECOND DELIVERY	
					"2,412.55"	CAD	"2,412.55"	CAD								
"PARKS, FORESTRY & RECREATION"	2689-1	2013-09-27	2013-10-01	ACCURATE REPAIRS HOT	67.74	CAD	67.74	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P13335	WARDEN CC - PRGM SUP	7394	"Equipment Rental and Leasing Services, F"	SANDWICH DISPLAY BOARD	
"PARKS, FORESTRY & RECREATION"	2689-2	2013-09-30	2013-10-01	MARCHANT'S SCHOOL SPOR	274.94	CAD	274.94	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13347	GENINT&CLB - WARDEN	5941	Sporting Goods Stores	"FOOTBALLS, FLAGS, SKIPPING ROPES"	
"PARKS, FORESTRY & RECREATION"	2689-3	2013-09-27	2013-10-01	FOOD BASICS #653	67.62	CAD	67.62	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUP	5411	"Grocery Stores, Supermarkets"	PUMPKINS FOR FRONT LOBBY DECORATIONS	
"PARKS, FORESTRY & RECREATION"	2689-4	2013-09-27	2013-10-01	CDN TIRE STORE #00030	76.83	CAD	76.83	CAD	2710	GENERAL HARDWARE	P13335	WARDEN CC - PRGM SUP	5200	Home Supply Warehouse	"WASP TRAPS, BB LIGHTER, CHEESE SHAKER"	
"PARKS, FORESTRY & RECREATION"	2689-5	2013-09-27	2013-10-01	ACCURATE REPAIRS HOT	4.79	CAD	4.79	CAD	2610	KITCHEN SUPPLIES	P13335	WARDEN CC - PRGM SUP	7394	"Equipment Rental and Leasing Services, F"	MUSTARD CONTAINERS	
"PARKS, FORESTRY & RECREATION"	2690-1	2013-09-30	2013-10-02	YOUR DOLLAR STORE WITH	133.91	CAD	133.91	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13347	GENINT&CLB - WARDEN	5999	Miscellaneous and Specialty Retail Store	"WATERCOLOR BRUSHES,ACRYLIC PAINT,CANVASES,BOARDS"	
"PARKS, FORESTRY & RECREATION"	2693-1	2013-10-01	2013-10-03	METRO #800	191.11	CAD	191.11	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13347	GENINT&CLB - WARDEN	5411	"Grocery Stores, Supermarkets"	PIZZA SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2693-2	2013-10-01	2013-10-03	WAL-MART #3159	65.53	CAD	65.53	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13335	WARDEN CC - PRGM SUP	5411	"Grocery Stores, Supermarkets"	"FALL DECORATIONS (CAT, PUMPKINS)"	
"PARKS, FORESTRY & RECREATION"	2693-3	2013-10-02	2013-10-03	BEADFX	40.18	CAD	40.18	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13347	GENINT&CLB - WARDEN	5631	Women's Accessory and Specialty Stores	JEWELLERY MAKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2693-4	2013-10-02	2013-10-03	LONG   MCQUADE MUSIC	18.93	CAD	18.93	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13347	GENINT&CLB - WARDEN	5733	"Music Stores - Musical Instruments, Pian"	"EXTRA STRINGS, PICKS"	
