Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose
ECONOMIC DEVELOPMENT & CULTURE	2774-1	2013-12-03	2013-12-03	ULINE	"1,408.45"	CAD	"1,408.45"	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5964	Direct Marketing - Catalog Merchants	**MORE**  10X10' ALUMINUM FRAME CANOPY
ECONOMIC DEVELOPMENT & CULTURE	2776-1	2013-12-03	2013-12-04	L.J. SALES	569.52	CAD	569.52	CAD	2790	PRESENTATION/PROMOTIONAL ITEMS	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	7311	Advertising Services	WINTER HATS FOR VOLUNTEER PROGRAM
ECONOMIC DEVELOPMENT & CULTURE	2785-1	2013-12-06	2013-12-09	LONG   MCQUADE LIMITED	65.54	CAD	65.54	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	7399	Business Services - Not Elsewhere Classi	WIRELESS HEADSET RENTAL
ECONOMIC DEVELOPMENT & CULTURE	2785-2	2013-12-06	2013-12-09	ROTBLOTTS DISCOUNT WHS	46.30	CAD	46.30	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5251	Hardware Stores	MATCHES & BATTERIES
ECONOMIC DEVELOPMENT & CULTURE	2785-3	2013-12-06	2013-12-09	CISION CANADA INC	60.00	CAD	60.00	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	7392	"Consulting, Management, and Public Relat"	CBC INTERVIEW TRANSCRIPT
ECONOMIC DEVELOPMENT & CULTURE	2787-1	2013-12-06	2013-12-10	METRO #720	117.43	CAD	117.43	CAD	4116	CATERING SERVICES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5411	"Grocery Stores, Supermarkets"	CATERING FOR VOLUNTEERS
ECONOMIC DEVELOPMENT & CULTURE	2798-1	2013-12-16	2013-12-18	LCBO/RAO #0217	75.00	CAD	75.00	CAD	4830	PERMIT & LICENSE FEES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5921	"Package Stores, Beer, Wine, Liquor"	SPECIAL OCCASION PERMIT FOR EVENT
					"2,342.24"	CAD	"2,342.24"	CAD							
"PARKS, FORESTRY & RECREATION"	2774-2	2013-12-02	2013-12-03	NOFRILLS VITO'S #3936	54.65	CAD	54.65	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	PROGRAM COOKING GROCERIES
"PARKS, FORESTRY & RECREATION"	2789-1	2013-12-10	2013-12-11	BINGO PRO	592.61	CAD	592.61	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10315	GRANDRAVINE-PRGM SUPPORT	5111	"Stationery, Office Supplies, Printing an"	BINGO CARDS
"PARKS, FORESTRY & RECREATION"	2795-1	2013-12-12	2013-12-16	CDN TIRE STORE #00280	217.19	CAD	217.19	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05874	GRANDRAVINE-ARTS-VISL/PERF	5200	Home Supply Warehouse	PROGRAM COOKING SUPPLIES
"PARKS, FORESTRY & RECREATION"	2800-1	2013-12-18	2013-12-19	J   J CRAFTS	221.62	CAD	221.62	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05874	GRANDRAVINE-ARTS-VISL/PERF	5970	"Artist Supply Stores, Craft Shops"	PROGRAM SUPPLIES
"PARKS, FORESTRY & RECREATION"	2801-1	2013-12-19	2013-12-20	J   J CRAFTS	34.64	CAD	34.64	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05874	GRANDRAVINE-ARTS-VISL/PERF	5970	"Artist Supply Stores, Craft Shops"	PROGRAM SUPPLIES
					"1,120.71"	CAD	"1,120.71"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	2793-1	2013-12-12	2013-12-13	TAP PHONG TRADING CO.	36.25	CAD	36.25	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5046	Commercial Equipment Not Elsewhere Class	GLASS BOWLS FOR CHRISTMAS WORKSHOP
ECONOMIC DEVELOPMENT & CULTURE	2795-2	2013-12-12	2013-12-16	METRO #63	23.64	CAD	23.64	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	NUTS & CRANBERRIES FOR WORKSHOPS
					59.89	CAD	59.89	CAD							
"PARKS, FORESTRY & RECREATION"	2795-3	2013-12-13	2013-12-16	LONG   MCQUADE LIMITED	124.58	CAD	124.58	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01896	MASARYK COWAN-ARTS-VISL/PERF	7399	Business Services - Not Elsewhere Classi	MUSICAL INSTRUMENTS FOR MUSIC CLASS
"PARKS, FORESTRY & RECREATION"	2796-1	2013-12-16	2013-12-17	PARKDALE HOME HDWRE 13	33.64	CAD	33.64	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P10446	MASARYK COWAN-PRGM SUPPORT	5251	Hardware Stores	"STEP LADDER, BIT, WATERING CAN"
					158.22	CAD	158.22	CAD							
"PARKS, FORESTRY & RECREATION"	2773-1	2013-11-29	2013-12-02	PRINCESS AUTO #36	26.51	CAD	26.51	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P12856	RAVINE & WATERCOURSE MAINTENANCE	5085	Industrial Supplies Not Elsewhere Classi	"PIN HITCH WITH CHAIN, CARD READER, BUSHING"
"PARKS, FORESTRY & RECREATION"	2780-1	2013-12-03	2013-12-05	AGO INDUSTRIES INC.	941.00	CAD	941.00	CAD	2665	PROTECTIVE CLOTHING	P12856	RAVINE & WATERCOURSE MAINTENANCE	5137	"Mens, Womens, and Childrens Uniforms and"	TRAFFIC SAFETY CLOTHING
"PARKS, FORESTRY & RECREATION"	2810-1	2013-12-27	2013-12-30	PRINCESS AUTO #36	155.30	CAD	155.30	CAD	2730	LOCKS	P12856	RAVINE & WATERCOURSE MAINTENANCE	5085	Industrial Supplies Not Elsewhere Classi	LOCKS & TOOLS
					"1,122.81"	CAD	"1,122.81"	CAD							
"PARKS, FORESTRY & RECREATION"	2780-2	2013-12-03	2013-12-05	METRO #853	76.37	CAD	76.37	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01050	SPECIAL EVENTS - MEL LASTMAN SQUARE	5411	"Grocery Stores, Supermarkets"	"FRUIT, BREAD, VEGETABLES FOR COOKING PROGRAM"
					76.37	CAD	76.37	CAD							
"PARKS, FORESTRY & RECREATION"	2776-2	2013-12-02	2013-12-04	SPEED FASTENING SYSTEM	99.44	CAD	99.44	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5712	"Equipment, Furniture, and Home Furnishin"	WAL ZIPCUT
"PARKS, FORESTRY & RECREATION"	2776-3	2013-12-03	2013-12-04	LINDE CANADA - ETOBICO	153.02	CAD	153.02	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5072	Hardware Equipment and Supplies	11010694/SL316LVD25
"PARKS, FORESTRY & RECREATION"	2806-1	2013-12-20	2013-12-24	MR METAL(ETOBICOKE) IN	19.50	CAD	19.50	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices	STEEL
"PARKS, FORESTRY & RECREATION"	2806-2	2013-12-20	2013-12-24	MR METAL(ETOBICOKE) IN	32.68	CAD	32.68	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices	STEEL
"PARKS, FORESTRY & RECREATION"	2810-2	2013-12-27	2013-12-30	PRAXAIR #757	94.66	CAD	94.66	CAD	2710	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	7692	Welding Repair	COLLET BODY 1/8 HW PRS
"PARKS, FORESTRY & RECREATION"	2810-3	2013-12-27	2013-12-30	THE HOME DEPOT #7080	84.04	CAD	84.04	CAD	*****	GENERAL HARDWARE	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5200	Home Supply Warehouse	**MORE**  GALVAN SPRY
					483.34	CAD	483.34	CAD							
"PARKS, FORESTRY & RECREATION"	2787-2	2013-12-09	2013-12-10	LEE VALLEY TOOLS 800-2	102.83	CAD	102.83	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00632	CENTENNIAL PARK-PARKS MAINT/RPRS	5251	Hardware Stores	
"PARKS, FORESTRY & RECREATION"	2789-2	2013-12-09	2013-12-11	CHAIN SAW CLINIC	53.99	CAD	53.99	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00632	CENTENNIAL PARK-PARKS MAINT/RPRS	5261	Lawn and Garden Supply Stores	
