Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order #	Cost Centre / WBS Element / Order # Decription	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	2973-1	2014-04-24	2014-04-28	PAYPAL *PRIDE TO	271.20	CAD	271.20	CAD	4414	ADVERTISING & PROMOTION	AH0091	HS-MH-PROGRAM SUPPORT-FORT YORK	8398	"Organizations, Charitable and Social Ser"	ADVERTISING	
					271.20	CAD	271.20	CAD								
"PARKS, FORESTRY & RECREATION"	2938-1	2014-03-31	2014-04-01	NOFRILLS VITO'S #3936	44.67	CAD	44.67	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	PROGRAM GROCERY SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2939-1	2014-03-31	2014-04-02	METRO #493	10.16	CAD	10.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	PROGRAM GROCERY SUPPLIES	
"PARKS, FORESTRY & RECREATION"	2948-1	2014-04-07	2014-04-08	NOFRILLS VITO'S #3936	55.81	CAD	55.81	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	"CRUSHED TOMATOES,PASTA, MOZZA CHS, PARMESAN"	
"PARKS, FORESTRY & RECREATION"	2951-1	2014-04-09	2014-04-10	J   J CRAFTS	108.22	CAD	108.22	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04326	GRANDRAVINE-HOLIDAY CAMPS	5970	"Artist Supply Stores, Craft Shops"	"GLUE STICK, CRAYONS, LARGE SCISSORS, BEADS"	
"PARKS, FORESTRY & RECREATION"	2956-1	2014-04-11	2014-04-14	NOFRILLS VITO'S #3936	38.34	CAD	38.34	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	"MAYO, FUSILI,CKN BREAST, PEPPERS"	
"PARKS, FORESTRY & RECREATION"	2960-1	2014-04-15	2014-04-16	LONG   MCQUADE	21.28	CAD	21.28	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05874	GRANDRAVINE-ARTS-VISL/PERF	7399	Business Services - Not Elsewhere Classi	MUSIC BOOKS	
"PARKS, FORESTRY & RECREATION"	2968-1	2014-04-22	2014-04-23	AURORA IMPORTING AND D	402.28	CAD	402.28	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10315	GRANDRAVINE-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	BOCCE BALLS	
"PARKS, FORESTRY & RECREATION"	2975-1	2014-04-28	2014-04-29	NOFRILLS VITO'S #3936	55.64	CAD	55.64	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P05874	GRANDRAVINE-ARTS-VISL/PERF	5411	"Grocery Stores, Supermarkets"	"BEANS, PASTENE BREAD,PENNE,ORANGES,SPINACH"	
					736.40	CAD	736.40	CAD								
ECONOMIC DEVELOPMENT & CULTURE	2946-1	2014-04-04	2014-04-07	NOFRILLS NICHOLSONS	70.51	CAD	70.51	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"EGGS, BUTTER, SYRUP"	
ECONOMIC DEVELOPMENT & CULTURE	2946-2	2014-04-05	2014-04-07	NOFRILLS NICHOLSONS	47.76	CAD	47.76	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	EGGS	
ECONOMIC DEVELOPMENT & CULTURE	2950-1	2014-04-08	2014-04-09	NOFRILLS NICHOLSONS	45.66	CAD	45.66	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"EGGS, BUTTER, MILK"	
ECONOMIC DEVELOPMENT & CULTURE	2973-2	2014-04-24	2014-04-28	FOOD BASICS #930	2.69	CAD	2.69	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	CORN MEAL	
ECONOMIC DEVELOPMENT & CULTURE	2973-3	2014-04-24	2014-04-28	LONGO'S # 21	5.99	CAD	5.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	MILK	
					172.61	CAD	172.61	CAD								
"PARKS, FORESTRY & RECREATION"	2956-2	2014-04-11	2014-04-14	CURRY'S ART STORE	12.27	CAD	12.27	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01896	MASARYK COWAN-ARTS-VISL/PERF	5970	"Artist Supply Stores, Craft Shops"	WATERCOLOUR PAPER	
"PARKS, FORESTRY & RECREATION"	2971-1	2014-04-23	2014-04-25	WAL-MART #1004	27.03	CAD	27.03	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11757	MASARYK COWAN-SPORTS	5411	"Grocery Stores, Supermarkets"	BADMINTON BIRDIES	
					39.30	CAD	39.30	CAD								
"PARKS, FORESTRY & RECREATION"	2954-1	2014-04-10	2014-04-11	PRINCESS AUTO #36	45.15	CAD	45.15	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12856	RAVINE & WATERCOURSE MAINTENANCE	5085	Industrial Supplies Not Elsewhere Classi	6 FT. SYNC CHARGE CABLE	
					45.15	CAD	45.15	CAD								
