Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	GL Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	3144-1	2014-08-29	2014-09-02	ABBOTT	27.12	CAD	27.12	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0117	HS-MH-RETAIL-FORT YORK	5719	Miscellaneous House Furnishing Specialty	ITEMS FOR RESALE -ENAMEL LOOK CAPPUCCINO-WHITE-8OZ	
ECONOMIC DEVELOPMENT & CULTURE	3153-1	2014-09-05	2014-09-08	MONAGUE NATIVE CRAFTS	878.58	CAD	878.58	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0117	HS-MH-RETAIL-FORT YORK	5099	Durable Goods Not Elsewhere Classified	"GIFTS FOR RESALE - MAGICAL BRACELET, NECKLACE, MED"	
ECONOMIC DEVELOPMENT & CULTURE	3171-1	2014-09-18	2014-09-22	METRO #720	35.92	CAD	35.92	CAD	4116	CATERING SERVICES	AH0137	HS-MH-BD COMM SUPP-FORT YORK	5411	"Grocery Stores, Supermarkets"	WATER FOR VOLUNTEERS	
ECONOMIC DEVELOPMENT & CULTURE	3171-2	2014-09-19	2014-09-22	TIM HORTONS 4275 QTH	250.59	CAD	250.59	CAD	4116	CATERING SERVICES	AH0137	HS-MH-BD COMM SUPP-FORT YORK	5814	Quick Payment Service - Fast-Food Restau	COFFEE FOR OPENING OF VISITORS CENTRE	
ECONOMIC DEVELOPMENT & CULTURE	3177-1	2014-09-24	2014-09-25	L.J. SALES	"2,589.43"	CAD	"2,589.43"	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	7311	Advertising Services	WRISTBANDS	
					"3,781.64"	CAD	"3,781.64"	CAD								
"PARKS, FORESTRY & RECREATION"	3168-1	2014-09-17	2014-09-18	BOLTS PLUS INC	27.12	CAD	27.12	CAD	2710	GENERAL HARDWARE	P09686	BARBARA FRUM-INSTRL	5085	Industrial Supplies Not Elsewhere Classi	LOCKS HASPS	
"PARKS, FORESTRY & RECREATION"	3171-3	2014-09-18	2014-09-22	FOOD BASICS #692	131.42	CAD	131.42	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04673	PLEASANTVIEW-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	GROCERY SUPPLIES (SUMMER CAMPS)	
					158.54	CAD	158.54	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3153-2	2014-09-05	2014-09-08	SHOPPER'S DRUG MART #1	16.16	CAD	16.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5912	"Drug Stores, Pharmacies"	BUTTER	
ECONOMIC DEVELOPMENT & CULTURE	3162-1	2014-09-12	2014-09-15	THE PRINTING HOUSE #76	48.18	CAD	48.18	CAD	4825	PRINTING AND REPRODUCTION - THIRD PARTY	AH0075	HS-MH-EDUCATION/OUTRCH-COLBORNE L	2741	Miscellaneous Publishing and Printing	PRINTING & LAMINATING	
ECONOMIC DEVELOPMENT & CULTURE	3168-2	2014-09-16	2014-09-18	CDN TIRE STORE #00150	69.28	CAD	69.28	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5200	Home Supply Warehouse	JAM JARS	
ECONOMIC DEVELOPMENT & CULTURE	3171-4	2014-09-18	2014-09-22	FOOD BASICS #930	32.82	CAD	32.82	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"PINEA, RAISINS, SUGAR, PEACH"	
ECONOMIC DEVELOPMENT & CULTURE	3177-2	2014-09-24	2014-09-25	NOFRILLS JOSEPHS 730	23.23	CAD	23.23	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"PEAR, PEACH, STRAWBERRY"	
ECONOMIC DEVELOPMENT & CULTURE	3179-1	2014-09-24	2014-09-26	SHOPPERS DRUG MART #14	4.52	CAD	4.52	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5912	"Drug Stores, Pharmacies"	CRAYOLA COLOURING PENCILS	
ECONOMIC DEVELOPMENT & CULTURE	3181-1	2014-09-26	2014-09-29	FOOD BASICS #930	9.95	CAD	9.95	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0103	HS-MH-PUBLIC/COMMUNITY-COLBORNE L	5411	"Grocery Stores, Supermarkets"	"MILK, RAISINS, EGGS"	
					204.14	CAD	204.14	CAD								
"PARKS, FORESTRY & RECREATION"	3148-1	2014-09-03	2014-09-04	GHOST ARMOR	136.73	CAD	136.73	CAD	3410	COMPUTERS - HARDWARE	P12856	RAVINE & WATERCOURSE MAINTENANCE	5732	Electronic Sales	"IPAD AIR SCREEN, MINI SCREEN"	
"PARKS, FORESTRY & RECREATION"	3148-2	2014-09-03	2014-09-04	AMAZON *MARKETPLCE CA	38.53	CAD	38.53	CAD	3410	COMPUTERS - HARDWARE	P12856	RAVINE & WATERCOURSE MAINTENANCE	4816	Computer Network/Information Services	"TABLET CAR MOUNT, CHARGER"	
"PARKS, FORESTRY & RECREATION"	3247-91	2014-09-07	2014-09-08	AMAZON *MARKETPLCE CA	25.15	CAD	25.15	CAD	4233	PCARD RECOVERIES	P00497	S-CENTRAL1-PARKS MAINT/RPRS	4816	Computer Network/Information Services	DISPUTED	
"PARKS, FORESTRY & RECREATION"	3247-92	2014-09-08	2014-09-09	AMAZON *MARKETPLCE CA	-25.15	CAD	-25.15	CAD	4233	PCARD RECOVERIES	P00497	S-CENTRAL1-PARKS MAINT/RPRS	4816	Computer Network/Information Services	DISPUTE RESOLUTION	
					175.26	CAD	175.26	CAD								
"PARKS, FORESTRY & RECREATION"	3146-1	2014-09-02	2014-09-03	LINDE CANADA  ETOBICOK	67.63	CAD	67.63	CAD	2665	PROTECTIVE CLOTHING	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5072	Hardware Equipment and Supplies	WELDING GLOVES	
"PARKS, FORESTRY & RECREATION"	3148-3	2014-09-02	2014-09-04	MR METAL(ETOBICOKE) IN	105.71	CAD	105.71	CAD	2532	STEEL	P12017	SOUTH GENERAL-PKS TECH SERV-TRADES	5051	Metal Service Centers and Offices	STEEL	
					173.34	CAD	173.34	CAD								
"PARKS, FORESTRY & RECREATION"	3144-2	2014-08-29	2014-09-02	BRAFASCO / MISSISSAUGA	608.51	CAD	608.51	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00656	CENTENNIAL PARK-PRGM SUPPORT	5085	Industrial Supplies Not Elsewhere Classi	METAL CUT OFF BLADES FOR CHOP SAW	
"PARKS, FORESTRY & RECREATION"	3144-3	2014-08-30	2014-09-02	HILTI (CANADA) CORP	922.27	CAD	922.27	CAD	3080	M & E - HAND TOOLS	P00656	CENTENNIAL PARK-PRGM SUPPORT	5251	Hardware Stores	"IMPACT DRIVER, IMPACT WRENCH"	
