Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre /  WBS Element / Order No.	Cost Centre /  WBS Element / Order No. Decription	Merchant Type	Merchant Type Description	Purpose	
ECONOMIC DEVELOPMENT & CULTURE	3616-1	2015-08-03	2015-08-05	METRO #720	320.81	CAD	320.81	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	"FRUIT PLATTER, VEGGIE PLATTER, CHIPS, WRAPS, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	3621-1	2015-08-05	2015-08-07	WESTBURY NATIONAL SHOW	"2,909.75"	CAD	"2,909.75"	CAD	4410	CONTRACTED SERVICES - ELECTRICAL	AH0137	HS-MH-BD COMM SUPP-FORT YORK	5200	Home Supply Warehouse	EQUIPMENT AND SET-UP	
ECONOMIC DEVELOPMENT & CULTURE	3621-2	2015-08-06	2015-08-07	EXECUTIVE FURNITURE RE	508.50	CAD	508.50	CAD	4515	RENTAL OF OFFICE EQUIPMENT	AH0117	HS-MH-RETAIL-FORT YORK	5712	"Equipment, Furniture, and Home Furnishin"	RENTED FRONT DESK	
ECONOMIC DEVELOPMENT & CULTURE	3628-1	2015-08-12	2015-08-13	HARTLEY   MARKS PUBLIS	468.12	CAD	468.12	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0117	HS-MH-RETAIL-FORT YORK	2741	Miscellaneous Publishing and Printing	VARIOUS ITEMS FOR RESALE	
ECONOMIC DEVELOPMENT & CULTURE	3632-1	2015-08-17	2015-08-18	EXECUTIVE FURNITURE RE	508.50	CAD	508.50	CAD	4515	RENTAL OF OFFICE EQUIPMENT	AH0117	HS-MH-RETAIL-FORT YORK	5712	"Equipment, Furniture, and Home Furnishin"	RENTAL OF FRONT DESK	
ECONOMIC DEVELOPMENT & CULTURE	3639-1	2015-08-22	2015-08-24	METRO #720	34.30	CAD	34.30	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	5411	"Grocery Stores, Supermarkets"	BREAD AND TEA	
ECONOMIC DEVELOPMENT & CULTURE	3648-1	2015-08-28	2015-08-31	PAYPAL *ME	848.51	CAD	848.51	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0091	HS-MH-PROGRAM SUPPORT-FORT YORK	8999	Professional Services - Not Elsewhere Cl	VIEWFINDERS	
					"5,598.49"	CAD	"5,598.49"	CAD								
"PARKS, FORESTRY & RECREATION"	3611-1	2015-07-31	2015-08-03	ROB'S NO FRILLS STORE	10.76	CAD	10.76	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	CHEESE FOR WARDEN HIL-JUNIOR CAMP PIZZA COOKING	
"PARKS, FORESTRY & RECREATION"	3618-1	2015-08-05	2015-08-06	DOLLAR TREE #40209	137.01	CAD	137.01	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04095	DON MONTGOMERY CRC-SUMMER CAMPS	5331	Variety Stores	"CAMP SUPPLIES-FOAM BALLS, BANNERS,BALLOONS"	
