Divison	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
PUBLIC HEALTH	4029-1	2016-05-18	2016-05-19	VERT	207.92	CAD	207.92	CAD	4820	BUSINESS MEETING EXPENSES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	5811	Caterers	MEETING EXPENSES	
PUBLIC HEALTH	4029-2	2016-05-18	2016-05-19	VERT	-580.93	CAD	-580.93	CAD	4995	OTHER EXPENSES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	5811	Caterers	TO CORRECT CHARGE	
PUBLIC HEALTH	4039-1	2016-05-17	2016-05-27	VERT	580.93	CAD	580.93	CAD	4995	OTHER EXPENSES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	5811	Caterers	CORRECTED	
					207.92	CAD	207.92	CAD								
"PARKS, FORESTRY & RECREATION"	4004-1	2016-05-03	2016-05-04	METRO #37	61.34	CAD	61.34	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR COOKING	
"PARKS, FORESTRY & RECREATION"	4008-1	2016-05-04	2016-05-05	ROB'S NO FRILLS STORE	11.08	CAD	11.08	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	YOUTH COUNCIL FUNDRAISE	
"PARKS, FORESTRY & RECREATION"	4018-1	2016-05-10	2016-05-11	METRO #37	62.73	CAD	62.73	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	4023-1	2016-05-13	2016-05-16	NOFRILLS DICKIES 752	44.76	CAD	44.76	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD FOR YOUTH EVENT (POETRY SLAM)	
"PARKS, FORESTRY & RECREATION"	4023-2	2016-05-13	2016-05-16	YOUR DOLLAR STORE WITH	16.95	CAD	16.95	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5999	Miscellaneous and Specialty Retail Store	SUPPLIES FOR YOUTH EVENT (POETRY SLAM)	
"PARKS, FORESTRY & RECREATION"	4027-1	2016-05-17	2016-05-18	METRO #37	64.29	CAD	64.29	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	COOKING SUPPLIES	
